code	name	GDP_2015	GDPCapita_2015	ForestArea_2015	RuralPopulation_2015
BEL	Belgium	455039563132.776	40361.1541907535	239464.0	239464.0
BEN	Benin	8291155880.59505	783.963077800944	5743271.0	5743271.0
BFA	Burkina Faso	10419303761.3524	575.3144541763111	13124769.0	13124769.0
BGD	Bangladesh	195078678697.23	1210.1588492338	105896086.0	105896086.0
BGR	Bulgaria	50201314894.5817	6993.783482673871	1866995.0	1866995.0
BIH	Bosnia and Herzegovina	16209702863.6235	4584.24254781755	1867942.0	1867942.0
BLR	Belarus	56454734396.5842	5949.106306997479	2165435.0	2165435.0
BLZ	Belize	1762500450.0	4905.53664469729	196150.0	196150.0
BOL	Bolivia	33000198263.3864	3077.02619917158	3389758.0	3389758.0
BRA	Brazil	1802214373741.32	8750.22299607324	29308408.0	29308408.0
BRN	Brunei Darussalam	12930394937.8137	30967.890506377003	97442.0	97442.0
BTN	Bhutan	2059809919.89325	2616.0103429490196	482841.0	482841.0
BWA	Botswana	14406496463.6055	6521.14612848265	725611.0	725611.0
CAF	Central African Republic	1583776805.9656801	348.381427149795	2715067.0	2715067.0
CAN	Canada	1559623393038.66	43525.3701865304	6715371.0	6715371.0
CHE	Switzerland	679289166858.236	82016.02131294321	2176779.0	2176779.0
CHL	Chile	243999477737.94	13736.635687931299	2245203.0	2245203.0
CHN	China	11064666282625.5	8069.2130238951095	610192900.0	610192900.0
CIV	Cote d'Ivoire	39633467835.725	1715.1055178258898	11682719.0	11682719.0
CMR	Cameroon	30916218544.4404	1353.9244896144698	10371897.0	10371897.0
COD	Congo, Dem. Rep.	37917704900.0794	497.629755725505	43630184.0	43630184.0
COG	Congo, Rep.	8553154580.399509	1712.12114632566	1721350.0	1721350.0
COL	Colombia	293481748240.779	6085.20997863116	9759559.0	9759559.0
CRI	Costa Rica	54775994478.4981	11393.0284206956	1112441.0	1112441.0
CUB	Cuba	87133000000.0	7602.27866814548	2648049.0	2648049.0
CYP	Cyprus	19680625485.1946	23212.2247018375	383752.0	383752.0
CZE	Czech Republic	186829940545.75897	17715.6168523009	2797131.0	2797131.0
DEU	Germany	3375611100742.22	41323.921502168996	18624547.0	18624547.0
DJI	Djibouti	1633741922.6873698	1761.6101575859	209438.0	209438.0
DNK	Denmark	301298464861.385	53012.996583500804	708958.0	708958.0
DOM	Dominican Republic	68802092020.9448	6534.90855499375	2256656.0	2256656.0
DZA	Algeria	165979277276.90698	4162.8521805561995	11623348.0	11623348.0
ECU	Ecuador	99290381000.0	6150.15595531519	5909162.0	5909162.0
EGY	Egypt, Arab Rep.	332698041030.807	3547.71301183827	53655181.0	53655181.0
ERI	Eritrea	2607739837.39837	582.775530237486	2874049.0	2874049.0
ESP	Spain	1197789902774.43	25789.519548147597	9473817.0	9473817.0
EST	Estonia	22566956982.229	17155.8741759995	415458.0	415458.0
ETH	Ethiopia	64464547915.2698	645.4650067077649	80469700.0	80469700.0
FIN	Finland	232464833065.554	42424.2208075022	809601.0	809601.0
FRA	France	2438207896251.84	36613.3752159613	13548420.0	13548420.0
GAB	Gabon	14377324797.637	7448.71568517725	229343.0	229343.0
GBR	United Kingdom	2885570309160.86	44305.5546320834	11315488.0	11315488.0
GEO	Georgia	13993546747.7492	3764.64091570019	1581700.0	1581700.0
GHA	Ghana	49181854798.2552	1783.0610871257602	12664376.0	12664376.0
GIN	Guinea	8794202409.5678	727.302519007954	7842447.0	7842447.0
GMB	Gambia, The	1394149615.0246801	704.974041649015	806303.0	806303.0
GNB	Guinea-Bissau	1047808175.0005699	591.806149698209	1024727.0	1024727.0
GNQ	Equatorial Guinea	13180195435.1132	11213.4752282974	345376.0	345376.0
GRC	Greece	195541761243.14398	18070.776778858402	2375617.0	2375617.0
GRL	Greenland	2520206899.62693	44912.266094502695	7816.0	7816.0
GTM	Guatemala	63767597193.9175	3923.5733436471296	8130928.0	8130928.0
GUY	Guyana	3197222215.01211	4160.2654148292795	565311.0	565311.0
HND	Honduras	20979767785.2104	2341.27532008595	4017588.0	4017588.0
HRV	Croatia	49490142433.1046	11773.2646636326	1843070.0	1843070.0
HTI	Haiti	8724656126.498491	814.546395216916	5095573.0	5095573.0
HUN	Hungary	122879042001.915	12483.8659406349	2903693.0	2903693.0
IDN	Indonesia	860854235065.0791	3334.5490748484804	120528146.0	120528146.0
IND	India	2102390808996.69	1606.03828498859	879985357.0	879985357.0
IRL	Ireland	290617008367.572	61807.6703737555	1761447.0	1761447.0
IRN	Iran, Islamic Rep.	385874474398.59	4862.29972856127	21143221.0	21143221.0
IRQ	Iraq	177498577312.923	4914.727610541439	10863226.0	10863226.0
ISL	Iceland	16942247373.9704	51213.6613332843	20841.0	20841.0
ISR	Israel	299093839689.55	35690.9630779526	655408.0	655408.0
ITA	Italy	1832868490534.11	30180.3215146877	18483353.0	18483353.0
JAM	Jamaica	14145469269.456999	4925.41585894975	1297166.0	1297166.0
JOR	Jordan	37517410281.6901	4096.09927499826	892482.0	892482.0
JPN	Japan	4394977752877.82	34567.745675099504	10958283.0	10958283.0
KAZ	Kazakhstan	184388432148.715	10510.7718884148	7509900.0	7509900.0
KEN	Kenya	64007751187.8874	1355.05547100771	35116380.0	35116380.0
KGZ	Kyrgyz Republic	6678178340.45121	1121.0828351073899	3825700.0	3825700.0
KHM	Cambodia	18049954289.4229	1163.18977018231	12074582.0	12074582.0
KOR	Korea, Rep.	1382764027113.82	27105.076226264	9369405.0	9369405.0
KWT	Kuwait	114567298105.68301	29109.068743354703	149400.0	5085602.0
LAO	Lao PDR	14390391264.2607	2159.43315209405	4457661.0	4457661.0
LBN	Lebanon	49910270062.1559	8529.513660077371	695975.0	695975.0
LBR	Liberia	3177000000.0	706.0594658972391	2257910.0	2257910.0
LBY	Libya	27842131486.4054	4465.4903662344705	1292506.0	1292506.0
LKA	Sri Lanka	80604080688.7961	3844.51400786016	17138447.0	17138447.0
LSO	Lesotho	2510312804.7673697	1154.35521879082	1589492.0	1589492.0
LTU	Lithuania	41508609232.7778	14289.1205692355	951939.0	951939.0
LUX	Luxembourg	57784495265.4378	101446.78630318199	55941.0	55941.0
LVA	Latvia	26972863393.6384	13639.694119796299	633204.0	633204.0
MAR	Morocco	101179808076.36	2847.28556871398	13639770.0	13639770.0
MDA	Moldova	6512885830.43282	1832.49519441526	2043968.0	2043968.0
MDG	Madagascar	9744243531.20119	402.088311769817	15705385.0	15705385.0
MEX	Mexico	1170564619927.69	9298.24287787114	26078310.0	26078310.0
MKD	Macedonia, FYR	10064515432.0265	4840.31967944456	885619.0	885619.0
MLI	Mali	13099495529.7113	749.9179512203281	10482315.0	10482315.0
MMR	Myanmar	59687410896.5734	1138.9929757890302	36756982.0	36756982.0
MNE	Montenegro	4052913385.8267703	6514.27269528653	212741.0	212741.0
MNG	Mongolia	11749620619.5962	3946.96207454865	945754.0	945754.0
MOZ	Mozambique	14798413628.4625	528.3130512011451	18375013.0	18375013.0
MRT	Mauritania	4844223106.95469	1158.25637052423	2045625.0	2045625.0
MWI	Malawi	6373212640.84604	362.65819765094597	14706824.0	14706824.0
MYS	Malaysia	296636282166.176	9655.13737655446	7922580.0	7922580.0
NAM	Namibia	11650656642.2655	4803.2832991071	1287973.0	1287973.0
NER	Niger	7217667780.59665	362.75219766414904	16664305.0	16664305.0
NGA	Nigeria	494583180777.234	2729.76277774009	94508021.0	94508021.0
NIC	Nicaragua	12611087031.4931	2073.49793802454	2560841.0	2560841.0
NLD	Netherlands	757999453314.269	44746.334048523604	1664686.0	1664686.0
NOR	Norway	386663139402.70703	74498.13763927	981422.0	981422.0
NPL	Nepal	21410840908.5198	747.1604623558569	23338536.0	23338536.0
NZL	New Zealand	177620948761.31	38649.3784975761	627727.0	627727.0
OMN	Oman	68905071521.4564	16406.7116182533	783265.0	783265.0
PAK	Pakistan	270556126820.064	1428.63762767431	121154289.0	121154289.0
PAN	Panama	54091713775.5634	13627.6947542377	1321919.0	1321919.0
PER	Peru	189926516769.25	6053.112414929239	7104620.0	7104620.0
PHL	Philippines	292774099013.687	2878.3383704649395	54637959.0	54637959.0
PNG	Papua New Guinea	20638636035.255	2605.9459691666198	6889297.0	6889297.0
POL	Poland	476970902628.57794	12556.355747117601	15088963.0	15088963.0
PRI	Puerto Rico	103375500000.0	29763.959625437998	221450.0	221450.0
PRK	Korea, Dem. People�â��s Rep.	16120000000.0	1300.0	9775202.0	9775202.0
PRT	Portugal	199420256049.689	19252.6349536042	3779248.0	3779248.0
PRY	Paraguay	36164068797.2511	5447.11863083808	2605854.0	2605854.0
QAT	Qatar	161739835164.835	65177.228794242306	26180.0	26180.0
ROU	Romania	177893451831.14102	8977.498544251372	9137513.0	9137513.0
RUS	Russian Federation	1368400705490.7	9346.61636024231	37393138.0	37393138.0
RWA	Rwanda	8277613193.576309	711.773977346877	9652064.0	9652064.0
SAU	Saudi Arabia	654269902880.0	20732.8617215804	5307912.0	5307912.0
SDN	Sudan	97156119150.0	2513.88466117983	25548517.0	25548517.0
SEN	Senegal	17767620058.8554	1186.3275139761301	8108245.0	8108245.0
SLE	Sierra Leone	4218723875.1379	582.936203085923	4282220.0	4282220.0
SLV	El Salvador	23166030400.0	3669.8789920535205	1912681.0	1912681.0
SOM	Somalia	6659000748.0593605	478.78479902360397	7893559.0	7893559.0
SRB	Serbia	37160332465.1645	5237.2553342313595	3143538.0	3143538.0
SUR	Suriname	4767414747.88691	8617.76176029073	187781.0	187781.0
SVK	Slovak Republic	87501423882.4686	16132.8603100425	2500969.0	2500969.0
SVN	Slovenia	43072415017.4321	20873.1611094925	953743.0	953743.0
SWE	Sweden	497918109302.399	50812.1908597713	1317697.0	1317697.0
SWZ	Eswatini	4020275298.0272603	3047.94675558222	1011681.0	1011681.0
SYR	Syrian Arab Republic	40405006007.2086	2058.0352093943497	8961319.0	8961319.0
TCD	Chad	10945989471.6286	781.3310573132941	10855194.0	10855194.0
TGO	Togo	4179185205.1612206	563.475363797121	4442664.0	4442664.0
THA	Thailand	401399422442.96704	5846.394608069129	35912044.0	35912044.0
TJK	Tajikistan	7854602391.65355	918.8119144942931	6262571.0	6262571.0
TKM	Turkmenistan	35799714285.7143	6432.68416952563	2765000.0	2765000.0
TLS	Timor-Leste	3104400000.0	2501.57738620458	875013.0	875013.0
TUN	Tunisia	43152528548.124	3827.72983400193	3601258.0	3601258.0
TUR	Turkey	859796691176.471	10984.8028816485	20655059.0	20655059.0
TZA	Tanzania	45628320355.1735	872.2031651849851	36844731.0	36844731.0
UGA	Uganda	27102650386.6012	675.121139677403	31288912.0	31288912.0
UKR	Ukraine	91030959454.6961	2124.66266591114	13970205.0	13970205.0
URY	Uruguay	53274304222.135994	15524.842468403798	170033.0	170033.0
USA	United States	18120714000000.0	56443.81724225821	58843392.0	58843392.0
UZB	Uzbekistan	66903804142.5395	2137.57685230278	15414708.0	15414708.0
VEN	Venezuela, RB	482359318767.70294	15692.412877728999	3690637.0	3690637.0
VNM	Vietnam	193241108709.536	2065.16909895862	61935956.0	61935956.0
XKX	Kosovo	6440612176.999001	3574.5433327777796	450000.0	695400.0
YEM	Yemen, Rep.	45593573381.2648	1693.9078147699202	17555558.0	17555558.0
ZAF	South Africa	317536830640.61896	5742.98780033574	19447030.0	19447030.0
ZMB	Zambia	21154394545.895	1313.88964550765	9353314.0	9353314.0
ZWE	Zimbabwe	19963120600.0	1265.29441289344	10667923.0	10667923.0
