Country Code	Country Name	Rural 2016	Capita 2016	GDP 2016	Forest 2016
TZA	Tanzania	37604041	878.403371244319	47388394818.1193	37604041
UGA	Uganda	32101728	581.702772948812	24133664284.5033	32101728
UKR	Ukraine	13882133	2185.72803066435	93355993628.5042	13882133
URY	Uruguay	167241	15298.3508918226	52687612261.5424	167241
USA	United States	58659368	57588.538070583	18624475000000	58659368
UZB	Uzbekistan	15716939	2117.74443025761	67445712840.4013	15716939
VEN	Venezuela, RB	3736094	15692.412877729	482359318767.703	3736094
VNM	Vietnam	61933285	2170.64805431211	205276172134.901	61933285
XKX	Kosovo	680580	3697.12167678699	6714712389.38053	450000
YEM	Yemen, Rep.	17821057	1320.92412660691	36436652465.1639	17821057
ZAF	South Africa	19414403	5279.73047236548	295746599722.066	19414403
ZMB	Zambia	9550336	1262.98968188557	20954754378.1394	9550336
ZWE	Zimbabwe	10934441	1272.3354498184	20548678100	10934441
-A	Obstacle1	10245808.1577	1166.553963304	215671420500	10245808.1577
-B	Obstacle2	548159584.2851	62411.644423606	11538607241500	548159584.2851
-C	Obstacle3	293801645.6689	33451.2874831369	6184443168500	293801645.6689
-D	Obstacle4	150838115.2612	17173.9308863614	3175100498000	150838115.2612
-E	Obstacle5	381023732.7316	43382.1069738543	8020443914000	381023732.7316
-F	Obstacle6	454903264.7841	51793.7871064868	9575587576500	454903264.7841
-G	Obstacle7	1344872.9188	153.122800019177	28309202000	1344872.9188
-H	Obstacle8	1344872.9188	153.122800019177	28309202000	1344872.9188
-I	Obstacle9	1610308.3633	183.34440528612	33896544500	1610308.3633
-J	Obstacle10	16483541.10345	1876.76168707715	346973969250	16483541.10345
-K	Obstacle11	3477204.32295	395.903028996952	73194186750	3477204.32295
-L	Obstacle12	2689745.8376	306.245600038355	56618404000	2689745.8376
-M	Obstacle13	6388146.3643	727.333300091093	134468709500	6388146.3643
-N	Obstacle14	41337146.5568	4706.51132690524	870135472000	41337146.5568
-O	Obstacle15	21969206.95645	2501.34152926064	462445714250	21969206.95645
