Code	X	Y	Width	Height
GM0840	189.4337	262.8657	24.3226	23.8831
GM0844	325.9222	287.2046	20.3693	17.1824
GM0845	317.1327	294.5941	23.8141	25.3292
GM0846	330.4641	272.6886	26.3898	21.043
GM0847	367.8716	228.4882	20.8542	35.7163
GM0848	333.4864	261.324	19.131	11.9677
GM0851	151.3376	283.1765	39.4261	28.6288
GM0852	265.5928	495.996	29.4079	19.9666
GM0855	267.7845	278.22	35.9607	27.7086
GM0856	360.1155	297.7225	29.3834	20.2035
GM0858	329.2259	211.8109	21.7535	28.9744
GM0860	346.8675	282.5196	26.7018	24.4731
GM0861	316.006	233.7502	17.8875	15.5625
GM0865	298.6749	295.5265	18.5031	17.6848
GM0866	330.7176	228.2215	15.4626	9.8292
GM0867	260.2966	303.9168	30.0694	17.8902
GM0870	232.8938	324.8196	50.3861	28.9132
GM0873	155.4561	235.6047	26.1463	28.2526
GM0874	259.4925	328.9277	24.011	18.1847
GM0879	200.9524	253.8207	33.642	31.8092
GM0880	237.9438	508.7996	22.2957	18.5328
GM0881	410.336	124.1974	17.8533	9.851
GM0882	421.9274	107.6966	16.2607	16.127
GM0888	384.441	113.5441	16.0269	14.1942
GM0889	424.6186	199.7617	18.686	13.741
GM0893	428.6221	279.8054	37.2541	43.1123
GM0899	410.93	118.1812	14.1543	8.9612
GM0907	410.6809	306.1689	19.4372	25.9713
GM0917	409.071	101.3827	20.912	29.4469
GM0928	422.2979	100.7884	13.8277	15.6253
GM0935	367.8955	96.2261	19.6145	27.0645
GM0938	376.8729	107.9632	14.3665	19.3709
GM0944	398.0978	319.2177	11.4921	15.2174
GM0946	376.865	204.9365	36.5965	27.5586
GM0951	393.0547	108.876	20.1286	13.5842
GM0957	414.8393	184.3017	26.4105	25.0626
GM0962	397.8502	119.6903	16.2481	13.6042
GM0965	413.6271	89.7238	11.4457	14.6587
GM0971	376.2308	125.2183	10.949	22.8496
GM0981	411.3907	76.5115	17.0069	12.6042
GM0983	437.5494	230.6197	24.3194	57.7821
GM0984	412.2244	259.2816	47.3141	31.0614
GM0986	401.8761	99.9876	17.1106	16.2469
GM0988	364.0317	190.7112	35.425	27.4539
GM0994	386.5999	97.0689	21.8243	15.6802
GM0995	325.0696	516.7492	53.1145	77.0656
GM1507	418.2746	245.0874	47.4044	36.8786
GM1509	476.611	358.7939	37.4856	37.9162
GM1525	183.1038	437.1804	16.2892	18.8752
GM1581	318.4127	389.1253	43.4856	28.9526
GM1586	501.3698	387.476	35.2121	26.244
GM1598	251.7713	544.3071	26.8339	26.2165
GM1621	180.3677	385.5	21.9593	25.3224
GM1640	395.3675	190.4396	41.5464	41.462
GM1641	396.0032	171.4138	23.1005	29.214
GM1651	505.7773	746.0316	72.56	52.9499
GM1652	375.1448	267.2689	31.4681	28.6011
GM1655	183.0943	280.0505	29.1346	20.2386
GM1658	345.9528	221.5668	28.3606	31.8288
GM1659	352.9222	264.9641	23.9059	18.688
GM1663	464.2856	726.9732	54.9802	30.2033
GM1667	279.1428	224.6503	20.8387	30.5027
GM1669	422.0782	168.641	41.8976	24.6704
GM1671	328.3711	314.1108	14.5994	21.0794
GM1672	195.0506	409.8355	17.9921	24.9622
GM1674	166.4937	260.4047	33.7203	29.311
GM1676	92.6447	304.8972	80.8066	42.4799
GM1680	523.9478	629.6232	56.2969	56.8695
GM1681	544.7871	609.4276	48.6992	47.4674
GM1684	391.7513	310.7985	23.1106	22.3346
GM1685	360.5618	309.2573	25.9519	29.4784
GM1690	468.2215	559.6246	47.943	46.6565
GM1695	65.8705	275.8887	40.4816	20.0239
GM1696	271.5494	438.5633	19.0422	29.8201
GM1699	474.2198	657.2002	35.1258	54.815
GM1700	500.9415	493.5562	41.2573	27.9797
GM1701	456.5704	590.1162	54.6309	49.7489
GM1702	390.0852	287.4331	31.4542	29.2959
GM1705	405.5858	359.144	29.2687	26.4848
GM1706	350.6472	203.6629	24.4996	33.3241
GM1708	410.962	569.6753	61.711	53.3942
GM1709	186.3094	298.3005	52.9804	27.8859
GM1711	401.5231	152.5002	38.033	26.9666
GM1714	27.7508	216.9824	55.5016	41.6065
GM1719	219.0365	306.71	32.391	34.4452
GM1721	337.6223	302.7885	27.5595	28.4871
GM1722	384.1916	714.062	32.5356	25.3253
GM1723	239.272	258.8315	42.0078	25.2295
GM1724	309.2033	212.4389	32.6214	30.6512
GM1728	296.5067	224.5829	20.3718	32.7591
GM1729	399.7643	81.8299	26.0127	24.6495
GM1730	505.233	661.8682	44.7084	42.8551
GM1731	493.424	601.2821	55.9907	67.2506
GM1734	377.7808	362.645	38.8988	25.8925
GM1735	502.1948	442.7299	51.6573	36.637
GM1740	348.403	362.3682	39.8963	16.3374
GM1742	479.8522	454.3344	34.9689	21.1919
GM1771	350.0569	239.794	20.521	14.3714
GM1773	435.3506	476.5912	26.0086	39.0799
GM1774	552.4746	477.4111	47.7729	49.5678
GM1783	137.7166	383.1102	28.1609	28.6262
GM1842	152.8945	375.835	26.2122	24.5858
GM1859	502.1721	408.779	55.3079	40.8226
GM1876	458.1507	396.2025	56.4979	42.366
GM1883	388.3759	134.2671	23.2937	31.5644
GM1884	202.3321	430.904	29.4939	20.1914
GM1891	407.1026	701.9781	29.1965	24.5894
GM1892	199.2433	382.4864	21.9434	33.0626
GM1894	410.7729	214.9375	45.636	32.5823
GM1895	570.7188	690.4767	48.5624	55.6201
GM1896	422.1924	535.2119	29.8161	29.0655
GM1900	329.3154	632.5828	88.9024	76.4629
GM1901	222.4663	399.2815	32.8826	27.1633
GM1903	379.3973	82.9964	28.8495	25.2032
GM1904	260.9027	432.9016	32.425	43.1548
GM1908	361.294	685.1949	22.0117	22.3587
GM1911	253.9399	595.716	61.8096	73.0879
GM1916	168.1583	406.1529	24.3359	17.7339
GM1924	121.7237	321.7315	88.0051	49.8624
GM1926	169.62	385.8193	16.0321	21.4358
GM1927	224.0907	356.274	49.5478	27.2883
GM1955	445.6738	363.6487	37.7117	28.0945
GM1987	543.0221	677.0911	25.9927	29.1924
