GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
GM0269	167.890204304688	187.144429720771
GM0273	143.942514085785	163.266920190244
GM0274	157.811296644203	135.114678275319
GM0275	176.027320890292	140.132274021419
GM0277	170.301494960814	141.08299284432
GM0278	204.682956950992	143.338314107099
GM0279	138.207389883638	146.133770629277
GM0280	186.314301981384	143.114791425742
GM0281	131.747331403051	123.345995900703
GM0282	169.136471809848	119.414893176917
GM0285	179.106402546762	161.524670597759
GM0286	194.841390568525	147.799713353735
GM0289	149.459104804275	133.276233216762
GM0291	191.156998674147	151.90413333557
GM0292	186.441555706715	132.259400179545
GM0293	170.608286271042	131.634358795116
GM0294	222.455800210409	133.684023501447
GM0295	202.559437274159	129.321301902456
GM0296	152.175356056417	115.84582697894
GM0297	114.71530074572	113.108601634738
GM0298	198.667607695508	137.137569927709
GM0299	178.412487083597	128.301360439367
GM0301	186.66057458997	151.515190790015
GM0302	157.681545297321	173.987781076012
GM0303	151.814152819654	192.100693206835
GM0304	123.277660070701	117.888378796604
GM0305	102.514637055772	165.679231642263
GM0306	136.095626286268	137.236288268624
GM0307	130.301754474343	155.510638554557
GM0308	122.045619825895	158.872641500929
GM0310	115.901367087862	151.983645834914
GM0311	102.322041173152	154.857705931222
GM0312	118.769810296976	140.764026643407
GM0313	128.472463465068	162.743662321028
GM0315	127.393361899656	140.354164289006
GM0316	123.523273946762	141.744099578679
GM0317	123.127307328076	163.998903256749
GM0321	116.358090705472	136.669610039372
GM0326	133.60988183085	138.763403606842
GM0327	132.480468473004	149.800189429531
GM0329	105.391770783304	161.559753942585
GM0331	100.133331387704	134.656681898453
GM0332	130.464062830904	142.786270100668
GM0333	108.337685363708	152.707660079019
GM0335	100.070278804407	141.591048584752
GM0339	140.553591691194	143.909290460952
GM0340	142.456744723323	134.049042466374
GM0342	124.247267659615	153.578804595059
GM0344	109.052914236917	146.385185940569
GM0345	142.02029817641	138.828568149859
GM0351	133.160278204546	145.226058805598
GM0352	126.202187799725	135.009297168688
GM0353	105.875795385509	139.328734973316
GM0355	121.424625050976	147.54017961923
GM0356	110.394973154655	139.670427197642
GM0358	87.307373266607	165.056799860551
GM0361	87.4978024134469	207.379911890805
GM0362	93.914758424125	168.512107400687
GM0363	96.5642304289523	177.793423127851
GM0364	118.946104092391	217.934814382445
GM0365	91.623710043158	197.719678381256
GM0366	93.7034637220092	231.477662639163
GM0370	98.5816531021836	198.344500408516
GM0372	76.7165490238836	172.237553707352
GM0373	81.9853364117723	210.184606784671
GM0375	80.6676683100718	190.292525154952
GM0376	121.646542860966	167.244255654847
GM0377	75.8709489423574	179.274573605392
GM0381	115.303899970557	166.283675156045
GM0383	82.7070671983436	198.396134735359
GM0384	103.184838224258	173.708687621926
GM0385	107.168289659252	192.322156292861
GM0388	122.756752530384	215.937171975423
GM0392	80.1063308091669	179.127596405673
GM0393	84.5604486578411	181.215497181365
GM0394	82.4714311617059	169.49702570967
GM0395	88.5615049737483	218.253317927148
GM0396	80.2929483896445	193.413277692189
GM0397	77.8827836867918	174.844575931829
GM0398	93.7661194307266	211.566376818034
GM0399	84.4943465507755	203.14863451895
GM0400	87.8810933839253	239.036486125019
GM0402	115.49572198471	161.059724268581
GM0405	108.964458503297	209.097756524795
GM0406	119.880502518826	168.747136395883
GM0412	96.1861027526019	220.862671627487
GM0415	99.0180557703101	186.430286911418
GM0416	90.0428253813651	213.258571183429
GM0417	118.849649356683	163.712705748641
GM0420	111.118945807943	220.364109372137
GM0424	109.211325168133	172.490354363091
GM0425	114.464991053302	169.445381279038
GM0429	97.4828126119057	210.469660006465
GM0431	95.7244365157004	186.608262379859
GM0432	101.154833952072	215.877442057407
GM0437	98.1535894188065	168.594810404936
GM0439	102.21614872011	192.142660684935
GM0441	90.5537891104287	223.917950542492
GM0448	91.4451484310476	256.296825445998
GM0450	85.7713824767666	194.631076363386
GM0451	89.7445730490674	162.721907625014
GM0453	79.0580907724449	186.429990374392
