GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
GM0417	292.0624616205989	443.85386072884097
GM0420	274.6689013780804	571.3156881713383
GM0424	270.3768839302363	463.6029765765354
GM0425	282.19727692424283	456.7519930351189
GM0429	243.98852374854087	549.0538461517039
GM0431	240.03229643178162	495.3673149755606
GM0432	252.25032346573244	561.2209900981644
GM0437	245.497726206901	454.838266083002
GM0439	254.63820992877646	507.81933693166485
GM0441	228.39868940381578	579.3115904986932
GM0448	230.40418760239857	652.1618696051238
GM0450	217.638597859452	513.418103943822
GM0451	226.57800798414303	441.62463194816576
GM0453	202.53414547070994	494.96621501789656
GM0454	286.08497168518994	545.4899634562978
GM0457	268.02134995121116	457.3746976543823
GM0458	232.38730929573296	532.7657038808276
GM0459	280.348335494391	561.7648562712939
GM0462	257.20435177624915	610.844681628728
GM0463	260.4850678285733	589.942341951129
GM0466	264.1746823364897	553.5861808333658
GM0473	188.88181941360372	472.29634240410655
GM0476	218.31543999575322	585.4300283181553
GM0478	260.42684092065065	521.5274980829766
GM0479	224.29273533576668	498.24733135953863
GM0480	215.52872318049566	426.9122155908245
GM0482	206.40953807429798	348.5896691883072
GM0483	195.97407559437258	431.30375181185144
GM0484	210.39708261589988	415.0924154402989
GM0489	184.61120910357923	345.44696305719856
GM0491	220.54729245219713	367.9431515331179
GM0492	182.80735032856134	378.2782881484116
GM0493	176.33374961265605	382.9403432975746
GM0495	186.52467232713147	388.3191326702462
GM0497	223.69607285838708	404.48923588778734
GM0498	281.7573350052996	552.1823511080688
GM0499	207.70993978573432	402.87705828916
GM0501	131.91434015663046	355.6174701936228
GM0502	193.2928259196492	366.3532870995756
GM0503	159.95496172153875	382.65607359726306
GM0504	115.06597176684114	321.38335988410324
GM0505	212.97787776162792	327.86826896223187
GM0511	97.9530540901496	335.8907131489316
GM0512	254.6094370212393	341.6794962727566
GM0513	213.027036772255	386.25532722833714
GM0517	196.78369388449178	325.1941249176332
GM0518	150.60315959754422	400.286179142642
GM0523	235.22529160993074	340.35030876285595
GM0529	267.7341543031097	563.5879010682987
GM0530	124.46228232171889	345.1947652569379
GM0531	202.15381348009007	342.93862228492355
GM0532	293.5722386364511	557.4416793258702
GM0534	193.86084175390008	456.93114717132653
GM0537	167.74516432441993	431.78623737712405
GM0542	196.64004210443528	361.2424400450191
GM0545	271.53553317745883	357.7317301504409
GM0546	179.30894813993496	421.5871760780042
GM0547	188.03818859092033	421.90794854770127
GM0553	188.9446105274203	446.6613489080402
GM0556	142.02064671735874	364.5906094176683
GM0558	253.8159826175238	541.6674004258003
GM0559	129.45203571365877	318.9238659025161
GM0563	204.66059102177698	382.0700177205313
GM0567	199.32371620242225	374.1568511451227
GM0568	140.38229512923922	340.50529362606153
GM0569	228.53720605536603	419.4819516887038
GM0571	209.29929631738173	353.79762478863495
GM0575	177.54263628083345	450.2160504821913
GM0576	182.83902112192317	450.6758683041001
GM0579	177.18519126940484	429.13763961960615
GM0580	144.63373627024495	305.7396314066775
GM0584	167.11356564223584	335.34407809139157
GM0585	181.87297987010277	333.7611945642303
GM0588	153.92844474854772	326.5012787747327
GM0589	237.44812816380175	389.08276612107016
GM0590	212.17341113324233	340.6962920434586
GM0595	221.36241840161784	394.28085222451506
GM0597	195.63014756698053	349.7484902310618
GM0599	154.3911683992086	364.438546513264
GM0600	139.3540520002752	362.1891775496399
GM0602	173.78484709389832	431.94616687443244
GM0603	154.3483287299085	392.18872208929406
GM0604	184.3603008247108	437.41370047752633
GM0606	163.16161814235372	364.66139908795776
GM0608	235.07641660498882	370.01948445750673
GM0610	222.93100991820893	339.9548459428736
