GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
CRI	162.939964837758	436.902109396134
CUB	172.410800136523	455.917128237398
CYP	329.181411439342	477.802757479091
CZE	304.149425566943	501.325151908391
DEU	298.002890906396	503.458285732354
DJI	343.6403874216	439.87047247545
DNK	296.925228519525	511.25111516482
DOM	183.80770734751	451.495248403595
DZA	287.170108894202	466.386565544802
ECU	170.620633860841	418.367855620924
EGY	324.793968718446	463.885167903017
ERI	338.261389897665	445.736282254129
ESP	279.65053295106	486.380135570869
EST	315.915936317282	515.134431071162
ETH	339.58574777201	434.837679251087
FIN	315.372822788016	523.472509897338
FRA	287.910048411821	496.37627624164
GAB	299.911166311915	419.915316752082
GBR	282.277668947111	507.938610478714
GBR	277.479486044977	508.929556270467
GEO	341.391084858827	489.323514794437
GHA	281.381982856238	433.742613088294
GIN	267.509865928372	437.766496675325
GMB	261.159175247674	442.666577702955
GNB	261.825870617721	440.416522737025
GNQ	298.017623122567	423.421219399055
GRC	314.283107855059	484.795041778331
GRL	247.142532871569	536.04707077374
GTM	155.045288382188	446.359864973078
GUY	198.609904478921	428.529898090596
HND	160.202164452295	444.883152504519
HRV	305.689912323881	493.974100963902
HTI	180.767740509051	451.555964331757
HUN	309.45619312164	497.299553481418
IDN	480.33834659454	414.047747176526
IDN	446.775902799122	420.427290256436
IDN	460.876011912151	405.062046534077
IND	394.953696450466	457.900664129331
IRL	275.371424159278	506.714349951373
IRN	358.058420361869	473.674602456519
IRQ	343.573219090597	474.528261979012
ISL	266.172424845502	524.488413910748
ISR	331.73107333415	471.655583665126
ITA	300.662069176451	490.55631476457
JAM	174.056641516599	450.226130774198
JOR	334.291150827563	471.632318834708
JPN	468.681706124282	482.22768361791
KAZ	369.747975975997	498.705637758194
KEN	337.226821641768	421.72234205936
KGZ	382.199884388372	488.139674572943
KHM	432.741209316343	441.390546505735
KOR	456.087133515561	480.012734758797
KWT	349.46194696087	468.598233077108
LAO	430.040688275004	450.907814972021
LBN	332.64719112604	475.9756586633
LBR	269.736333895794	431.292670421037
LBY	308.486543422274	464.653901145811
LKA	398.726209140301	433.224080457702
LSO	322.388328224381	372.891247381168
LTU	314.054064649357	510.069290800798
LUX	292.571734378625	501.417130037874
LVA	315.099938851114	512.382508253436
MAR	275.035986529037	472.515171282829
MDA	320.971471071573	497.305770637568
MDG	348.933882137152	389.534723436135
MEX	140.382613505496	459.607685314502
MKD	312.920408964953	488.43784534469
MLI	278.22981853578	448.935237486091
MMR	419.196124141728	455.12448825613
MNE	309.605086602419	490.387133154609
MNG	415.959381799769	496.69164121664
MOZ	333.474007818175	392.911431180162
MRT	268.721582016332	453.644759607285
MWI	331.856831272303	399.39857755287
MYS	429.625245646891	427.331012833854
MYS	447.813230026083	426.773315096375
NAM	307.441702649165	384.976384563793
NER	296.498474346973	449.063796367626
NGA	294.611732984318	436.363226636967
NIC	162.133209746773	441.644906578732
NLD	292.061319661899	505.274986557168
NOR	301.353886351133	523.390738179158
NPL	399.94361222784	466.749796924681
NZL	505.329554503906	349.380258829447
OMN	362.505445833452	454.211127789809
PAK	379.171151588458	469.414670131075
PAN	168.552377833233	434.610671568698
PER	176.942426543971	405.896676544955
PHL	458.960028842655	440.10762262464
PNG	489.91989833802	409.914052155172
POL	309.045715202525	505.068933420472
PRI	189.357071233627	450.368412038718
PRK	452.43075233755	486.073300184893
PRT	273.726608776355	485.323252944014
PRY	201.611748338567	382.978568298651
QAT	355.014990938595	461.997293460798
ROU	316.703124459181	495.182734707557
RUS	397.452582116198	518.253608233599
RWA	325.8683953129	417.629417289392
SAU	345.873537732706	459.970706199672
SDN	325.827080647232	443.319621862895
SEN	262.616926353913	444.135788106981
SLE	266.262543479444	434.752765458725
SLV	156.793247210954	443.132128472408
SOM	348.579893757606	430.677332314224
SRB	311.490783968598	492.644467955478
SUR	202.991260382319	427.480488313784
SVK	309.402314172716	499.760834194741
SVN	303.688385473436	495.615341311962
SWE	304.85250127065	520.917659329017
SWZ	327.219641632282	377.773850164385
SYR	336.070831127146	477.779779161931
TCD	309.610407986809	445.700801372034
TGO	284.473741071219	434.796914440913
THA	426.76021872177	445.291304029628
TJK	378.852859705209	483.422409154321
TKM	363.092385235577	484.400138689812
TLS	463.28771842365	406.451318345694
TUN	296.750451834817	476.13503855889
TUR	330.968110262511	484.292012000164
TZA	332.791231259921	410.693180495201
UGA	329.372085673782	422.917520541662
UKR	324.433114222714	500.141912327008
URY	207.405197679824	367.429443747933
USA	153.2309110217	484.729201478087
UZB	367.223880033882	488.618868214013
VEN	188.462040248495	432.345617271228
VNM	434.095896649054	447.639025394216
XKX	311.729217747937	490.034431675802
YEM	350.773220294196	446.664895411806
ZAF	318.284301796488	373.87401908452
ZMB	322.637282647792	399.042228623849
ZWE	325.35835201795	390.052327953468
