COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
537.5256962927083 714.0916404862908	137	10	0	505	1	150	1	19	32	-99999999	33	120	207	2462	2	5440	954	78	GM0003	10	Appingedam	-99999999	511	0	8	2384	18	16	4925	29	0.9	455	2.2	12	3	385	89	66	5515	8	4	5930	16	35	25	-3	6260	4	35	12190
499.74063916562557 707.8310112645632	179	12	0	440	1	65	0	14	26	-99999999	40	80	98	4496	0	4170	600	38	GM0005	8	Bedum	-99999999	238	0	14	4458	20	20	4350	30	1.0	660	2.5	6	5	350	82	61	4275	4	4	5330	19	90	25	-4	5270	1	34	10600
579.5603532498751 660.2629851214251	172	10	0	570	2	90	0	19	28	-99999999	34	70	44	11007	0	4170	155	175	GM0007	7	Bellingwedde	-99999999	88	0	62	10832	25	15	4750	33	1.1	850	2.3	9	6	320	32	56	4085	8	5	4750	18	140	24	-10	4760	3	38	9510
514.0068876576423 704.0685152128127	175	11	0	395	1	55	0	12	24	-99999999	44	100	71	4571	0	2780	311	45	GM0009	14	Ten Boer	-99999999	160	0	10	4527	29	22	3220	29	1.2	475	2.6	8	5	230	85	55	2785	4	5	3640	16	95	27	-3	3600	2	33	7250
549.5681932885205 715.0296228895462	134	11	2	1165	3	270	1	18	31	-99999999	35	250	87	22748	2	12020	626	9449	GM0010	9	Delfzijl	-99999999	208	0	48	13299	16	17	11555	29	1.0	1465	2.3	10	10	1005	42	69	12070	8	4	13830	15	165	25	-1	13820	9	34	27650
495.0122363110384 689.5215714953233	149	22	2	4280	4	1310	2	11	58	-99999999	19	1975	818	8369	1	105770	3031	563	GM0014	11	Groningen	-99999999	2327	1	7	7806	14	13	63815	22	0.6	9360	1.7	7	3	7810	90	68	82850	10	1	89800	18	60	32	0	91810	9	23	181610
451.42902508815627 685.4840385768799	197	11	0	690	1	95	0	13	23	-99999999	46	125	63	8778	0	4550	193	90	GM0015	10	Grootegast	-99999999	140	0	3	8688	34	22	5515	25	1.2	1130	2.6	8	3	455	94	53	4480	2	5	6210	13	265	28	1	5940	1	31	12150
505.41355404425036 672.7431580902404	273	9	0	545	2	255	0	23	34	-99999999	32	115	190	5070	0	8260	812	501	GM0017	6	Haren	-99999999	412	0	8	4568	12	18	8670	30	1.0	755	2.2	14	0	825	92	66	8380	8	4	8830	22	60	20	-10	9980	3	35	18810
522.8777858001974 671.2742079349215	138	11	1	1060	2	295	4	17	32	-99999999	35	325	219	7305	3	15000	1114	592	GM0018	9	Hoogezand-Sappemeer	-99999999	512	1	61	6713	21	17	14685	28	1.0	1525	2.2	9	9	1075	30	63	15060	7	3	16930	16	80	27	3	17470	10	33	34390
466.0077560521478 674.3469210292672	198	11	0	785	1	150	1	15	26	-99999999	40	210	137	6427	0	7700	706	93	GM0022	11	Leek	-99999999	303	0	4	6335	26	19	8680	29	1.1	1430	2.4	8	3	850	93	60	7625	4	4	9530	13	175	26	-3	9660	2	34	19190
519.2149399905006 719.6850624165565	156	12	0	670	1	105	0	14	28	-99999999	38	110	44	11199	0	4400	186	96	GM0024	10	Loppersum	-99999999	97	0	39	11104	23	18	4880	31	1.1	800	2.4	10	6	345	56	60	4465	4	5	5450	16	175	25	0	5340	2	34	10780
452.11940862757785 670.6992055381751	224	11	0	535	1	65	0	13	24	-99999999	43	95	75	6488	0	3890	282	36	GM0025	9	Marum	-99999999	156	0	7	6452	30	20	4835	28	1.2	860	2.6	7	1	420	92	54	3920	4	5	5180	16	190	27	-2	4880	1	33	10070
296.6563147244506 473.9777553905937	189	13	2	5255	8	790	11	7	28	-99999999	47	2560	-99999997	24877	2	72810	1582	11844	GM0034	14	Almere	-99999999	1388	3	80	13033	16	23	189275	24	-9.9999997E7	30435	2.5	4	3	6815	17	67	70180	10	2	89700	17	65	33	-2	91230	26	25	180920
563.3890719985127 635.7099379836964	157	11	0	1280	2	360	0	18	30	-99999999	35	350	131	11996	0	14700	725	211	GM0037	10	Stadskanaal	-99999999	290	0	64	11785	22	17	15440	28	1.1	2550	2.3	11	13	1255	23	62	14585	5	4	16790	16	180	26	-5	17330	3	34	34120
559.3665016104248 685.4675573851224	154	11	0	745	1	120	0	15	25	-99999999	39	120	57	11746	0	5800	318	307	GM0039	9	Scheemda	-99999999	123	0	61	11439	19	18	6530	31	1.1	920	2.4	9	5	440	34	67	5925	5	5	7070	13	110	26	-6	7050	1	35	14120
528.1429081264306 693.540190707329	185	10	0	1045	1	100	0	14	25	-99999999	40	150	49	15884	0	6120	195	722	GM0040	10	Slochteren	-99999999	100	0	46	15162	29	19	7395	30	1.2	1545	2.5	7	10	575	44	52	6010	4	5	7780	19	205	27	-5	7400	1	35	15190
543.2717133841494 657.0148161134553	144	11	0	1285	1	305	1	17	30	-99999999	37	265	167	7871	3	12230	869	257	GM0047	9	Veendam	-99999999	369	0	65	7614	19	17	12730	29	1.0	1725	2.3	11	10	1080	25	66	12240	5	4	13890	15	80	27	-8	14230	6	34	28120
580.1113728161484 625.380316060846	170	10	0	865	2	190	0	19	29	-99999999	35	145	48	17051	0	7160	355	284	GM0048	9	Vlagtwedde	-99999999	99	0	64	16767	27	16	8060	30	1.1	1340	2.3	12	12	615	24	58	7100	6	5	8250	15	260	24	-4	8350	2	36	16600
327.97370833443597 468.6392174937059	244	12	0	830	2	65	1	8	21	-99999999	50	245	35	26897	0	7170	814	2021	GM0050	12	Zeewolde	-99999999	79	0	52	24875	20	26	8750	23	1.2	1755	2.7	3	14	1050	34	65	6910	7	4	10020	16	275	31	-1	9680	4	29	19700
379.67844614783627 621.1761901300221	216	11	0	1245	1	240	0	15	27	-99999999	39	290	65	21689	0	10910	564	3089	GM0051	11	SkarsterlÂƒn	-99999999	145	0	3	18600	28	20	12100	28	1.1	2385	2.5	9	1	1400	97	59	11210	4	4	13610	12	355	26	1	13440	1	34	27050
566.3835968904933 670.9571976636763	141	10	0	645	2	230	1	21	37	-99999999	31	160	374	2224	0	8590	1247	60	GM0052	9	Winschoten	-99999999	854	0	59	2163	15	15	8095	28	0.9	1075	2.1	13	14	855	27	70	8580	8	3	8900	15	20	26	-9	9580	4	32	18480
486.1849554164279 716.2513795207508	165	11	0	540	1	110	0	13	27	-99999999	40	140	57	10253	0	5630	396	148	GM0053	10	Winsum	-99999999	139	0	15	10105	23	20	5730	31	1.0	835	2.5	8	4	485	82	57	5705	4	5	6940	19	165	25	-6	7060	2	34	14000
385.9462150638015 655.2220400224428	187	10	0	820	1	130	0	13	29	-99999999	38	220	57	16859	0	8050	394	1688	GM0055	11	Boarnsterhim	-99999999	127	0	3	15171	25	20	8655	28	1.1	1710	2.4	7	1	955	96	61	8055	4	5	9700	13	250	28	-2	9620	2	33	19310
466.4092474837991 701.8926846008059	191	11	0	705	1	140	0	13	25	-99999999	43	200	64	12837	0	7120	354	276	GM0056	11	Zuidhorn	-99999999	147	0	14	12561	25	22	7975	28	1.1	1755	2.6	8	2	670	84	58	7080	4	5	9230	18	245	26	0	9230	2	32	18460
415.15604090388905 723.1554416800726	158	12	0	910	3	170	0	16	30	-99999999	38	290	62	26694	0	10160	477	9967	GM0058	12	Dongeradeel	-99999999	149	0	29	16727	24	19	10385	26	1.0	1965	2.4	7	8	960	63	60	10205	4	5	12430	15	305	26	-2	12420	3	32	24860
431.8410526810195 687.3242606196587	180	12	0	1125	1	210	0	14	26	-99999999	43	365	123	10399	0	11200	373	138	GM0059	13	Achtkarspelen	-99999999	274	0	6	10261	33	19	12595	27	1.1	2440	2.5	7	3	1140	90	55	11305	2	5	14250	12	260	27	-2	13890	1	32	28140
373.2905320956264 745.4326098778697	199	8	0	225	1	25	0	15	34	-99999999	35	45	25	26850	0	1490	185	20932	GM0060	12	Ameland	-99999999	58	0	0	5918	13	19	1480	30	1.0	460	2.3	7	2	300	98	73	1560	4	5	1740	14	80	28	4	1720	2	31	3460
357.72770387755196 702.5457086559811	155	11	0	550	3	75	0	15	30	-99999999	39	125	50	11651	0	4530	265	2421	GM0063	11	het Bildt	-99999999	119	0	58	9230	26	20	4605	28	1.0	1130	2.4	7	3	415	39	61	4540	5	5	5570	13	140	27	-6	5390	4	31	10960
338.9935245036843 648.5025672763185	165	11	0	270	2	125	0	17	33	-99999999	35	105	410	942	1	4130	936	31	GM0064	11	Bolsward	-99999999	1054	0	0	911	26	19	3735	26	0.9	615	2.3	13	0	475	100	60	4290	4	4	4660	14	15	27	-12	4940	3	32	9600
407.8373826973698 702.9548190467909	177	13	0	720	1	170	0	15	25	-99999999	43	200	99	8749	0	7520	396	183	GM0065	10	Dantumadeel	-99999999	227	0	3	8567	31	19	8450	28	1.1	1405	2.6	9	2	670	95	56	7605	2	5	9730	13	170	25	-4	9730	1	32	19460
340.6127180448956 681.6073102858692	160	11	0	860	2	150	0	15	31	-99999999	36	205	83	10916	0	8630	620	641	GM0070	10	Franekeradeel	-99999999	200	0	24	10275	25	19	8555	29	1.0	1465	2.3	7	7	780	69	61	8865	5	4	10360	14	215	26	0	10210	3	33	20570
327.89749273529054 676.3748975163534	161	11	0	565	2	170	0	16	33	-99999999	35	145	238	38767	0	6670	974	36265	GM0072	9	Harlingen	-99999999	618	1	39	2502	25	18	5960	29	0.9	1020	2.2	11	0	805	61	65	6835	7	4	7730	10	40	25	-5	7740	3	32	15460
414.0173552911239 626.7279124873277	196	11	0	1645	2	445	1	18	33	-99999999	34	470	140	14015	1	18920	1076	494	GM0074	11	Heerenveen	-99999999	316	1	3	13521	19	18	18980	27	1.0	3805	2.2	10	4	1945	93	64	19085	5	3	20940	16	205	27	-8	21830	5	33	42780
435.93820887138435 707.5663443148509	175	12	0	550	1	90	0	14	27	-99999999	40	150	53	11633	0	5240	335	644	GM0079	11	Kollumerland en Nieuwkruisland	-99999999	119	0	14	10989	28	19	5835	27	1.1	1125	2.5	7	2	480	85	58	5290	2	5	6700	14	195	28	-3	6430	1	33	13130
380.81343352706625 680.3839003975161	137	16	1	2350	5	815	1	15	47	-99999999	26	1050	429	8410	0	47280	2198	495	GM0080	11	Leeuwarden	-99999999	1167	1	10	7916	16	16	33965	24	0.7	4045	1.9	9	0	3810	90	65	44865	7	2	45090	19	70	29	3	47250	9	28	92340
377.0940695647516 697.8860933402879	178	11	0	420	2	65	0	13	23	-99999999	42	85	106	4138	0	4040	494	58	GM0081	8	Leeuwarderadeel	-99999999	255	0	17	4080	25	20	4330	30	1.1	570	2.5	6	5	315	77	56	4100	4	5	5250	19	75	25	-6	5160	2	36	10410
375.1179006926869 598.5086734328559	206	11	0	555	2	100	1	14	28	-99999999	38	180	79	12438	1	5580	575	4814	GM0082	13	Lemsterland	-99999999	176	0	3	7624	23	19	6025	28	1.1	1060	2.4	7	0	790	97	63	5845	6	4	6840	14	140	28	-7	6590	4	34	13430
361.32342382502935 684.9645600503469	175	11	0	665	1	95	0	13	26	-99999999	40	145	90	7003	0	5580	248	107	GM0083	11	Menaldumadeel	-99999999	200	0	27	6896	28	20	6225	29	1.1	1110	2.5	7	4	525	69	55	5690	3	5	6990	17	160	26	-1	6820	1	33	13810
453.6316350939392 628.8836980548085	190	11	0	1495	1	200	0	17	28	-99999999	37	275	53	22608	0	10950	421	192	GM0085	11	Ooststellingwerf	-99999999	117	0	8	22416	23	18	11935	29	1.1	2210	2.4	8	3	1065	89	62	10830	5	5	13070	15	380	25	-2	13150	2	35	26220
427.69890410270455 645.2998150827225	216	11	0	1470	1	230	0	15	27	-99999999	39	320	60	22768	0	11810	333	282	GM0086	11	Opsterland	-99999999	132	0	3	22486	26	20	13570	29	1.1	2365	2.5	8	2	1245	95	59	11945	3	5	14790	15	410	26	-5	14790	1	34	29580
441.9872356736224 755.6023086976819	263	6	0	25	1	10	0	19	43	-99999999	24	10	8	19907	0	470	237	15828	GM0088	8	Schiermonnikoog	-99999999	23	0	-99999997	4079	10	16	305	32	0.6	80	2.0	8	-99999997	75	-99999997	74	520	5	5	470	15	5	27	-99999997	470	2	33	950
416.3793346390026 661.2667264831629	174	12	1	1840	3	480	1	16	32	-99999999	35	595	212	12615	0	23640	1129	769	GM0090	11	Smallingerland	-99999999	464	0	3	11846	21	19	25140	27	1.1	4255	2.3	9	1	2215	96	63	23410	5	3	27170	16	235	27	-3	27780	4	32	54960
362.18909342557345 641.0035552230013	172	11	0	915	2	335	1	16	34	-99999999	35	365	446	3404	0	14410	1461	394	GM0091	11	Sneek	-99999999	1100	0	10	3010	22	19	13425	26	0.9	2540	2.2	10	0	1575	90	61	14540	6	3	16270	16	30	28	-10	16840	4	31	33110
310.2039283016029 732.6501490435049	296	12	0	230	1	40	0	17	36	-99999999	30	40	21	67400	0	2040	189	58689	GM0093	8	Terschelling	-99999999	54	0	0	8711	15	16	1825	29	0.9	685	2.2	8	3	375	97	76	2015	5	5	2490	9	40	26	-5	2210	1	34	4710
256.20177573918517 697.7977446649895	244	9	0	65	1	5	0	14	39	-99999999	33	15	9	31579	0	530	136	27962	GM0096	12	Vlieland	-99999999	31	0	-99999997	3616	15	20	340	28	0.6	135	2.1	4	-99999997	110	-99999997	68	525	10	5	550	17	0	29	-99999997	590	1	28	1140
413.7266132604986 601.7228345604907	197	11	0	1425	1	260	0	18	29	-99999999	36	240	52	22836	0	10810	610	682	GM0098	9	Weststellingwerf	-99999999	115	1	2	22153	26	18	11560	29	1.1	2230	2.3	10	2	1125	96	59	10840	4	4	12760	15	415	25	-3	12740	3	35	25500
327.6322476647847 614.311169407025	187	10	0	380	1	100	0	18	31	-99999999	34	135	47	28917	0	4640	305	19256	GM0104	12	Nijefurd	-99999999	113	0	2	9661	30	18	4515	29	1.0	1020	2.3	9	2	660	96	57	4795	4	5	5420	13	205	24	-2	5470	1	35	10890
494.25600826666977 634.1435593285173	162	11	0	2750	4	575	1	14	34	-99999999	36	755	331	8348	1	27630	1310	142	GM0106	12	Assen	-99999999	785	0	33	8206	14	20	27125	26	1.0	3400	2.3	9	10	2420	57	66	27850	8	3	31450	20	80	29	-8	32940	6	30	64390
523.198078338709 569.2965386971557	191	10	0	1905	2	310	0	17	28	-99999999	37	340	58	29968	0	15100	475	303	GM0109	9	Coevorden	-99999999	121	0	29	29666	20	18	17185	29	1.1	2980	2.4	9	12	1470	59	64	14695	5	5	17940	16	475	26	-2	18100	2	35	36040
557.4873975931048 572.3566710295783	165	11	0	4430	2	1030	0	16	30	-99999999	37	1055	146	34629	1	46500	719	906	GM0114	10	Emmen	-99999999	323	0	63	33723	23	18	49390	28	1.1	7445	2.3	9	10	4430	28	62	46205	7	4	53810	15	470	27	-3	55020	4	33	108830
489.4660256656711 564.3950783244412	171	12	0	2265	2	470	0	16	30	-99999999	38	635	191	12922	1	22610	1046	154	GM0118	12	Hoogeveen	-99999999	426	0	12	12769	22	18	24360	27	1.1	3905	2.4	9	5	2325	83	64	22335	5	3	27000	14	275	27	7	27380	3	32	54380
440.8793036420033 561.927242199292	194	11	0	1220	2	265	1	15	33	-99999999	35	360	236	5698	0	13510	1124	135	GM0119	12	Meppel	-99999999	559	2	4	5564	16	19	13120	27	1.0	2005	2.3	9	5	1510	91	66	13510	5	3	15090	18	100	29	-5	15990	5	31	31090
358.5600668402226 663.8731908886789	189	11	0	505	0	70	0	12	25	-99999999	43	140	37	13257	0	4200	114	184	GM0140	13	Littenseradiel	-99999999	83	0	0	13074	33	22	4815	28	1.1	1030	2.6	7	1	475	99	51	4320	4	5	5490	17	280	27	-4	5360	1	32	10850
513.0835958183424 470.8090168796521	161	12	0	2270	4	620	0	15	33	-99999999	37	870	456	6940	8	30990	1418	197	GM0141	12	Almelo	-99999999	1069	1	10	6743	22	19	30770	26	1.0	4255	2.3	9	11	2845	79	63	30840	10	3	35720	15	145	29	-1	36370	13	30	72100
526.3561806978296 462.13021958581413	229	10	0	935	3	135	0	15	26	-99999999	40	210	349	2615	1	8270	1071	16	GM0147	10	Borne	-99999999	789	0	10	2600	19	20	9060	29	1.1	1175	2.5	7	12	825	78	63	8145	7	3	10250	18	75	25	0	10270	4	34	20520
454.10197023881585 511.77640805067114	273	11	0	1915	1	165	0	15	22	-99999999	45	285	78	16650	0	9890	425	136	GM0148	11	Dalfsen	-99999999	161	0	6	16514	23	21	12915	28	1.3	2630	2.7	6	6	1065	88	63	9665	2	5	13480	15	560	25	-6	13060	1	33	26540
448.56925761049416 449.96616915609314	192	12	1	3115	4	795	1	14	37	-99999999	33	1240	305	13437	7	43550	1687	306	GM0150	13	Deventer	-99999999	736	0	12	13131	14	19	40030	25	0.9	5350	2.2	8	12	3510	77	69	41045	9	2	47620	17	360	31	-2	48990	12	29	96620
547.4191549123309 439.6443078864543	160	15	1	4855	5	1315	1	14	43	-99999999	30	1765	442	14275	6	74190	1930	181	GM0153	11	Enschede	-99999999	1096	1	10	14095	16	17	62295	24	0.8	7375	2.1	9	6	6005	84	68	66280	12	2	78530	16	220	30	-3	75950	14	28	154480
528.9675994591598 422.95042909212407	230	10	0	1285	1	210	0	16	24	-99999999	42	255	109	10548	3	9550	908	58	GM0158	10	Haaksbergen	-99999999	232	0	9	10490	25	19	11425	29	1.2	1630	2.5	9	15	1000	77	61	9525	7	4	12240	14	350	26	-3	12110	4	34	24350
499.2278600284603 530.1479293417357	208	12	0	3150	1	480	0	14	23	-99999999	45	645	84	31724	0	21570	466	436	GM0160	11	Hardenberg	-99999999	186	0	18	31288	24	21	26395	26	1.2	4595	2.7	8	10	2180	72	62	21190	4	5	29410	14	810	27	-4	28690	2	32	58100
481.19680640335037 480.0023182641409	233	12	0	1875	1	320	0	16	24	-99999999	43	430	120	13903	0	13820	718	87	GM0163	12	Hellendoorn	-99999999	261	0	5	13815	24	19	16625	28	1.2	2310	2.6	9	11	1270	84	60	13865	4	4	18050	15	350	26	-5	18000	2	33	36050
531.9930150157928 447.9420402306053	179	11	1	3355	3	665	1	15	36	-99999999	34	955	605	6178	6	36340	1638	74	GM0164	12	Hengelo	-99999999	1334	0	13	6103	17	19	36900	26	1.0	4680	2.2	8	14	3490	72	66	36465	10	2	40380	17	125	29	-4	41050	11	30	81430
401.5859628820395 521.28273904973	200	13	0	1735	2	355	0	13	29	-99999999	41	655	130	16184	2	19470	1399	2039	GM0166	13	Kampen	-99999999	349	0	16	14145	26	21	18385	24	0.9	2810	2.5	7	2	1970	82	59	19430	4	3	24490	15	385	29	-3	24870	4	30	49360
566.168079400854 460.587106316744	225	11	0	915	1	170	0	16	23	-99999999	42	210	107	9964	1	8600	663	74	GM0168	9	Losser	-99999999	227	0	6	9890	19	18	10550	30	1.2	1355	2.6	8	5	800	89	67	8505	12	4	11260	14	285	25	-1	11230	2	35	22480
376.0167992588558 560.6213476043046	183	12	1	1860	3	395	1	13	29	-99999999	40	580	44	59541	1	18230	716	13537	GM0171	13	Noordoostpolder	-99999999	100	1	76	46004	22	21	20045	26	1.1	3730	2.5	9	13	1795	11	62	17815	5	4	23120	16	1045	27	-4	22660	6	32	45780
552.053389685884 461.5338745340647	210	10	0	1130	2	270	0	16	29	-99999999	37	340	831	2198	4	13130	1297	40	GM0173	11	Oldenzaal	-99999999	1455	0	17	2159	19	19	17930	29	1.4	3005	2.4	9	3	1475	81	66	13215	8	3	15650	14	35	27	29	15760	6	33	31420
478.20877815936086 512.4198890627227	249	12	0	960	1	140	0	16	26	-99999999	41	180	46	18198	0	6730	419	199	GM0175	10	Ommen	-99999999	96	0	11	18000	21	18	8255	28	1.2	1600	2.5	8	7	755	81	63	6300	3	5	8680	16	395	25	-1	8630	2	33	17310
454.8456101468039 479.9917062536622	246	12	0	1890	2	330	0	15	25	-99999999	43	400	95	17231	1	14410	604	106	GM0177	11	Raalte	-99999999	218	0	5	17125	23	19	16245	29	1.1	2675	2.6	9	8	1265	87	61	13980	3	4	18690	16	650	26	-4	18620	3	32	37310
443.0764140043022 541.3500445392359	255	15	0	750	1	110	0	11	20	-99999999	54	255	52	13570	0	5060	311	143	GM0180	16	Staphorst	-99999999	118	0	2	13428	35	26	7045	22	1.4	1695	3.1	7	3	710	95	55	5250	1	5	8160	10	455	26	-4	7740	1	27	15900
530.9291021428248 486.8591152764127	253	12	0	1000	1	140	0	14	20	-99999999	52	250	66	14740	0	7060	240	42	GM0183	12	Tubbergen	-99999999	141	0	6	14698	29	23	9730	26	1.4	2190	2.9	7	11	845	83	60	6855	4	5	10490	11	640	26	-5	10240	1	28	20720
354.10378919238394 548.9411150536669	203	18	0	240	1	55	0	7	18	-99999999	62	385	449	10990	0	4960	945	9839	GM0184	22	Urk	-99999999	1527	1	54	1152	30	31	5165	17	1.0	860	3.5	3	8	680	38	61	5125	1	4	8880	9	15	27	8	8710	1	20	17580
498.1246896336295 469.6949797863277	241	12	0	1000	1	180	0	14	22	-99999999	46	270	114	9524	1	8680	630	56	GM0189	11	Wierden	-99999999	248	0	4	9468	22	20	10795	28	1.2	1560	2.7	8	11	915	85	65	8580	5	4	11800	12	320	26	-6	11640	2	32	23440
429.88812936652386 512.4317414710251	202	13	1	3870	4	860	1	13	39	-99999999	32	1660	396	11928	2	52300	1766	762	GM0193	14	Zwolle	-99999999	1027	1	8	11165	12	19	44265	23	0.8	4720	2.1	7	2	4540	90	69	49880	7	2	55680	19	190	32	-2	58960	8	29	114640
426.3427736741032 352.8488165869011	213	10	0	650	1	95	0	13	23	-99999999	42	100	132	4814	0	4390	326	809	GM0196	9	Rijnwaarden	-99999999	275	0	28	4004	25	18	5265	30	1.2	615	2.5	9	16	410	57	59	4220	10	5	5520	16	60	28	-5	5480	2	35	11000
499.84164892681474 363.9124736290314	212	11	0	1185	1	215	0	16	27	-99999999	40	320	131	9709	1	11040	715	52	GM0197	12	Aalten	-99999999	285	0	13	9657	27	19	12670	28	1.1	1855	2.5	8	12	1045	75	60	10890	9	4	13790	13	350	27	-2	13780	3	33	27570
400.4988091929337 429.87153208027956	236	11	1	6410	3	1425	1	16	33	-99999999	36	1655	207	34113	3	66400	1598	121	GM0200	11	Apeldoorn	-99999999	458	0	13	33992	15	18	70340	28	1.1	9590	2.3	9	7	6770	80	67	64675	8	2	76400	18	360	27	-3	79170	7	32	155560
396.29849371051904 382.5762738284804	182	13	1	3870	6	1215	2	13	46	-99999999	28	1810	552	10153	5	71400	1980	339	GM0202	13	Arnhem	-99999999	1453	2	31	9814	13	16	54220	24	0.8	6330	2.0	9	4	6330	65	68	65440	11	2	70550	19	50	34	7	72020	17	26	142570
357.4693940012209 424.25599151049437	292	15	0	1925	1	325	0	13	25	-99999999	46	705	127	17674	1	18240	739	74	GM0203	14	Barneveld	-99999999	289	0	5	17601	28	23	22325	24	1.2	5345	2.8	6	15	2995	80	61	17605	4	4	25330	11	725	26	-5	25620	3	29	50950
372.9256526699985 347.801115461647	250	12	0	1095	2	145	1	12	24	-99999999	45	205	267	4717	0	9890	931	332	GM0209	8	Beuningen	-99999999	575	0	34	4385	21	20	11700	29	1.2	1355	2.5	6	11	1055	55	62	9850	8	4	12680	17	120	27	-8	12560	3	31	25230
430.8908466968584 409.88608489601773	261	10	0	1120	1	190	0	17	25	-99999999	39	170	116	8510	3	8550	659	105	GM0213	8	Brummen	-99999999	253	0	9	8405	20	18	9790	29	1.1	1570	2.4	9	4	870	87	63	8360	6	4	10530	17	145	25	-8	10700	5	36	21230
320.75282482942623 366.5895170383383	292	11	0	1240	1	215	0	13	22	-99999999	43	265	96	14293	0	9880	235	856	GM0214	10	Buren	-99999999	191	0	40	13437	23	19	12965	30	1.3	2875	2.6	8	11	1450	49	62	9240	4	5	12830	15	470	27	-2	12820	1	35	25650
290.8108407547032 368.50942836607146	223	11	0	805	2	185	1	12	29	-99999999	42	315	371	3118	1	11010	1324	175	GM0216	12	Culemborg	-99999999	924	7	18	2942	17	21	10920	27	1.0	1505	2.5	7	5	1345	77	66	10915	8	3	13470	16	60	29	-6	13710	12	30	27180
435.492198275186 387.3400743364715	210	10	0	465	1	105	1	14	30	-99999999	39	95	428	1290	7	4910	771	138	GM0221	8	Doesburg	-99999999	1007	0	13	1152	15	19	4935	29	1.0	520	2.3	9	27	430	60	67	4825	10	4	5710	18	15	28	0	5880	10	32	11590
457.34738040612183 373.0849395743641	220	11	0	2290	2	485	0	15	31	-99999999	37	590	321	7967	3	23860	1047	57	GM0222	11	Doetinchem	-99999999	711	0	16	7910	19	18	25425	28	1.1	3655	2.3	9	13	2625	71	66	23215	7	3	27840	15	240	28	-6	28400	5	33	56240
353.1264586191776 350.7830908653749	242	11	0	755	2	110	0	12	22	-99999999	44	190	215	4243	3	6880	705	452	GM0225	11	Druten	-99999999	478	0	21	3791	26	20	8155	28	1.2	1435	2.6	6	10	830	69	61	6890	6	4	8980	14	135	29	4	9130	5	34	18110
415.819903494172 369.0257466081128	234	11	0	1165	2	150	1	12	22	-99999999	47	230	335	3515	1	9870	1070	113	GM0226	9	Duiven	-99999999	753	0	40	3402	18	22	11385	27	1.2	1680	2.6	6	15	1080	45	67	9855	8	3	12560	15	85	29	-8	13040	4	31	25600
370.76222656104704 401.278678295875	256	14	0	3775	2	770	1	14	31	-99999999	39	1330	145	31868	2	43100	1419	43	GM0228	12	Ede	-99999999	338	2	6	31825	24	20	46110	25	1.1	7570	2.5	7	17	4935	77	61	40290	7	3	52640	15	965	27	-4	54860	7	30	107500
389.0822507588955 485.42572313238986	241	13	0	740	1	155	0	13	24	-99999999	45	280	156	6595	0	8290	620	210	GM0230	13	Elburg	-99999999	348	0	6	6385	26	21	9955	26	1.2	1300	2.6	7	3	845	91	60	8245	3	4	10980	14	160	28	-2	11230	2	32	22220
405.3210785454056 463.86776189478417	295	10	0	1375	1	320	0	18	27	-99999999	38	290	101	15725	3	13380	620	104	GM0232	9	Epe	-99999999	211	0	10	15620	21	17	15820	30	1.2	2280	2.4	10	5	1500	85	63	13085	6	4	16230	16	260	24	-5	16760	5	35	32990
361.31593552492365 454.18903245449343	282	13	0	960	2	230	0	17	33	-99999999	36	240	131	8738	1	10640	835	173	GM0233	9	Ermelo	-99999999	307	0	7	8565	20	18	11220	28	1.1	1685	2.4	9	10	1220	83	63	9130	5	4	12920	17	125	24	-2	13390	3	31	26300
292.42622936447145 353.9938264450557	278	11	0	1045	1	170	0	13	23	-99999999	44	315	125	10167	0	10040	550	194	GM0236	12	Geldermalsen	-99999999	263	1	41	9972	22	21	12480	28	1.2	2960	2.6	7	7	1555	52	66	10000	4	4	12980	12	300	28	-2	13250	3	33	26230
402.8998550968698 328.6422284496436	271	10	0	725	1	240	0	19	27	-99999999	39	145	196	4412	0	7560	617	-99999998	GM0241	8	Groesbeek	-99999999	429	0	25	4412	24	17	8635	30	1.1	975	2.4	13	20	750	56	57	7415	10	4	9200	20	115	24	3	9710	2	34	18910
359.37982558026863 467.02098765144626	225	13	0	1400	2	315	0	13	30	-99999999	40	515	482	4827	5	17060	1287	980	GM0243	12	Harderwijk	-99999999	1094	2	14	3847	19	20	18555	26	1.1	3190	2.4	8	5	1895	82	66	16580	6	3	20740	15	45	29	-8	21340	10	30	42080
