COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
326.0753697190377 329.90176435863094	306	12	0	325	1	30	0	12	17	-99999999	48	55	63	5551	0	2410	185	485	GM0808	8	Lith	-99999999	133	0	16	5065	28	21	3215	29	1.3	685	2.8	5	18	330	65	60	2410	4	5	3410	12	165	27	-3	3310	1	34	6720
265.2823779240085 292.1937092384597	262	11	0	920	1	165	0	15	23	-99999999	42	225	215	5072	1	9080	934	55	GM0809	10	Loon op Zand	-99999999	456	0	22	5017	25	18	10770	29	1.2	1470	2.5	7	10	1110	68	64	9110	5	4	11340	11	110	26	-3	11530	3	35	22870
377.4863750995636 303.5085042383294	293	10	0	675	1	80	0	15	21	-99999999	43	120	105	5308	0	4220	281	91	GM0815	11	Mill en Sint Hubert	-99999999	211	0	29	5217	30	19	5480	30	1.3	1180	2.6	7	11	495	60	57	4210	3	5	5590	13	185	27	-5	5420	1	35	11010
343.58639444046656 251.4897937291672	319	11	0	905	2	135	0	15	23	-99999999	40	170	336	3411	0	9140	984	23	GM0820	8	Nuenen, Gerwen en Nederwetten	-99999999	670	0	25	3388	20	19	11370	33	1.2	1310	2.5	6	8	1280	67	66	9095	8	4	11380	14	90	23	-6	11320	2	36	22690
303.0020070634365 255.0267175065765	336	12	0	925	1	130	0	15	24	-99999999	43	155	105	10285	0	6800	559	105	GM0823	9	Oirschot	-99999999	175	0	25	10179	26	19	10690	29	1.6	2310	2.6	7	8	900	67	61	6450	4	4	9070	13	285	25	-6	8780	1	33	17850
288.602912857621 269.9300639103507	328	11	0	1015	2	210	0	17	28	-99999999	39	220	188	6511	0	10490	908	121	GM0824	9	Oisterwijk	-99999999	403	1	28	6390	20	18	12025	29	1.1	1490	2.4	8	13	1540	60	65	10135	7	4	12640	14	150	25	-7	13110	4	33	25740
236.7414355915535 291.6533855446244	231	11	0	1690	2	440	1	15	29	-99999999	37	505	357	7309	3	22610	1378	158	GM0826	9	Oosterhout	-99999999	745	2	35	7152	19	18	25515	30	1.1	3430	2.3	8	8	2660	57	67	22515	8	3	26250	14	170	27	-6	27050	9	34	53300
348.1152949467621 326.90044140622473	229	12	0	2640	2	580	1	14	29	-99999999	39	780	343	10442	5	31920	1365	256	GM0828	10	Oss	-99999999	753	0	22	10186	24	18	34890	27	1.1	5910	2.4	8	11	3525	67	62	31390	8	3	38260	13	250	28	-4	38390	9	32	76650
188.7828244626763 263.3059025214207	253	10	0	980	1	210	0	15	21	-99999999	42	165	174	6449	0	9090	640	6	GM0840	7	Rucphen	-99999999	348	0	40	6443	35	15	11180	32	1.2	2050	2.5	9	17	1100	43	52	9185	5	4	11240	14	240	27	-5	11170	2	37	22410
325.8573325125205 287.41093008946274	269	11	0	1000	1	170	0	14	24	-99999999	43	220	261	4165	0	8960	907	13	GM0844	10	Schijndel	-99999999	552	0	20	4153	33	18	10845	29	1.2	2080	2.5	7	8	1340	71	56	8905	5	4	11440	11	135	27	-1	11470	2	33	22910
316.7670117225218 296.2368258088196	318	11	0	1220	1	225	0	16	23	-99999999	43	270	226	5989	0	10700	531	94	GM0845	10	Sint-Michielsgestel	-99999999	474	0	24	5896	28	19	13345	29	1.2	2340	2.6	8	16	1430	60	56	10570	4	4	13980	15	230	25	-3	13940	2	34	27920
330.98238546215896 272.77807028906346	306	11	0	800	2	130	0	15	24	-99999999	40	150	130	6495	0	6770	572	49	GM0846	9	Sint-Oedenrode	-99999999	266	0	21	6446	28	19	8385	29	1.2	1610	2.5	8	8	860	72	57	6615	4	4	8540	15	295	25	-1	8630	2	35	17170
365.82508911048336 226.60099143906396	271	12	0	700	1	115	0	15	24	-99999999	44	135	103	8143	0	6900	621	117	GM0847	7	Someren	-99999999	226	0	23	8026	36	19	8295	28	1.2	1870	2.6	6	8	925	68	52	6830	4	4	9230	12	305	26	-5	8900	1	32	18130
333.07240753476793 260.93082009257625	302	9	0	685	2	100	0	19	24	-99999999	38	145	299	2649	0	6210	580	56	GM0848	9	Son en Breugel	-99999999	590	0	17	2593	21	20	7760	26	1.3	1770	2.4	7	7	980	76	64	6220	8	4	7580	15	70	26	-4	7720	3	37	15310
152.55125970202388 282.45122337697217	218	10	0	1095	1	220	1	15	24	-99999999	39	190	77	15879	0	9510	570	1217	GM0851	8	Steenbergen	-99999999	159	0	73	14662	24	18	11340	30	1.2	1765	2.4	9	9	1045	18	61	9570	5	4	11670	14	280	27	-8	11630	3	37	23300
261.1619393434121 495.40842645795567	284	11	0	725	2	90	1	16	27	-99999999	40	135	135	11564	0	7080	600	6352	GM0852	8	Waterland	-99999999	330	0	1	5212	20	18	7020	32	1.0	1045	2.4	5	1	845	97	64	7070	7	4	8570	16	140	23	1	8610	3	33	17180
268.4656430850663 276.8918100885289	209	15	2	5880	4	1695	2	13	42	-99999999	31	2265	724	11915	4	95370	2480	185	GM0855	11	Tilburg	-99999999	1716	3	28	11730	19	17	84910	25	0.9	10880	2.1	8	12	8165	60	64	85825	8	2	99620	17	155	30	-2	101640	13	27	201260
359.43888032814306 295.8357087744295	258	11	0	1790	2	270	1	14	28	-99999999	39	460	289	6759	3	16490	1217	49	GM0856	11	Uden	-99999999	599	0	30	6710	22	19	19405	28	1.2	3425	2.4	7	12	2190	58	63	16365	8	3	20080	15	245	28	-6	20130	7	33	40200
327.9117629030333 212.6883005614455	255	11	0	1340	2	255	0	17	30	-99999999	35	265	273	5644	0	13440	1282	147	GM0858	9	Valkenswaard	-99999999	562	0	35	5497	20	16	15000	30	1.1	2230	2.3	8	16	1665	48	66	13455	10	3	15240	14	85	26	1	15670	3	35	30910
347.36113720122336 281.8803336033604	273	12	0	1760	2	255	1	14	25	-99999999	43	375	230	7892	4	14290	930	76	GM0860	10	Veghel	-99999999	470	1	21	7816	25	20	17945	27	1.3	4280	2.5	7	11	1855	69	60	14335	6	4	18420	14	355	28	-7	18310	8	32	36730
317.5530575638403 234.79786559327843	257	11	0	1875	2	300	1	15	28	-99999999	38	410	641	3192	0	18000	1466	19	GM0861	9	Veldhoven	-99999999	1365	0	39	3172	22	18	20335	29	1.1	2550	2.4	7	15	1860	46	62	17850	9	3	21650	17	60	28	-11	21640	4	35	43280
299.73601246900444 295.8055122935193	399	10	0	700	2	255	0	17	31	-99999999	39	290	331	3446	0	10230	1089	95	GM0865	12	Vught	-99999999	753	0	20	3351	17	19	11075	28	1.1	1005	2.4	10	17	1315	63	68	10230	9	3	12440	15	55	26	4	12800	4	30	25240
330.31111263225216 228.62264137811923	327	9	0	545	2	115	1	19	26	-99999999	38	165	359	2271	0	6810	732	28	GM0866	10	Waalre	-99999999	737	0	15	2243	17	19	8065	29	1.2	650	2.4	7	21	795	65	65	6935	10	4	8120	18	35	24	-3	8400	4	36	16520
259.7886963643347 305.1545703485438	251	11	0	1655	2	340	1	15	28	-99999999	39	475	349	6772	3	19000	1138	301	GM0867	10	Waalwijk	-99999999	706	0	26	6471	24	17	22590	28	1.2	3995	2.4	7	13	2705	61	64	18785	7	3	22730	12	125	28	-2	22930	7	34	45670
238.35266389950138 323.98302069623185	244	13	0	845	1	190	0	14	21	-99999999	45	300	112	12173	0	9940	571	1702	GM0870	11	Werkendam	-99999999	253	0	49	10471	27	19	11725	27	1.2	2220	2.7	7	18	1470	33	63	9970	3	4	13290	10	160	27	-5	13230	1	34	26520
154.57023235499247 235.06867734368697	235	10	0	1080	1	200	0	16	23	-99999999	37	175	120	9199	0	8920	537	31	GM0873	8	Woensdrecht	-99999999	234	0	50	9168	24	17	11015	31	1.2	1405	2.4	9	23	845	27	62	8800	16	4	10780	15	125	26	-2	10710	2	39	21500
257.2761889597736 327.75262551939915	267	12	0	565	1	105	0	13	22	-99999999	46	165	135	5165	0	5360	300	225	GM0874	12	Woudrichem	-99999999	290	0	48	4940	26	20	6660	28	1.2	1435	2.6	7	10	710	43	61	5400	4	5	7180	13	125	28	-9	7150	1	32	14330
201.76293195224412 252.3884664944133	289	11	0	790	1	185	0	16	25	-99999999	39	155	81	12075	0	8370	448	37	GM0879	7	Zundert	-99999999	173	1	65	12038	22	17	9800	30	1.2	1870	2.5	9	9	855	27	62	7945	11	5	10610	15	625	26	-6	10240	2	37	20850
236.93382370087315 508.03518689990347	242	10	0	845	2	100	1	16	27	-99999999	40	150	169	4514	1	6500	1257	635	GM0880	9	Wormerland	-99999999	409	0	3	3879	30	19	6565	28	1.0	1035	2.4	6	1	705	95	56	6360	6	3	7910	14	85	27	-5	7950	5	33	15860
409.7626155809796 124.54423854115933	190	10	0	415	1	60	0	16	25	-99999999	41	65	200	2124	0	3470	449	8	GM0881	8	Onderbanken	-99999999	396	1	50	2117	21	16	4240	32	1.2	450	2.4	7	24	245	26	55	3560	19	5	4190	25	40	25	3	4200	2	34	8390
420.4516745754451 108.71804987808456	168	11	0	1530	2	355	0	17	29	-99999999	36	305	759	2469	0	17060	1329	8	GM0882	8	Landgraaf	-99999999	1580	0	53	2460	20	15	18670	33	1.1	1835	2.2	9	17	1225	30	62	17795	21	3	19140	18	30	25	3	19730	3	35	38870
