COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
557.4156005588733 572.2072231229986	102	9	52	8320	11	0	0	4010	2	0	16	28	-999999999	18	38	140	34629	1	45400	705	881	GM0114	-1	116	Emmen	.	321	33748	64	3750	21	47395	27	1.0	7660	2.4	11	25	60	45435	7	53580	1	4	18	505	28	54770	4	34	108350
489.41877627733567 564.2866623385428	110	9	42	3900	13	0	0	1955	2	0	16	28	-999999999	19	39	180	12922	1	21840	1040	145	GM0118	-2	110	Hoogeveen	.	420	12777	16	1480	21	23005	26	1.0	3955	2.4	5	80	62	21465	5	26590	2	3	18	265	27	27070	3	33	53660
440.84744475565816 561.8166278813529	107	8	29	2060	12	0	2	1065	3	1	14	33	-999999999	19	35	223	5698	0	13200	1106	130	GM0119	-3	100	Meppel	.	550	5568	3	600	18	12400	25	0.9	2035	2.3	4	93	63	12915	5	14960	1	3	20	100	30	15700	6	32	30650
358.5535622960182 663.7107678963873	107	6	29	460	11	0	0	430	1	0	11	24	-999999999	22	44	34	13257	0	4120	112	184	GM0140	-8	63	Littenseradiel	.	83	13074	1	210	30	4435	27	1.0	1110	2.6	1	98	47	4205	4	5480	2	5	24	285	29	5380	1	32	10860
513.0384331976837 470.705115778779	97	9	34	5480	12	0	1	2130	4	0	14	31	-999999999	19	38	440	6940	8	30430	1415	196	GM0141	-1	113	Almelo	.	1071	6743	9	1630	21	29640	25	0.9	4500	2.3	13	78	61	30410	10	35720	1	3	19	150	30	36500	13	31	72230
461.73162466617856 445.0887893080711	163	5	24	210	10	0	-999999999	250	1	0	16	22	-999999999	19	41	100	2646	-999999999	2100	357	23	GM0144	0	60	Bathmen	.	203	2622	5	80	13	2635	30	1.2	350	2.5	10	84	60	2145	4	2670	-99999999	5	28	95	25	2660	1	37	5330
526.314829465567 462.03912253432463	139	7	24	1190	10	0	0	840	2	0	14	24	-999999999	20	42	342	2615	1	8120	1091	16	GM0147	-4	87	Borne	.	792	2600	11	320	21	8900	29	1.0	1135	2.5	10	79	61	8165	7	10250	0	3	18	80	27	10350	4	34	20600
454.05728367840874 511.62600488350296	162	7	20	1180	12	0	0	1740	1	0	14	21	-999999999	21	46	74	16650	0	9680	405	132	GM0148	-3	69	Dalfsen	.	160	16518	5	340	23	12160	26	1.2	2485	2.7	6	88	59	9480	2	13400	1	5	18	620	27	13020	1	33	26430
445.28346867196615 451.02074721134215	110	9	32	5840	13	0	0	2460	4	1	14	38	-999999999	19	33	324	10792	7	40000	1739	284	GM0150	0	96	Deventer	.	848	10508	9	1920	15	34020	23	0.8	4250	2.2	14	76	65	37560	9	43820	2	2	21	275	32	45320	13	29	89140
547.3613035967529 439.5626207372446	97	9	28	11610	15	1	1	4320	5	1	14	42	-999999999	17	30	431	14275	6	72550	1849	167	GM0153	-3	108	Enschede	.	1084	14109	11	2980	16	60850	24	0.8	7985	2.1	12	77	65	64945	12	78030	0	2	18	240	31	74960	14	28	152990
528.9492324950188 422.86011162524255	140	7	28	1440	10	0	0	1170	1	0	15	22	-999999999	19	43	104	10548	3	9270	918	56	GM0158	-4	90	Haaksbergen	.	230	10492	8	440	24	10880	28	1.1	1650	2.6	16	77	61	9295	8	12140	2	4	15	375	28	11990	4	35	24120
499.19532277310725 530.029150534242	128	9	30	3490	13	0	0	2950	1	0	13	23	-999999999	21	46	80	31724	0	21120	453	437	GM0160	-4	91	Hardenberg	.	185	31287	16	1150	23	24985	24	1.1	4605	2.7	12	72	60	20835	4	29210	1	5	18	855	29	28610	2	31	57820
481.1416915050742 479.8570854489544	140	8	23	2130	12	0	0	1705	1	0	15	23	-999999999	19	44	116	13903	0	13670	718	87	GM0163	-2	89	Hellendoorn	.	261	13816	7	560	24	15970	27	1.1	2365	2.6	12	81	58	13605	4	18070	1	4	18	380	27	18040	2	33	36100
531.9021096119026 447.80750767768063	108	9	32	4850	12	1	0	3115	3	0	15	35	-999999999	19	34	572	6178	6	35730	1570	72	GM0164	0	89	Hengelo (O.)	.	1326	6106	11	1710	17	34905	25	0.9	4490	2.2	13	76	64	35445	10	40140	2	2	19	125	30	40820	10	31	80960
401.595065966405 521.3043335302309	112	8	23	2910	14	0	0	1605	2	0	13	30	-999999999	21	41	126	16184	2	19230	1384	2050	GM0166	-5	90	Kampen	.	346	14134	16	750	26	17745	23	0.9	2540	2.5	2	83	57	18845	4	24210	1	3	16	400	29	24740	4	29	48950
566.1115693271249 460.4887154466304	138	7	27	1810	11	0	0	805	1	0	15	22	-999999999	18	45	102	9964	1	8390	662	69	GM0168	-4	122	Losser	.	227	9895	5	400	20	10085	29	1.2	1390	2.6	8	87	61	8425	13	11220	1	4	19	325	26	11280	2	33	22510
376.93808512469496 559.8271118080835	103	8	24	2390	13	1	1	1670	3	1	13	28	-999999999	22	41	41	59541	1	17960	707	13536	GM0171	-3	81	Noordoostpolder	.	99	46005	76	700	22	18895	24	1.0	3875	2.5	13	11	61	17490	5	22970	2	4	17	1130	28	22600	6	31	45570
551.9930294295348 461.4294120264406	125	8	29	2040	10	0	0	1055	2	0	15	28	-999999999	19	38	713	2198	4	12890	1275	40	GM0173	-3	98	Oldenzaal	.	1454	2159	34	610	20	15400	27	1.1	2895	2.4	9	56	66	12900	9	15720	5	3	14	30	29	15680	6	34	31390
478.1790956569084 512.2938945514131	155	7	21	980	13	0	0	815	1	0	15	25	-999999999	19	43	42	18198	0	6380	430	199	GM0175	-1	87	Ommen	.	94	17999	9	240	20	7615	27	1.1	1565	2.6	13	78	62	6140	3	8520	2	5	18	410	26	8420	2	32	16940
454.8005260243922 479.8614245962383	153	8	20	2030	12	0	0	1650	2	0	14	24	-999999999	20	44	90	17231	1	14100	583	102	GM0177	-1	81	Raalte	.	217	17128	6	440	22	15460	27	1.0	2700	2.6	10	84	59	13595	3	18610	1	4	19	690	28	18540	3	32	37140
443.08151203010743 541.2241614219499	154	7	15	500	15	0	-999999999	675	1	0	11	18	-999999999	26	54	49	13570	0	4920	311	141	GM0180	-3	51	Staphorst	.	117	13429	3	140	33	6610	21	1.3	1565	3.2	3	94	54	5045	1	8010	2	5	14	495	27	7650	1	27	15660
530.9152403120805 486.75744392416306	158	7	20	1090	11	0	-999999999	970	0	0	13	18	-999999999	23	54	62	14740	0	6770	228	42	GM0183	-4	85	Tubbergen	.	138	14698	7	230	28	9040	24	1.3	2100	3.0	13	80	58	6600	4	10340	2	5	14	700	28	9960	1	27	20300
354.12809300971145 548.8068824712003	107	7	15	640	18	0	1	215	1	-999999999	7	18	-999999999	33	65	412	10990	0	4700	890	9837	GM0184	-2	63	Urk	.	1477	1154	67	130	29	4755	15	1.0	770	3.6	8	25	60	4900	1	8620	3	4	11	10	27	8420	1	18	17040
498.10634925123037 469.61465610106444	147	7	20	1270	12	0	0	945	1	0	13	20	-999999999	20	48	112	9523	1	8440	612	56	GM0189	-1	81	Wierden	.	247	9468	5	320	23	10565	27	1.2	1915	2.8	13	83	62	8470	5	11710	2	4	16	355	28	11630	1	32	23340
429.87161712093376 512.3429483559111	118	9	29	6910	14	1	1	3500	3	1	13	39	-999999999	18	33	388	11928	2	50030	1703	717	GM0193	-3	90	Zwolle	.	989	11211	10	2210	12	43465	22	0.8	5805	2.2	4	86	67	47135	7	53830	1	2	21	205	33	57050	8	29	110880
426.4933156626857 352.2533153739382	122	6	32	760	10	0	0	630	1	0	12	21	-999999999	19	44	136	4485	1	4400	322	755	GM0196	-3	99	Rijnwaarden	.	300	3730	22	250	24	5070	29	1.1	650	2.5	18	60	58	4175	10	5640	0	5	18	65	30	5560	2	35	11200
501.39189362926805 365.3785940466407	137	7	20	1130	11	0	0	750	2	0	15	27	-999999999	20	41	98	8337	2	7350	686	47	GM0197	-2	93	Aalten	.	229	8290	13	250	26	8105	26	1.1	1310	2.5	13	74	59	7180	7	9480	1	4	14	320	27	9510	4	32	19000
425.4627061233683 379.4269606794918	153	6	27	310	9	0	0	260	1	0	11	21	-999999999	20	45	92	3026	-999999999	1980	288	414	GM0199	-2	87	Angerlo	.	197	2612	4	100	24	2400	30	1.2	340	2.6	11	85	58	1845	7	2590	-99999999	5	18	45	29	2540	2	34	5140
400.4689312112234 429.7722540257502	146	9	24	10080	11	1	0	6050	3	1	15	32	-999999999	18	36	200	34113	2	65880	1566	117	GM0200	-2	96	Apeldoorn	.	459	33996	15	2540	15	68090	27	1.0	9555	2.3	7	78	64	63575	8	76610	1	2	20	390	29	79390	7	32	156000
396.3030106886103 382.48750189528215	112	9	38	9190	13	1	2	3815	6	2	13	45	-999999999	17	28	537	10153	5	69480	1944	328	GM0202	-4	93	Arnhem	.	1441	9825	28	3740	13	52730	23	0.7	7265	2.0	14	59	65	63830	11	69920	1	2	22	55	34	71690	17	26	141600
357.4112155051238 424.1533560232958	188	9	10	1990	15	0	0	1695	2	0	12	24	-999999999	24	47	120	17674	1	17470	692	72	GM0203	-3	62	Barneveld	.	284	17602	5	380	26	21100	22	1.1	4870	2.8	16	79	61	16660	4	24950	2	4	13	785	27	25060	4	29	50020
451.1950236808774 358.9917498481036	148	7	28	1300	9	0	0	850	1	0	15	23	-999999999	19	42	111	7498	1	7250	490	62	GM0207	-3	107	Bergh	.	247	7436	11	340	22	8230	28	1.1	1425	2.5	12	77	61	7165	11	9190	-99999999	5	17	210	29	9200	2	35	18390
372.93991448663854 347.72672000293943	156	7	29	1200	11	1	0	1030	2	1	11	22	-999999999	21	47	259	4717	0	9680	888	330	GM0209	-2	69	Beuningen	.	580	4386	30	510	20	11355	26	1.1	1470	2.6	12	57	62	9600	8	12760	1	4	18	135	31	12700	3	31	25460
493.85826520955 415.69996467085986	136	6	28	640	10	0	1	490	1	0	16	23	-999999999	19	40	85	5588	0	4060	527	76	GM0211	3	94	Borculo	.	189	5512	10	190	20	4685	27	1.1	915	2.5	12	78	59	4050	4	5240	-99999999	4	21	205	28	5150	3	37	10400
430.8970170316983 409.77184920186716	158	7	25	1270	10	0	0	1065	1	0	16	23	-999999999	19	41	112	8510	3	8480	642	109	GM0213	-5	91	Brummen	.	256	8401	7	350	20	9395	28	1.1	1570	2.5	10	82	61	8315	6	10670	1	4	20	160	27	10800	5	36	21470
320.7263988169659 366.49517224415683	178	8	22	1240	11	0	0	1140	1	0	12	21	-999999999	20	45	91	14293	0	9770	233	827	GM0214	-5	71	Buren	.	191	13466	39	380	23	12265	29	1.2	2895	2.6	10	51	60	9140	4	12940	1	5	17	515	28	12820	1	34	25760
290.85118201386257 368.40498347839053	138	8	31	1250	11	0	7	710	3	1	11	29	-999999999	22	43	347	3118	1	10690	1296	160	GM0216	-2	70	Culemborg	.	899	2958	15	550	20	10275	25	0.9	1600	2.5	9	76	63	10360	8	13170	3	3	17	65	31	13420	13	29	26590
433.96317297640815 368.15996791099445	163	7	27	1240	11	0	0	695	1	0	13	20	-999999999	19	46	216	3513	0	6450	837	32	GM0218	-5	107	Didam	.	487	3481	10	310	25	7530	29	1.1	1050	2.6	13	77	59	6185	6	8490	-99999999	4	16	155	28	8460	2	34	16950
490.050882988131 354.3794433663569	150	6	23	460	11	0	-999999999	330	1	0	15	23	-999999999	18	41	289	1372	0	3430	717	5	GM0219	-3	78	Dinxperlo	.	627	1367	18	140	27	3945	27	1.1	435	2.5	12	70	57	3470	16	4290	-99999999	4	16	55	30	4280	1	36	8570
435.49564010315885 387.2373206023269	132	6	40	790	10	0	0	435	1	1	13	29	-999999999	20	40	398	1290	7	4770	749	126	GM0221	-1	102	Doesburg	.	984	1164	13	320	15	4630	28	0.9	535	2.4	20	67	65	4640	10	5660	2	4	20	15	30	5790	10	31	11450
462.95756373619986 372.56300287944754	130	9	30	3360	11	0	0	1815	3	0	14	31	-999999999	19	36	416	5277	3	21050	1096	51	GM0222	-1	101	Doetinchem	.	947	5226	24	1000	18	21750	26	1.0	3270	2.3	16	60	64	20485	8	24500	1	3	18	115	30	25010	6	33	49500
353.0661333356825 350.68813449195625	144	7	27	1160	11	0	0	710	1	0	11	22	-999999999	21	45	201	4243	3	6750	671	441	GM0225	-4	96	Druten	.	468	3802	20	330	24	7640	26	1.1	1380	2.6	10	70	58	6670	6	8800	3	4	17	125	31	8980	5	33	17790
415.80864787640854 368.95307099611705	145	7	26	1250	10	0	0	1165	2	1	11	21	-999999999	23	47	322	3515	1	9790	1021	110	GM0226	-5	73	Duiven	.	758	3406	45	440	19	10965	24	1.1	1840	2.6	14	42	63	9710	8	12660	2	3	18	95	32	13150	4	31	25810
370.7675999803122 401.17996203986627	163	9	22	5360	14	0	2	3405	2	1	14	30	-999999999	21	40	137	31868	2	41370	1378	35	GM0228	-4	77	Ede	.	331	31833	7	1500	23	43585	24	1.0	7090	2.5	17	76	59	39395	7	51710	2	3	18	1035	28	53780	7	30	105500
510.70356635091923 403.0625392440031	136	7	23	970	11	0	0	740	1	0	14	25	-999999999	19	43	62	11756	0	6330	615	77	GM0229	0	87	Eibergen	.	142	11679	6	250	26	7300	28	1.1	1045	2.6	13	81	55	6165	6	8550	-99999999	4	19	485	28	8070	2	32	16630
389.0495289930467 485.2874557449256	153	7	20	1130	13	0	0	665	1	0	12	21	-999999999	21	47	145	6595	0	7900	579	212	GM0230	-1	79	Elburg	.	341	6383	10	260	22	9260	25	1.1	1260	2.7	4	86	60	7840	3	10760	3	4	19	170	28	11000	2	32	21750
405.2952936540003 463.7601862990354	174	8	22	2060	10	0	0	1190	1	0	17	27	-999999999	18	39	97	15725	3	13320	617	104	GM0232	-3	97	Epe	.	213	15621	11	470	20	15160	28	1.1	2335	2.5	9	80	60	12955	6	16410	0	4	20	280	26	16900	5	34	33310
361.33912050832146 454.04641834274366	170	8	15	2000	13	0	0	865	2	0	16	29	-999999999	19	39	127	8738	1	10120	815	172	GM0233	-4	116	Ermelo	.	310	8567	7	290	20	10850	27	1.0	1665	2.5	10	83	63	9035	5	13080	1	4	18	135	25	13510	3	32	26590
292.4343792147082 353.89417432850684	173	8	22	1290	11	0	1	1000	1	0	12	23	-999999999	21	44	120	10167	0	9740	516	197	GM0236	-5	75	Geldermalsen	.	257	9970	40	380	21	12005	26	1.2	2685	2.6	5	55	64	9630	4	12730	2	4	15	320	30	12940	3	33	25670
472.09916610121945 352.7286136789229	134	7	29	1300	11	0	0	885	1	0	13	23	-999999999	20	44	139	6514	4	8110	648	104	GM0237	-5	93	Gendringen	.	325	6410	13	410	29	8895	27	1.0	1295	2.6	13	74	55	8015	9	10440	-99999999	4	16	210	29	10410	6	33	20850
452.3169757228938 431.02962350335724	203	7	20	800	8	0	0	705	1	0	22	25	-999999999	17	35	78	8768	0	5500	246	169	GM0239	-4	97	Gorssel	.	156	8599	16	160	15	6680	31	1.2	985	2.4	13	71	62	5510	6	6560	-99999999	5	23	215	23	6820	1	40	13380
508.31292768959383 394.10342730201074	129	6	28	630	10	0	2	385	1	0	16	28	-999999999	18	37	438	946	1	3870	829	11	GM0240	-3	100	Groenlo	.	1015	935	8	170	19	4095	26	1.0	710	2.4	5	86	61	3880	8	4690	1	4	20	35	30	4800	4	36	9480
402.88080181162917 328.55193505323155	165	7	27	1540	9	0	0	665	1	0	18	26	-999999999	18	40	189	4412	0	7410	602	0	GM0241	-4	128	Groesbeek	.	427	4412	23	330	22	8320	29	1.1	915	2.4	21	55	55	7300	10	9160	1	4	23	120	26	9680	2	34	18840
359.34411763704156 466.92750903169673	135	8	23	2550	13	0	2	1255	2	0	13	29	-999999999	20	42	433	4827	5	16180	1242	981	GM0243	-1	94	Harderwijk	.	1055	3846	9	610	19	16650	24	1.0	2690	2.5	6	85	63	15680	6	20000	2	3	18	50	30	20560	10	29	40560
419.9947255703409 501.28659093266583	162	6	21	620	11	0	0	485	1	0	16	25	-999999999	19	39	215	2420	0	4650	750	108	GM0244	-4	82	Hattem	.	510	2312	5	160	17	4980	27	1.0	610	2.5	5	89	61	4755	4	5730	1	4	22	55	26	6050	2	36	11780
419.7559247231391 484.05851949683137	171	7	20	1080	12	0	0	830	3	0	16	26	-999999999	19	41	100	8039	0	7190	511	167	GM0246	-4	89	Heerde	.	233	7873	14	240	20	7880	27	1.0	1170	2.5	3	83	56	6925	3	9160	0	4	23	145	27	9190	3	33	18350
463.6942390199601 395.707587360457	150	6	20	420	10	0	-999999999	630	1	0	16	22	-999999999	19	45	79	4929	0	3220	348	9	GM0248	-4	76	Hengelo (Gld.)	.	172	4921	14	100	27	3905	28	1.2	710	2.6	12	74	58	3215	3	4250	-99999999	5	16	180	27	4220	1	33	8470
385.20351739618377 326.53722165754334	175	7	24	860	10	0	0	530	2	0	13	23	-999999999	21	45	186	4158	0	6410	735	169	GM0252	0	78	Heumen	.	418	3989	22	260	18	7425	29	1.1	920	2.6	9	69	60	6325	9	8230	1	4	22	105	27	8450	3	33	16690
446.43046108861523 383.93253023730335	170	5	24	270	9	0	-999999999	235	1	0	18	24	-999999999	18	37	54	4315	0	1840	109	64	GM0256	-4	93	Hummelo en Keppel	.	106	4252	24	70	17	2290	31	1.2	410	2.5	16	60	56	1800	5	2220	-99999999	5	27	100	24	2310	1	39	4530
501.22415754305877 382.91703018102515	144	7	20	1070	12	0	0	945	2	0	12	23	-999999999	21	45	110	7388	0	7180	619	16	GM0260	-2	83	Lichtenvoorde	.	265	7372	8	260	30	8110	26	1.1	1790	2.7	13	80	52	6910	5	10110	-99999999	4	19	290	28	9400	3	32	19500
474.9816220879647 425.68162076682535	156	7	25	1120	10	0	1	930	1	0	19	26	-999999999	18	38	72	12880	2	7780	704	106	GM0262	-2	90	Lochem	.	152	12774	8	310	21	9145	29	1.1	1790	2.5	11	81	61	7575	5	9500	1	4	19	380	25	9880	5	35	19390
304.19530640629705 325.9099452508554	166	8	23	1290	11	0	1	1045	1	0	13	22	-999999999	20	47	163	7549	0	8880	398	922	GM0263	-2	81	Maasdriel	.	355	6627	52	360	27	10790	27	1.2	2690	2.6	11	37	60	8785	4	11800	2	5	14	390	30	11720	2	31	23520
417.6396457682954 347.88409390287126	140	5	25	330	10	0	-999999999	255	1	0	13	24	-999999999	20	44	288	1032	-999999999	2360	559	165	GM0265	-1	81	Millingen aan de Rijn	.	682	867	25	100	20	2495	28	1.0	315	2.5	25	50	58	2345	13	2960	1	4	22	15	30	2960	1	32	5910
506.1522176781896 420.8401046308067	132	6	26	700	10	0	0	545	1	0	16	24	-999999999	17	39	109	4600	1	4400	680	13	GM0266	1	95	Neede	.	239	4587	10	190	27	5005	29	1.1	810	2.5	21	69	56	4395	6	5460	-99999999	4	16	145	28	5510	2	37	10970
333.3493187263726 434.7473622795143	171	8	20	1890	13	0	2	1405	1	0	12	24	-999999999	21	44	240	7205	1	14440	943	253	GM0267	-2	74	Nijkerk	.	546	6951	5	490	20	16670	25	1.1	2820	2.6	6	89	66	14110	4	19060	2	4	13	260	29	18930	5	32	37980
387.9074624783815 341.74758122839904	121	9	32	8900	15	1	2	3830	5	1	13	51	-999999999	16	25	1374	5772	3	81930	2244	395	GM0268	-3	79	Nijmegen	.	2928	5378	64	3590	14	73910	24	0.9	10145	1.9	7	29	65	66185	12	75600	1	2	21	70	33	81870	12	24	157470
402.40039418172285 496.57365523766214	160	7	20	1120	16	0	0	780	1	0	12	19	-999999999	20	51	96	9885	0	7820	539	123	GM0269	-3	72	Oldebroek	.	235	9763	6	320	30	9350	24	1.1	1540	2.9	4	91	54	7650	2	11590	2	4	16	250	28	11360	2	29	22950
348.5197105074156 442.85087336654004	198	8	15	1130	13	0	0	715	1	0	14	25	-999999999	21	44	118	8745	1	8620	786	241	GM0273	-1	75	Putten	.	273	8503	5	220	25	10020	25	1.1	1935	2.7	10	85	61	7835	3	11510	0	4	14	310	27	11670	2	30	23180
379.7235334711029 379.51023268402156	177	8	25	1730	9	0	0	1085	3	0	22	34	-999999999	17	32	310	4712	1	13900	780	111	GM0274	-4	89	Renkum	.	693	4602	35	490	15	14255	28	1.0	1510	2.2	13	52	63	13875	9	15220	2	4	22	20	24	16690	5	34	31910
420.7083562757192 390.79948382768384	145	8	31	2830	10	0	0	1520	2	0	21	35	-999999999	16	31	234	8439	2	20000	1219	260	GM0275	-1	100	Rheden	.	549	8179	9	890	17	19110	28	0.9	2010	2.2	5	86	60	19290	9	21690	1	3	23	55	25	23190	5	34	44890
407.82563510890594 392.9385368926762	317	4	15	50	8	0	0	45	2	1	25	21	-999999999	17	33	30	2795	0	640	792	2	GM0277	-8	55	Rozendaal	.	54	2792	-999999998	10	4	835	30	1.3	45	2.4	-999999998	-999999998	62	630	10	740	-1	4	35	0	20	760	3	47	1510
485.1815997475532 398.01285723139677	162	6	26	470	9	0	0	425	1	0	16	22	-999999999	20	40	63	6519	0	3420	436	23	GM0278	3	84	Ruurlo	.	134	6496	11	140	25	4085	27	1.1	665	2.5	9	80	56	3225	4	4350	-99999999	5	19	250	28	4330	2	38	8680
335.6160688557721 404.30244538041234	165	6	15	360	12	0	0	380	1	0	12	23	-999999999	22	44	280	1384	0	3310	762	3	GM0279	-5	61	Scherpenzeel	.	654	1381	10	80	25	3870	25	1.1	670	2.7	12	78	58	3295	4	4470	1	4	17	60	28	4560	2	33	9030
443.85336813549367 397.50994631248074	186	6	22	250	10	0	-999999999	330	1	0	13	22	-999999999	21	45	50	5023	0	1920	143	150	GM0280	-6	76	Steenderen	.	104	4873	13	70	34	2425	28	1.2	555	2.7	14	73	50	1855	4	2600	-99999999	5	15	155	28	2480	1	33	5090
321.0813740971312 353.0314931273514	123	8	32	2250	11	0	4	1205	2	1	11	28	-999999999	21	42	523	3484	5	16400	1185	254	GM0281	-1	83	Tiel	.	1257	3231	49	880	19	16890	24	1.0	2735	2.5	10	40	65	15900	9	20190	0	3	16	95	32	20420	13	30	40610
405.204411797128 344.18677781612047	157	6	27	530	8	0	0	350	1	0	18	31	-999999999	17	33	126	3880	0	4060	326	478	GM0282	-4	88	Ubbergen	.	275	3402	37	160	18	4300	30	1.0	515	2.3	1	62	55	3890	11	4610	0	5	27	65	26	4760	2	35	9360
427.6360817985547 438.93092959272917	181	7	20	1440	12	0	0	960	1	0	16	24	-999999999	18	42	86	12652	1	8930	493	341	GM0285	-2	92	Voorst	.	192	12311	13	280	20	10650	29	1.1	1815	2.6	9	79	60	8670	5	11860	1	5	20	410	25	11780	2	34	23640
463.0387408635376 408.05070386084344	167	6	20	460	9	0	0	455	1	0	20	24	-999999999	18	39	57	6789	0	3330	387	49	GM0286	-8	88	Vorden	.	125	6740	6	110	23	3860	29	1.1	690	2.5	14	80	59	3320	4	4130	-99999999	5	18	190	24	4280	1	37	8410
360.93166659767525 375.37385561542317	142	8	23	1580	19	0	1	740	9	1	13	58	-999999999	15	21	384	3235	0	19340	1502	183	GM0289	-5	61	Wageningen	.	1151	3053	17	600	12	11720	21	0.6	1045	1.8	12	71	62	12675	11	17330	0	2	26	40	33	17810	11	21	35140
454.7491082362485 417.2853712838105	151	6	22	650	12	0	0	340	1	0	14	21	-999999999	19	43	220	1687	0	3500	1223	5	GM0291	1	105	Warnsveld	.	548	1682	3	140	11	3705	31	1.0	360	2.6	6	90	54	3480	7	4510	-99999999	3	35	30	24	4710	2	35	9220
444.139680413006 373.0860500395836	162	6	20	640	10	0	-999999999	295	1	0	14	19	-999999999	20	50	119	2357	0	2350	390	1	GM0292	-2	142	Wehl	.	287	2355	7	90	21	2805	26	1.1	380	2.8	9	84	52	2340	4	3430	-99999999	5	27	130	30	3330	1	32	6760
408.51589481195936 371.6797491889066	129	6	33	850	13	0	0	680	2	1	9	23	-999999999	20	48	908	784	1	6200	1136	74	GM0293	-3	76	Westervoort	.	2261	711	18	370	20	6455	28	1.0	650	2.6	18	64	62	6130	10	8010	1	3	19	10	29	8060	6	30	16070
525.1692952998422 376.29135618202633	134	8	27	1740	11	0	1	1100	2	0	17	29	-999999999	19	38	89	13880	1	11970	1018	56	GM0294	-1	93	Winterswijk	.	212	13825	13	510	23	12300	26	1.0	1995	2.4	14	74	59	11485	9	14570	1	3	18	405	27	14730	5	33	29300
480.4038240648925 366.47552758691154	143	7	26	1180	10	0	0	1025	1	0	17	26	-999999999	18	40	122	7272	4	7810	517	36	GM0295	0	93	Wisch	.	270	7236	19	330	27	8850	28	1.1	1575	2.5	13	67	55	7760	6	9720	-99999999	4	18	260	27	9820	6	34	19530
367.04304824497206 336.15662020684914	151	8	28	2150	11	0	0	1325	2	1	11	25	-999999999	20	44	267	6958	1	15650	1019	275	GM0296	-2	78	Wijchen	.	597	6683	23	780	24	17835	27	1.1	2640	2.5	17	61	60	15410	7	19820	1	3	17	190	31	20060	4	31	39880
282.76045680653544 329.99804827085177	156	8	21	1260	12	0	3	830	2	0	12	23	-999999999	22	46	188	8906	0	9630	568	912	GM0297	-2	73	Zaltbommel	.	328	7994	60	370	22	15035	25	1.5	4040	2.7	5	35	63	9500	4	13060	1	4	15	365	29	13130	5	31	26190
471.6474706744311 384.06160211564185	154	6	24	650	9	0	0	800	1	0	17	22	-999999999	19	42	66	8189	1	4360	388	10	GM0298	-2	89	Zelhem	.	138	8179	18	170	26	5410	28	1.2	1080	2.6	11	72	55	4225	4	5600	-99999999	5	19	300	27	5670	2	37	11270
426.074818928385 364.18072826282105	132	7	35	1590	10	0	0	955	1	1	15	29	-999999999	17	37	425	2765	2	11090	1301	34	GM0299	-4	91	Zevenaar	.	953	2731	29	600	18	11615	30	1.0	1335	2.3	9	61	62	11195	11	12740	2	3	20	75	27	13270	4	34	26010
444.6324580905042 416.4102768563646	111	8	31	2830	11	0	1	1205	2	1	13	36	-999999999	19	34	595	2539	4	16330	1483	174	GM0301	-1	114	Zutphen	.	1546	2365	22	770	15	14065	26	0.8	1775	2.2	3	75	66	16085	9	17810	1	3	20	30	31	18740	8	29	36550
379.43160171412444 466.97208542581643	177	8	15	1410	13	0	0	890	2	0	14	25	-999999999	22	45	85	12949	0	9600	698	76	GM0302	-1	83	Nunspeet	.	207	12873	7	280	21	10935	24	1.1	1675	2.7	3	90	63	9245	3	13140	2	4	17	180	27	13500	3	30	26630
366.230365386479 507.72491294368973	130	8	21	1900	14	0	1	1485	3	1	11	27	-999999999	22	41	46	42386	1	14940	728	8951	GM0303	-5	75	Dronten	.	113	33435	78	540	21	15420	23	1.0	2570	2.5	12	10	64	13730	7	19150	1	4	15	525	30	18620	7	32	37770
302.02518630978426 340.7522236814539	166	7	21	530	11	0	1	490	1	0	12	22	-999999999	22	46	81	7296	0	4260	171	693	GM0304	-3	70	Neerijnen	.	174	6603	57	160	24	5365	25	1.2	1440	2.7	7	37	60	4195	4	5830	2	5	16	240	30	5630	2	32	11460
255.30978850059094 448.27841101580026	238	6	20	350	9	0	0	275	3	1	15	27	-999999999	22	42	126	3211	0	3440	653	172	GM0305	-2	64	Abcoude	.	284	3039	1	110	20	3825	27	1.1	485	2.5	0	99	64	3445	11	4230	0	4	16	75	27	4400	5	31	8620
