COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
260.42684092065065 521.5274980829766	182	6	15	390	9	0	0	390	1	0	11	20	-999999999	21	43	74	5523	0	2470	240	1704	GM0478	-2	90	Zeevang	.	166	3819	2	70	29	2830	32	1.1	620	2.6	1	97	50	2455	7	3170	1	5	22	100	27	3160	2	37	6320
224.29273533576668 498.24733135953863	118	9	26	10830	11	0	1	5420	3	3	14	32	-999999999	18	38	719	8304	7	60560	1755	880	GM0479	-1	114	Zaanstad	.	1883	7425	11	2450	26	53405	26	0.8	8335	2.3	2	87	57	59440	9	68990	1	2	18	105	31	70780	15	30	139770
215.52872318049566 426.9122155908245	179	6	15	300	13	0	1	415	1	0	11	19	-999999999	21	50	197	2171	0	3220	358	233	GM0480	-8	49	Ter Aar	.	465	1937	73	80	28	3825	29	1.1	870	2.8	7	20	57	3250	4	4580	0	5	15	145	26	4430	3	31	9010
206.40953807429798 348.5896691883072	120	7	23	750	11	0	1	395	1	0	16	26	-999999999	21	42	799	996	3	7270	1305	118	GM0482	-4	64	Alblasserdam	.	2093	878	20	270	23	7020	24	0.9	1095	2.5	0	80	63	7355	7	8970	2	3	13	15	29	9420	6	32	18390
195.97407559437258 431.30375181185144	181	7	10	510	12	0	0	520	2	0	12	24	-999999999	21	46	229	3088	0	5510	558	393	GM0483	-4	53	Alkemade	.	537	2695	71	110	22	6180	27	1.1	1390	2.6	0	29	62	5285	4	7320	1	4	16	205	28	7160	3	30	14480
210.39708261589988 415.0924154402989	135	9	22	3410	12	1	2	2115	4	2	11	30	-999999999	20	40	607	5768	1	28900	2092	261	GM0484	-2	69	Alphen aan den Rijn	.	1280	5506	14	1080	16	33435	26	1.1	4895	2.4	3	82	67	28265	9	34800	2	2	17	145	32	35680	10	30	70480
184.61120910357923 345.44696305719856	159	8	20	1400	10	1	1	935	2	2	12	21	-999999999	22	45	807	2172	1	14370	1445	144	GM0489	2	56	Barendrecht	.	1838	2027	77	510	16	16350	24	1.1	2200	2.6	14	9	70	14470	7	18560	6	3	15	40	33	18700	7	34	37260
220.54729245219713 367.9431515331179	185	6	10	300	12	0	1	315	1	0	14	23	-999999999	21	42	114	3805	0	3560	414	296	GM0491	-4	49	Bergambacht	.	264	3509	4	80	26	3995	27	1.1	865	2.6	2	94	58	3595	4	4590	1	5	16	95	27	4690	2	35	9280
182.80735032856134 378.2782881484116	187	7	15	510	8	0	1	550	2	2	8	18	-999999999	26	52	472	1552	1	5710	1220	63	GM0492	0	48	Bergschenhoek	.	1066	1489	85	180	21	7030	21	1.2	1345	2.8	2	13	63	5755	7	7880	3	3	15	45	37	7990	6	30	15870
176.33374961265605 382.9403432975746	158	7	15	630	11	0	1	625	2	1	13	22	-999999999	21	44	407	1891	0	6670	750	29	GM0493	-1	54	Berkel en Rodenrijs	.	942	1862	79	180	22	7585	27	1.1	1285	2.6	1	19	66	6680	6	8790	5	4	13	155	29	8740	5	34	17540
