COMPUTE_CENTROID	GM_CODE	GM_NAAM
299.25317906815195 432.9640434519384	GM0308	Baarn
285.429025875777 417.46426903062047	GM0310	De Bilt
254.8764607878029 423.93070990632054	GM0311	Breukelen
291.8828291351143 392.2208845089712	GM0312	Bunnik
313.7131426800391 441.6735785437165	GM0313	Bunschoten
311.2852371254046 391.2987219260164	GM0315	Doorn
302.5778009227326 394.4259823416092	GM0316	Driebergen-Rijsenburg
301.68690280563163 444.49778577048556	GM0317	Eemnes
286.456623132191 383.0087240099716	GM0321	Houten
325.27198661581554 387.7196179565602	GM0326	Leersum
322.73088293045515 412.5516397615327	GM0327	Leusden
261.7831448386297 439.0098647461222	GM0329	Loenen
249.95201176881775 378.4797718050504	GM0331	Lopik
318.19410658307584 396.77079554583554	GM0332	Maarn
268.4112534448323 419.0932521227572	GM0333	Maarssen
249.8101477199506 394.08162795441666	GM0335	Montfoort
340.8948642749798 399.29751541862055	GM0339	Renswoude
345.17682990809396 377.1126241708613	GM0340	Rhenen
304.2067378209992 421.0532683780484	GM0342	Soest
270.02047004648824 404.86811283035536	GM0344	Utrecht
344.1948546897485 387.86623377229995	GM0345	Veenendaal
324.2604088583687 402.2601551555469	GM0351	Woudenberg
308.6051759464627 379.27313231951575	GM0352	Wijk bij Duurstede
262.872167464424 388.99157530429176	GM0353	IJsselstein
297.85598281570014 407.46677050785445	GM0355	Zeist
273.0400118626763 389.76035970365126	GM0356	Nieuwegein
221.0944732745175 446.8779815949244	GM0358	Aalsmeer
221.52292597829393 542.1021218175598	GM0361	Alkmaar
235.96064309431586 454.6521899158896	GM0362	Amstelveen
241.92177595059286 475.5345227089488	GM0363	Amsterdam
292.2794782539062 565.8499387118252	GM0364	Andijk
230.8059391554866 520.3672496361105	GM0365	Graft-De Rijp
235.4852443020857 596.3204315360656	GM0366	Anna Paulowna
246.46084054929693 521.7730569476153	GM0370	Beemster
197.26583486911986 463.0341921954373	GM0372	Bennebroek
209.12025022181604 548.412495678061	GM0373	Bergen (NH.)
206.15558609226176 503.65665709297406	GM0375	Beverwijk
298.3552828819745 451.79960921757083	GM0376	Blaricum
195.36329186426332 478.8670111295534	GM0377	Bloemendaal
284.08476526179044 449.6383680493157	GM0381	Bussum
210.744095688895 521.8892306914818	GM0383	Castricum
256.81769581137513 466.34414402652845	GM0384	Diemen
265.78019218317263 508.2231899122711	GM0385	Edam-Volendam
300.8531795672556 561.3553783747517	GM0388	Enkhuizen
204.89261467242218 478.5363223687545	GM0392	Haarlem
214.91407864901785 483.23395793208925	GM0393	Haarlemmerliede c.a.
210.2139305399476 456.8681895119514	GM0394	Haarlemmermeer
223.91618481250603 566.5665501507956	GM0395	Harenkarspel
205.31249160964077 510.67813928038845	GM0396	Heemskerk
199.889784000986 468.89981591571654	GM0397	Heemstede
235.6262154099761 551.5213848192809	GM0398	Heerhugowaard
214.76535337788852 532.5820338455267	GM0399	Heiloo
222.385304744099 613.3272732592998	GM0400	Den Helder
284.51635182298327 437.88483179120135	GM0402	Hilversum
269.82145062703876 545.9671560847305	GM0405	Hoorn
294.3818115305575 455.18098926327	GM0406	Huizen
241.0710142474042 572.4374195345966	GM0412	Niedorp
247.44271704354568 494.9668822063118	GM0415	Landsmeer
227.24905556427956 555.328707717086	GM0416	Langedijk
292.0624616205989 443.85386072884097	GM0417	Laren
274.6689013780804 571.3156881713383	GM0420	Medemblik
270.3768839302363 463.6029765765354	GM0424	Muiden
282.19727692424283 456.7519930351189	GM0425	Naarden
243.98852374854087 549.0538461517039	GM0429	Obdam
240.03229643178162 495.3673149755606	GM0431	Oostzaan
252.25032346573244 561.2209900981644	GM0432	Opmeer
245.497726206901 454.838266083002	GM0437	Ouder-Amstel
254.63820992877646 507.81933693166485	GM0439	Purmerend
228.39868940381578 579.3115904986932	GM0441	Schagen
230.40418760239857 652.1618696051238	GM0448	Texel
217.638597859452 513.418103943822	GM0450	Uitgeest
226.57800798414303 441.62463194816576	GM0451	Uithoorn
202.53414547070994 494.96621501789656	GM0453	Velsen
286.08497168518994 545.4899634562978	GM0454	Venhuizen
268.02134995121116 457.3746976543823	GM0457	Weesp
232.38730929573296 532.7657038808276	GM0458	Schermer
280.348335494391 561.7648562712939	GM0459	Wervershoof
257.20435177624915 610.844681628728	GM0462	Wieringen
260.4850678285733 589.942341951129	GM0463	Wieringermeer
264.1746823364897 553.5861808333658	GM0466	Wognum
188.88181941360372 472.29634240410655	GM0473	Zandvoort
218.31543999575322 585.4300283181553	GM0476	Zijpe
260.42684092065065 521.5274980829766	GM0478	Zeevang
224.29273533576668 498.24733135953863	GM0479	Zaanstad
215.52872318049566 426.9122155908245	GM0480	Ter Aar
206.40953807429798 348.5896691883072	GM0482	Alblasserdam
195.97407559437258 431.30375181185144	GM0483	Alkemade
210.39708261589988 415.0924154402989	GM0484	Alphen aan den Rijn
184.61120910357923 345.44696305719856	GM0489	Barendrecht
220.54729245219713 367.9431515331179	GM0491	Bergambacht
182.80735032856134 378.2782881484116	GM0492	Bergschenhoek
176.33374961265605 382.9403432975746	GM0493	Berkel en Rodenrijs
186.52467232713147 388.3191326702462	GM0495	Bleiswijk
223.69607285838708 404.48923588778734	GM0497	Bodegraven
281.7573350052996 552.1823511080688	GM0498	Drechterland
207.70993978573432 402.87705828916	GM0499	Boskoop
131.91434015663046 355.6174701936228	GM0501	Brielle
193.2928259196492 366.3532870995756	GM0502	Capelle aan den IJssel
159.95496172153875 382.65607359726306	GM0503	Delft
115.06597176684114 321.38335988410324	GM0504	Dirksland
212.97787776162792 327.86826896223187	GM0505	Dordrecht
97.9530540901496 335.8907131489316	GM0511	Goedereede
254.6094370212393 341.6794962727566	GM0512	Gorinchem
213.027036772255 386.25532722833714	GM0513	Gouda
196.78369388449178 325.1941249176332	GM0517	's-Gravendeel
150.60315959754422 400.286179142642	GM0518	's-Gravenhage
235.22529160993074 340.35030876285595	GM0523	Hardinxveld-Giessendam
267.7341543031097 563.5879010682987	GM0529	Noorder-Koggenland
124.46228232171889 345.1947652569379	GM0530	Hellevoetsluis
202.15381348009007 342.93862228492355	GM0531	Hendrik-Ido-Ambacht
293.5722386364511 557.4416793258702	GM0532	Stede Broec
193.86084175390008 456.93114717132653	GM0534	Hillegom
167.74516432441993 431.78623737712405	GM0537	Katwijk
196.64004210443528 361.2424400450191	GM0542	Krimpen aan den IJssel
271.53553317745883 357.7317301504409	GM0545	Leerdam
179.30894813993496 421.5871760780042	GM0546	Leiden
188.03818859092033 421.90794854770127	GM0547	Leiderdorp
188.9446105274203 446.6613489080402	GM0553	Lisse
142.02064671735874 364.5906094176683	GM0556	Maassluis
253.8159826175238 541.6674004258003	GM0558	Wester-Koggenland
129.45203571365877 318.9238659025161	GM0559	Middelharnis
204.66059102177698 382.0700177205313	GM0563	Moordrecht
199.32371620242225 374.1568511451227	GM0567	Nieuwerkerk aan den IJssel
140.38229512923922 340.50529362606153	GM0568	Bernisse
228.53720605536603 419.4819516887038	GM0569	Nieuwkoop
209.29929631738173 353.79762478863495	GM0571	Nieuw-Lekkerland
177.54263628083345 450.2160504821913	GM0575	Noordwijk
182.83902112192317 450.6758683041001	GM0576	Noordwijkerhout
177.18519126940484 429.13763961960615	GM0579	Oegstgeest
144.63373627024495 305.7396314066775	GM0580	Oostflakkee
167.11356564223584 335.34407809139157	GM0584	Oud-Beijerland
181.87297987010277 333.7611945642303	GM0585	Binnenmaas
153.92844474854772 326.5012787747327	GM0588	Korendijk
237.44812816380175 389.08276612107016	GM0589	Oudewater
212.17341113324233 340.6962920434586	GM0590	Papendrecht
221.36241840161784 394.28085222451506	GM0595	Reeuwijk
195.63014756698053 349.7484902310618	GM0597	Ridderkerk
154.3911683992086 364.438546513264	GM0599	Rotterdam
139.3540520002752 362.1891775496399	GM0600	Rozenburg
173.78484709389832 431.94616687443244	GM0602	Rijnsburg
154.3483287299085 392.18872208929406	GM0603	Rijswijk
184.3603008247108 437.41370047752633	GM0604	Sassenheim
163.16161814235372 364.66139908795776	GM0606	Schiedam
235.07641660498882 370.01948445750673	GM0608	Schoonhoven
222.93100991820893 339.9548459428736	GM0610	Sliedrecht
173.38611756662968 318.7526983273928	GM0611	Cromstrijen
156.20138885255363 342.7000108300298	GM0612	Spijkenisse
170.73870015673975 345.8725288285602	GM0613	Albrandswaard
117.52005290847596 357.4555495664673	GM0614	Westvoorne
188.15755625213288 318.5831170020518	GM0617	Strijen
170.88967795899646 425.44776239082074	GM0619	Valkenburg
275.57221710911864 374.3391646177789	GM0620	Vianen
154.25422674457846 362.47964581049473	GM0622	Vlaardingen
224.21499199313746 377.816477490928	GM0623	Vlist
180.86025239537005 439.84473317239247	GM0625	Voorhout
172.0702725210296 414.15210846387197	GM0626	Voorschoten
202.97562350437187 393.15757672017526	GM0627	Waddinxveen
185.56574572980136 432.6377547031739	GM0628	Warmond
162.02647860914698 417.4672823310697	GM0629	Wassenaar
242.94175825099887 408.95325603493046	GM0632	Woerden
179.73818232010825 398.0230219986484	GM0637	Zoetermeer
183.59806724469365 411.46647701311286	GM0638	Zoeterwoude
196.99100026333474 338.0315435347407	GM0642	Zwijndrecht
208.1966817628598 359.49463285284656	GM0643	Nederlek
206.8986316623453 371.46092013986095	GM0644	Ouderkerk
205.69888400262593 430.3310756574671	GM0645	Jacobswoude
343.91056151333345 603.5066458896847	GM0653	GaasterlÃ¢n-Sleat
71.97057062966192 245.72255344633453	GM0654	Borsele
77.41994527295309 263.09700166137486	GM0664	Goes
335.18244226426896 344.8178316681678	GM0668	West Maas en Waal
111.02797327333708 214.04388367101978	GM0677	Hulst
96.37329641967085 255.15635264591364	GM0678	Kapelle
351.91297192359355 631.5452993763824	GM0683	Wymbritseradiel
46.40457387791888 260.46715329727834	GM0687	Middelburg
247.34900449587988 350.2893905998828	GM0689	Giessenlanden
227.31329253560696 351.1431550534976	GM0693	Graafstroom
232.94256231423032 361.2812725898857	GM0694	Liesveld
122.58998757885905 242.69824830269906	GM0703	Reimerswaal
260.3539237114449 365.1533439196351	GM0707	Zederik
329.5050496570128 650.8772944664623	GM0710	WÃ»nseradiel
76.29668463483857 206.26370663085183	GM0715	Terneuzen
122.5013272917283 276.72098813014406	GM0716	Tholen
32.35685254335071 269.8040450368948	GM0717	Veere
41.72915721648424 250.18908502744705	GM0718	Vlissingen
271.9931188021319 343.8998833315295	GM0733	Lingewaal
242.42776424056316 435.266489570974	GM0736	De Ronde Venen
404.7191312631195 682.6775629240386	GM0737	Tytsjerksteradiel
268.15839478791526 318.42744726751386	GM0738	Aalburg
379.602480104663 228.49633555815825	GM0743	Asten
241.21962707060786 241.76985460912263	GM0744	Baarle-Nassau
146.54432237079757 258.9414870091155	GM0748	Bergen op Zoom
319.6139058908384 260.1966164266257	GM0753	Best
365.9827431703885 283.5726285578551	GM0755	Boekel
405.7470653119727 287.52648848524035	GM0756	Boxmeer
308.7270930596293 276.36480901042904	GM0757	Boxtel
220.60366830533496 278.4344908693557	GM0758	Breda
386.97577981468766 241.03451756572048	GM0762	Deurne
557.3249645648717 652.5989979818943	GM0765	Pekela
250.92742216425174 290.9601171597473	GM0766	Dongen
306.829404397764 230.9133968640903	GM0770	Eersel
329.40130545315105 244.26548846055402	GM0772	Eindhoven
202.4574141767375 276.9255778803213	GM0777	Etten-Leur
239.5119582058677 306.42254156088893	GM0779	Geertruidenberg
245.0866719473759 271.9059883776203	GM0784	Gilze en Rijen
262.6979239870325 259.85183238187784	GM0785	Goirle
373.5075082482818 317.87633573176413	GM0786	Grave
291.86638286584514 288.38735033686174	GM0788	Haaren
360.41111301372945 250.91552743015495	GM0794	Helmond
308.49378362060787 310.63774290447276	GM0796	's-Hertogenbosch
282.90827155266976 306.07775788088145	GM0797	Heusden
280.38028420996443 251.759654385618	GM0798	Hilvarenbeek
326.0751006346354 329.8130860519935	GM0808	Lith
265.30226531328094 292.11555713263004	GM0809	Loon op Zand
377.4489128645437 303.4569326659899	GM0815	Mill en Sint Hubert
343.59141103863664 251.42881894813118	GM0820	Nuenen c.a.
302.9613245845013 254.9571700379003	GM0823	Oirschot
288.58531661478605 269.843967319936	GM0824	Oisterwijk
236.7333065191382 291.58250508476823	GM0826	Oosterhout
348.093553545286 326.8395147582889	GM0828	Oss
188.77149692937712 263.2067265858135	GM0840	Rucphen
325.87307638788246 287.34816873365486	GM0844	Schijndel
316.7721155302579 296.16364055312545	GM0845	Sint-Michielsgestel
330.9558003972982 272.723481451175	GM0846	Sint-Oedenrode
365.8526895747284 226.52301149357666	GM0847	Someren
333.04148386607744 260.8529103173172	GM0848	Son en Breugel
152.60329209982294 282.3510752925679	GM0851	Steenbergen
261.2105408406204 495.3060851771954	GM0852	Waterland
268.46559696844935 276.87048751697097	GM0855	Tilburg
359.41520509661893 295.7698180312897	GM0856	Uden
327.9195483457215 212.66613144912526	GM0858	Valkenswaard
347.3543682392201 281.821204275916	GM0860	Veghel
317.5697217954118 234.7252343111143	GM0861	Veldhoven
299.750034460971 295.71319214594877	GM0865	Vught
330.3222484602404 228.57927624713682	GM0866	Waalre
259.82805031963414 305.0763415474637	GM0867	Waalwijk
238.35964516063507 323.90876071339756	GM0870	Werkendam
154.62751449846473 234.99115826758975	GM0873	Woensdrecht
257.2819310845167 327.68418533944725	GM0874	Woudrichem
201.77786802857355 252.31449875984143	GM0879	Zundert
236.92056506749373 507.9102292685916	GM0880	Wormerland
409.74460065001284 124.46722031534341	GM0881	Onderbanken
420.3985287362859 108.63753946874837	GM0882	Landgraaf
443.54176026878736 244.48445940916616	GM0885	Arcen en Velden
384.9479865057929 114.50745716306277	GM0888	Beek
425.24285154578587 199.516378050319	GM0889	Beesel
427.82528093035916 280.1148901420359	GM0893	Bergen (L.)
411.6247491668723 117.72236480738042	GM0899	Brunssum
370.9193913212143 77.87167399798477	GM0905	Eijsden
411.51490813529205 307.0420799419874	GM0907	Gennep
406.1548514335979 189.59413301088077	GM0914	Haelen
410.32141838568657 105.4100033479645	GM0917	Heerlen
409.0327867393042 216.21863582367786	GM0918	Helden
392.89826410841033 193.0875625284832	GM0920	Heythuysen
382.3817288854807 179.8923222800924	GM0925	Hunsel
423.31276452809516 99.98439551589694	GM0928	Kerkrade
420.9767327235701 206.24662040092315	GM0929	Kessel
395.66848197216314 166.54130541960478	GM0933	Maasbracht
423.63855180727074 220.63887777391105	GM0934	Maasbree
367.66566217110403 94.93967304255976	GM0935	Maastricht
382.66203613784 83.48750971258183	GM0936	Margraten
376.6529378239186 107.10361295248353	GM0938	Meerssen
395.16261048709055 216.08323461093124	GM0941	Meijel
397.8162513419358 318.99787997313337	GM0944	Mook en Middelaar
378.77052719546026 205.45682967539804	GM0946	Nederweert
393.00962067319864 108.21153557813231	GM0951	Nuth
414.3092088104404 178.92514385163224	GM0957	Roermond
397.3058319524072 119.53227387151392	GM0962	Schinnen
413.19214985676695 233.12066544221835	GM0964	Sevenum
413.24328638363056 89.18106496805025	GM0965	Simpelveld
377.72932566360134 124.00660232412854	GM0971	Stein
420.30041662332803 189.069325327907	GM0975	Swalmen
390.90097286516624 172.6329253686957	GM0977	Thorn
411.6229778233138 75.51134288045961	GM0981	Vaals
436.8968434764699 222.89614587893303	GM0983	Venlo
405.7069835327594 260.3118176058485	GM0984	Venray
402.027924501662 99.21239882551936	GM0986	Voerendaal
366.0656238626999 190.17354566867095	GM0988	Weert
428.49542371584795 261.58439377712506	GM0993	Meerlo-Wanssum
387.3856458220592 96.98359833885056	GM0994	Valkenburg aan de Geul
331.1588444269779 501.6004401674648	GM0995	Lelystad
421.9028205537513 245.19052058057426	GM1507	Horst aan de Maas
510.77311797994463 739.1582341766534	GM1651	Eemsmond
375.49669295059607 267.13062192092474	GM1652	Gemert-Bakel
183.48810757973135 280.2650831091359	GM1655	Halderberge
346.386988918888 221.9682690815938	GM1658	Heeze-Leende
353.2336453195169 264.565154898578	GM1659	Laarbeek
581.079057821574 685.4319260211388	GM1661	Reiderland
464.11435468665684 726.9444291073161	GM1663	De Marne
194.12226270702214 387.4767160161784	GM1666	Zevenhuizen-Moerkapelle
280.6932048780446 226.37292857154878	GM1667	Reusel-De Mierden
429.31669508875035 171.45847454390986	GM1669	Roerdalen
405.8215686550122 201.2808233592774	GM1670	Roggel en Neer
328.22233207318163 314.3464788646292	GM1671	Maasdonk
194.67906960414908 409.0602002765762	GM1672	Rijnwoude
226.19383449750163 430.76162667094826	GM1673	Liemeer
167.84988778181545 261.06729421140307	GM1674	Roosendaal
87.00482888867937 306.02007643402686	GM1676	Schouwen-Duiveland
412.92260517964024 165.6719550068742	GM1679	Ambt Montfort
520.6343924502373 632.4247187248507	GM1680	Aa en Hunze
542.9503565184557 611.0312979661061	GM1681	Borger-Odoorn
390.3697111288431 311.64088254451485	GM1684	Cuijk
360.4587962165923 311.11682284335683	GM1685	Landerd
468.1865845610283 558.6019616950613	GM1690	De Wolden
66.32266756513695 278.1382543099715	GM1695	Noord-Beveland
271.7319107440222 438.67045925595113	GM1696	Wijdemeren
476.9221968399748 657.3880864740887	GM1699	Noordenveld
503.4029882169454 495.5880596914109	GM1700	Twenterand
455.91620042922887 592.6289507603109	GM1701	Westerveld
389.0790002328053 286.37414692078426	GM1702	Sint Anthonis
404.109431021616 357.5895544149209	GM1705	Lingewaard
351.0218967172421 203.34216406214497	GM1706	Cranendonck
415.85967879783004 571.5108676420622	GM1708	Steenwijkerland
186.68477092461595 297.20943026905826	GM1709	Moerdijk
400.49779751392003 153.20739981202138	GM1711	Echt-Susteren
24.65878705984733 217.63922193716914	GM1714	Sluis
220.43133243065412 307.29228720828655	GM1719	Drimmelen
338.9818183444952 303.0272697509381	GM1721	Bernheze
384.2117480664007 713.2108688615414	GM1722	Ferwerderadiel
240.10508376404738 257.4043165473469	GM1723	Alphen-Chaam
310.7936054780444 209.27690228489678	GM1724	Bergeijk
294.93976405613796 224.810412335518	GM1728	Bladel
399.56227481680213 82.44726308906547	GM1729	Gulpen-Wittem
501.6201102439948 658.1420949300301	GM1730	Tynaarlo
493.26964232423217 600.4726583868642	GM1731	Midden-Drenthe
378.7089896576294 363.1686755352989	GM1734	Overbetuwe
503.04498536678165 442.6488099316539	GM1735	Hof van Twente
348.9058179418418 360.8984644976509	GM1740	Neder-Betuwe
478.9263492951434 456.07429843868783	GM1742	Rijssen-Holten
349.57661567349925 239.63851418639956	GM1771	Geldrop-Mierlo
435.6044111834214 474.369129683849	GM1773	Olst-Wijhe
552.140207887701 477.77981849824783	GM1774	Dinkelland
137.40950105618623 382.7109442653016	GM1783	Westland
151.05119535209116 374.387905812411	GM1842	Midden-Delfland
387.81262302480906 133.2565463768887	GM1883	Sittard-Geleen
421.33547823111263 533.2797165074561	GM1896	Zwartewaterland
169.43842350941898 405.5566372695495	GM1916	Leidschendam-Voorburg
169.12168760928336 387.3279807931892	GM1926	Pijnacker-Nootdorp
398.01064267785006 178.18371858429396	GM1937	Heel
542.5623115596507 676.3759062855481	GM1987	Menterwolde
500.6600315320641 408.6849059240235	GM1859	Berkelland
459.52435401490806 394.16174105805504	GM1876	Bronckhorst
476.46495590991907 359.9599244332354	GM1509	Oude IJsselstreek
446.178665429087 361.8505561208084	GM1955	Montferland
183.52629399568593 436.4112205470106	GM1525	Teylingen
318.35772778784855 390.7515462196144	GM1581	Utrechtse Heuvelrug
501.82415093684864 385.9820679424198	GM1586	Oost Gelre
251.30591567533875 543.688059745772	GM1598	Koggenland
182.05250652783693 383.85686188530985	GM1621	Lansingerland
396.3898952278242 191.88337767605384	GM1640	Leudal
396.19823811128083 172.41482381872171	GM1641	Maasgouw
201.52959180535169 430.88047724365686	GM1884	Kaag en Braassem
407.84330944880685 702.9625942175851	GM1891	Dantumadiel
197.83135070469226 382.4629143161014	GM1892	Zuidplas
413.4684876407741 216.2548955400087	GM1894	Peel en Maas
569.1731358313384 684.3357840508578	GM1895	Oldambt
