COMPUTE_CENTROID	P_WWB_UIT	WOZ	BEDR_KLAS	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	RECSRT	GM_CODE	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	BU_NAAM	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_COM_DV	P_VEETEELT	WONINGEN	P_WEST_AL	AANT_MAN	STED	AUTO_MUT	P_N_COM_DV	WBCCODE	WK_CODE	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
348.88957881006854 360.97929667054274	20	231	8	880	13	0	1	765	1		150	0	11	21	-99999999	49	161	6811	0	7690	354	717	Gemeente	GM1740	61	Neder-Betuwe	-99999999	367	6094	57	Neder-Betuwe	28	24	9800	25	1.3	2045	2.9	8	58	35	7475	4	11120	5	1	14	1740		270	27	11250	2	30	22380
141.98200523695564 364.71344534585853	53	173	8	1500	12	1	4	740	3		670	2	15	30	-99999999	37	1513	1011	6	13670	1843	162	Gemeente	GM0556	69	Maassluis	-99999999	3765	849	50	Maassluis	18	17	12840	29	0.9	1280	2.3	0	64	50	13860	7	15730	2	0	18	0556		10	27	16230	16	32	31960
232.9126382472174 361.3703738369967	13	228	6	260	13	0	0	410	1		40	0	12	22	-99999999	47	115	4444	0	3490	336	339	Gemeente	GM0694	41	Liesveld	-99999999	237	4105	6	Liesveld	30	23	4710	26	1.3	1515	2.8	0	55	94	3555	3	4880	5	2	16	0694		125	27	4860	1	31	9740
139.45111573374572 362.176093872405	35	142	6	540	11	1	0	450	3		190	1	14	30	-99999999	36	1197	650	2	5600	1203	201	Gemeente	GM0600	61	Rozenburg	-99999999	2861	449	-99999997	Rozenburg	21	17	5375	28	1.0	720	2.3	-99999997	57	-99999997	5710	10	6400	3	-2	23	0600		0	30	6440	8	34	12840
271.4897180392344 357.8140044827691	34	203	7	1260	13	0	1	645	2		250	0	14	28	-99999999	42	231	3432	9	8180	1147	53	Gemeente	GM0545	92	Leerdam	-99999999	616	3379	20	Leerdam	21	20	7795	26	1.0	1420	2.5	10	64	70	8045	8	10260	3	1	15	0545		100	27	10550	13	30	20810
117.5285137362727 357.5637545771828	11	307	7	530	10	0	0	610	1		60	0	18	26	-99999999	37	136	9752	0	5960	526	4422	Gemeente	GM0614	58	Westvoorne	-99999999	267	5330	64	Westvoorne	15	17	7265	31	1.2	1015	2.4	9	68	27	6060	7	7020	4	0	17	0614		130	24	7210	2	37	14220
131.92839276212055 355.66522244499777	19	214	7	610	10	0	0	700	2		120	0	14	28	-99999999	38	276	3112	0	6800	804	361	Gemeente	GM0501	56	Brielle	-99999999	581	2751	74	Brielle	15	18	7580	30	1.1	1050	2.3	7	66	18	6860	8	7910	4	0	19	0501		95	28	8080	3	35	15990
292.4310184232405 353.9933851342601	18	266	8	1140	11	0	1	1035	1		160	0	12	23	-99999999	44	123	10167	0	10030	542	194	Gemeente	GM0236	65	Geldermalsen	-99999999	263	9972	41	Geldermalsen	21	21	12240	27	1.2	2670	2.6	5	63	54	9955	4	13020	4	0	16	0236		305	29	13240	3	33	26260
208.14832612619128 359.5892843031469	18	213	7	430	12	0	0	580	1		110	0	15	26	-99999999	40	219	3144	0	5930	855	363	Gemeente	GM0643	44	Nederlek	-99999999	528	2782	5	Nederlek	28	19	6090	28	1.0	1095	2.5	5	58	90	5905	5	7200	4	0	13	0643		60	27	7490	2	34	14690
247.3455861053432 350.36777882493965	11	260	7	470	12	0	0	555	1		60	0	13	21	-99999999	44	102	6512	0	5460	263	155	Gemeente	GM0689	49	Giessenlanden	-99999999	228	6357	5	Giessenlanden	28	20	6505	28	1.2	1335	2.7	2	57	93	5425	4	7320	5	1	15	0689		165	26	7180	1	35	14500
196.683836928929 361.3492554866372	30	212	8	930	12	0	0	835	2		310	1	17	25	-99999999	41	1536	893	0	11320	1695	112	Gemeente	GM0542	50	Krimpen aan den IJssel	-99999999	3687	781	-99999997	Krimpen aan den IJssel	19	19	11990	28	1.1	1220	2.5	-99999997	67	-99999997	11440	8	14110	2	1	14	0542		0	25	14670	5	34	28780
227.29682139960647 351.2402313653211	5	267	6	230	14	0	0	335	1		20	0	12	20	-99999999	50	62	6932	0	3280	155	237	Gemeente	GM0693	37	Graafstroom	-99999999	145	6695	3	Graafstroom	27	24	4180	25	1.3	1115	3.0	0	57	97	3345	2	4980	5	3	16	0693		195	25	4750	1	31	9730
321.06472573021136 353.1117633990819	52	194	8	2000	12	0	4	1295	2		800	1	12	30	-99999999	41	540	3484	6	16800	1202	256	Gemeente	GM0281	72	Tiel	-99999999	1269	3228	49	Tiel	19	21	17430	25	1.0	2825	2.4	13	63	38	16390	9	20290	3	3	18	0281		95	31	20680	13	30	40970
426.3427914267616 352.84883617304746	35	192	6	650	10	0	0	645	1		150	0	13	22	-99999999	42	129	4814	0	4400	324	809	Gemeente	GM0196	87	Rijnwaarden	-99999999	276	4004	28	Rijnwaarden	24	19	5165	30	1.2	645	2.5	11	56	61	4220	10	5570	5	1	20	0196		60	28	5500	2	36	11070
195.59959443314463 349.85892243212396	30	186	9	1670	11	1	1	1275	2		560	1	19	30	-99999999	35	846	2510	1	19340	1619	135	Gemeente	GM0597	57	Ridderkerk	-99999999	1885	2375	84	Ridderkerk	21	16	20080	29	1.0	2780	2.3	10	66	6	19545	8	21830	2	1	12	0597		80	25	22930	6	35	44760
353.1265195942359 350.7830589212154	25	219	7	1050	11	0	0	735	2		160	0	12	22	-99999999	44	212	4243	3	6830	692	452	Gemeente	GM0225	85	Druten	-99999999	475	3791	22	Druten	24	20	8055	27	1.2	1430	2.6	9	60	69	6780	6	8930	4	2	16	0225		130	30	9090	5	33	18020
209.27772634617102 353.8942828347166	19	192	6	260	14	0	0	260	1		60	0	11	20	-99999999	48	327	1277	0	3240	711	236	Gemeente	GM0571	42	Nieuw-Lekkerland	-99999999	908	1042	4	Nieuw-Lekkerland	33	25	3405	24	1.1	490	2.9	0	52	96	3295	4	4820	4	0	15	0571		25	26	4630	2	31	9460
372.9256526699818 347.8011154616258	34	231	8	1060	11	0	0	1070	2		320	1	12	23	-99999999	46	263	4717	0	9680	896	332	Gemeente	GM0209	62	Beuningen	-99999999	572	4385	29	Beuningen	20	21	11520	28	1.2	1380	2.6	11	61	60	9675	8	12580	4	0	18	0209		130	28	12500	3	31	25080
387.8802937317639 341.801846065154	80	185	9	8090	16	1	2	3980	5		6380	1	13	52	-99999999	25	1438	5753	3	83870	2265	398	Gemeente	GM0268	71	Nijmegen	-99999999	2979	5355	72	Nijmegen	14	15	77030	24	0.9	10650	1.9	2	64	27	67990	12	76280	2	3	22	0268		60	32	83250	12	23	159520
335.199534230651 344.89523763188726	18	252	7	930	10	0	0	915	1		120	0	15	23	-99999999	42	111	8515	0	7160	326	777	Gemeente	GM0668	76	West Maas en Waal	-99999999	237	7738	24	West Maas en Waal	28	19	8560	29	1.2	1725	2.5	10	55	66	7040	4	9170	5	-1	17	0668		275	27	9210	1	35	18380
271.9561547028451 343.981480673734	18	246	6	400	11	0	1	450	1		70	0	13	20	-99999999	46	97	5459	0	4080	280	401	Gemeente	GM0733	55	Lingewaal	-99999999	214	5057	18	Lingewaal	25	20	4895	28	1.2	1070	2.6	8	54	74	4115	4	5430	5	1	20	0733		120	27	5400	3	34	10830
124.40347759187195 345.2356345484608	44	178	8	1770	12	2	0	1525	3		690	1	12	27	-99999999	40	552	4614	2	16680	1554	1459	Gemeente	GM0530	63	Hellevoetsluis	-99999999	1268	3154	53	Hellevoetsluis	17	18	17410	30	1.0	2015	2.4	10	63	37	16410	9	19890	2	1	20	0530		50	28	20110	8	33	40000
206.38271366329437 348.67347272259565	36	184	7	690	11	0	1	430	2		250	0	16	28	-99999999	41	834	996	3	7340	1381	118	Gemeente	GM0482	59	Alblasserdam	-99999999	2098	878	8	Alblasserdam	24	21	7325	24	1.0	1225	2.5	0	63	92	7580	7	8970	3	2	13	0482		15	27	9460	6	31	18430
417.65758075162483 347.94435207042227	31	204	6	280	10	0	0	255	1		70	1	14	24	-99999999	42	287	1032	0	2350	557	160	Gemeente	GM0265	70	Millingen aan de Rijn	-99999999	671	872	29	Millingen aan de Rijn	20	19	2500	29	1.1	305	2.5	12	62	59	2345	13	2930	4	0	18	0265		15	28	2920	2	34	5850
140.34710843464907 340.5712788486946	14	210	6	390	11	0	0	575	2		70	0	14	22	-99999999	40	109	6859	0	5100	399	1124	Gemeente	GM0568	45	Bernisse	-99999999	221	5734	41	Bernisse	27	18	6225	30	1.2	1040	2.5	12	55	47	5185	6	6350	5	1	17	0568		115	27	6320	2	37	12670
184.57712990108072 345.5402059025441	10	233	8	1400	10	1	1	1160	2		170	3	12	22	-99999999	45	907	2172	1	16010	1496	164	Gemeente	GM0489	51	Barendrecht	-99999999	2054	2008	78	Barendrecht	16	22	18220	25	1.1	2530	2.6	14	69	8	16060	7	20500	3	6	15	0489		35	32	20750	8	33	41250
170.69472234423014 345.92553076599626	19	244	7	830	10	1	0	705	2		150	3	13	22	-99999999	43	420	2375	1	8250	897	164	Gemeente	GM0613	58	Albrandswaard	-99999999	952	2211	66	Albrandswaard	15	20	9280	28	1.1	1155	2.5	9	68	25	8460	7	10510	4	4	18	0613		45	30	10550	7	34	21060
405.21752537962 344.26497610797827	29	246	6	460	8	0	0	385	1		110	0	19	32	-99999999	33	127	3880	0	4110	337	486	Gemeente	GM0282	77	Ubbergen	-99999999	277	3394	30	Ubbergen	21	18	4325	30	1.1	520	2.2	8	53	62	3965	11	4600	5	0	26	0282		60	25	4800	2	35	9400
202.13985583197405 343.0180124273877	14	207	7	760	11	0	1	665	2		120	1	13	22	-99999999	44	967	1199	1	9350	1453	124	Gemeente	GM0531	48	Hendrik-Ido-Ambacht	-99999999	2274	1075	88	Hendrik-Ido-Ambacht	20	22	10395	24	1.1	1115	2.6	6	65	6	9535	6	12030	3	4	15	0531		15	30	12430	5	34	24460
156.17968417826216 342.7785675793291	63	156	9	3470	14	2	1	2365	4		1870	4	12	29	-99999999	40	1162	3023	1	31610	2121	411	Gemeente	GM0612	66	Spijkenisse	-99999999	2852	2612	47	Spijkenisse	19	18	30350	28	1.0	2970	2.3	0	61	53	31530	9	36530	2	1	21	0612		15	29	37980	13	31	74510
367.00641309532085 336.25549697198153	28	228	8	1860	11	0	0	1390	2		410	1	12	25	-99999999	44	271	6958	1	15590	1016	301	Gemeente	GM0296	70	Wijchen	-99999999	593	6657	26	Wijchen	25	20	18070	28	1.2	2695	2.5	13	59	61	15505	7	19540	3	0	17	0296		190	29	19970	4	32	39510
254.59034594460368 341.7678687802139	43	179	8	1960	11	0	5	820	3		580	1	14	36	-99999999	35	723	2199	5	15010	1596	304	Gemeente	GM0512	86	Gorinchem	-99999999	1807	1895	11	Gorinchem	18	19	13695	24	0.9	2000	2.2	11	64	79	15290	9	16830	2	2	18	0512		20	31	17420	14	29	34250
302.01830094098057 340.82784147281444	15	264	7	470	11	0	1	535	1		70	0	12	21	-99999999	46	85	7296	0	4360	175	697	Gemeente	GM0304	61	Neerijnen	-99999999	178	6599	56	Neerijnen	23	22	5585	26	1.3	1520	2.7	9	60	36	4325	4	5960	5	1	17	0304		225	29	5810	2	33	11780
235.2107822499125 340.4799096388739	11	205	7	550	13	0	0	535	1		70	0	14	24	-99999999	45	431	1935	0	6550	875	247	Gemeente	GM0523	48	Hardinxveld-Giessendam	-99999999	1053	1689	10	Hardinxveld-Giessendam	34	22	7275	24	1.1	1535	2.7	0	53	90	6620	3	8780	4	1	13	0523		30	28	9000	2	32	17780
97.88197190741047 335.94157391924284	19	261	7	390	12	0	0	375	1		80	0	15	22	-99999999	43	75	15385	0	4440	331	8266	Gemeente	GM0511	51	Goedereede	-99999999	163	7118	59	Goedereede	19	19	5345	27	1.2	985	2.6	18	67	22	4525	3	5770	5	3	14	0511		75	27	5860	1	34	11630
212.15800529248384 340.8049102634484	29	189	8	1160	11	1	1	910	3		340	1	15	27	-99999999	39	1413	1077	1	13130	1774	129	Gemeente	GM0590	56	Papendrecht	-99999999	3328	948	-99999997	Papendrecht	18	19	13400	27	1.0	1470	2.4	-99999997	62	-99999997	13030	8	15550	2	2	20	0590		5	29	16000	7	34	31550
196.93735959388795 338.13103597780315	37	174	8	1820	12	1	2	1080	3		630	1	17	31	-99999999	36	913	2277	3	19320	1864	239	Gemeente	GM0642	62	Zwijndrecht	-99999999	2188	2038	64	Zwijndrecht	19	17	18610	27	1.0	2265	2.3	15	65	21	19445	7	21760	2	1	16	0642		35	27	22830	10	33	44590
222.963544676016 340.0193614056436	28	168	8	1380	12	0	0	545	3		260	0	16	31	-99999999	37	758	1400	2	9670	1532	123	Gemeente	GM0610	89	Sliedrecht	-99999999	1863	1277	-99999997	Sliedrecht	24	19	9690	25	1.0	1415	2.4	-99999997	63	-99999997	9755	4	11640	2	1	13	0610		10	28	12160	6	32	23800
167.08718496735563 335.380899211956	18	208	8	840	12	0	0	775	2		170	1	13	24	-99999999	44	566	1961	0	9270	1263	87	Gemeente	GM0584	52	Oud-Beijerland	-99999999	1276	1873	79	Oud-Beijerland	16	20	10600	27	1.1	1265	2.5	15	68	6	9335	6	11700	3	2	16	0584		35	28	12200	3	32	23900
181.83545238399935 333.8508616534824	11	232	7	630	10	0	0	760	1		80	1	14	23	-99999999	39	188	5491	0	7980	453	465	Gemeente	GM0585	47	Binnenmaas	-99999999	391	5026	76	Binnenmaas	20	18	9460	31	1.2	1495	2.5	7	63	17	8035	5	9760	5	2	17	0585		110	27	9870	2	38	19640
304.20609657625977 326.0132546221249	15	272	8	1140	11	0	1	1095	1		130	0	13	22	-99999999	46	168	7549	0	8930	400	939	Gemeente	GM0263	72	Maasdriel	-99999999	357	6610	52	Maasdriel	26	20	11080	28	1.2	2760	2.6	9	60	39	8855	4	11870	5	1	14	0263		360	28	11700	2	32	23560
326.0818800077552 329.90229080512944	10	283	6	410	11	0	0	295	1		30	0	11	17	-99999999	50	62	5551	0	2380	183	485	Gemeente	GM0808	91	Lith	-99999999	132	5065	15	Lith	30	21	3130	28	1.3	695	2.8	19	59	66	2360	4	3400	5	0	11	0808		170	28	3300	1	33	6700
402.89576991625074 328.6459677021324	34	254	7	1420	10	0	0	690	1		250	0	18	26	-99999999	40	192	4412	0	7460	609	-99999998	Gemeente	GM0241	117	Groesbeek	-99999999	427	4412	25	Groesbeek	23	17	8460	30	1.1	1000	2.4	18	54	58	7335	10	9140	4	1	23	0241		115	25	9680	2	34	18830
348.1152949467781 326.9004414062376	37	214	9	5330	11	0	0	2555	2		1040	1	14	28	-99999999	40	335	10442	5	31480	1357	256	Gemeente	GM0828	104	Oss	-99999999	750	10186	21	Oss	24	19	34105	27	1.1	5955	2.4	14	61	65	31175	7	38130	3	1	14	0828		260	29	38280	9	32	76420
238.3526349950735 323.98301583753766	15	215	8	1050	13	0	0	820	1		150	0	13	21	-99999999	46	109	12173	0	9900	574	1702	Gemeente	GM0870	59	Werkendam	-99999999	253	10471	53	Werkendam	28	20	11465	27	1.2	2220	2.7	16	60	31	9980	3	13250	4	2	12	0870		165	27	13270	1	33	26520
282.74503866703753 330.08048771392396	23	248	8	1150	12	0	3	875	1		200	0	13	23	-99999999	46	195	8906	0	9660	573	933	Gemeente	GM0297	67	Zaltbommel	-99999999	329	7972	62	Zaltbommel	22	22	15565	25	1.6	4120	2.7	3	62	36	9580	4	13060	4	1	16	0297		345	28	13130	5	31	26190
213.00740231561133 327.967684158811	77	149	9	5670	12	3	2	3060	4		3730	2	14	37	-99999999	35	601	9945	5	53130	2416	2033	Gemeente	GM0505	71	Dordrecht	-99999999	1502	7912	56	Dordrecht	18	18	47520	26	0.9	8225	2.2	10	65	34	52675	10	58190	2	1	17	0505		70	29	60630	17	28	118820
257.27613471735197 327.75261259244735	12	239	7	540	12	0	0	540	1		60	0	13	21	-99999999	47	133	5165	0	5350	303	225	Gemeente	GM0874	56	Woudrichem	-99999999	291	4940	47	Woudrichem	25	20	6580	27	1.2	1420	2.7	13	60	40	5380	4	7200	5	1	15	0874		140	28	7190	1	32	14390
115.02818862272511 321.4471039430543	17	180	6	340	12	0	0	380	1		50	0	14	25	-99999999	42	66	7415	0	3190	452	1865	Gemeente	GM0504	63	Dirksland	-99999999	150	5549	70	Dirksland	26	21	3660	26	1.1	840	2.6	15	59	15	3215	3	4140	5	3	16	0504		95	27	4180	1	33	8320
385.20716296372166 326.62603150328073	27	281	7	780	10	0	0	565	2		160	0	14	24	-99999999	43	191	4158	0	6560	763	168	Gemeente	GM0252	71	Heumen	-99999999	422	3990	22	Heumen	17	21	7605	30	1.2	960	2.5	15	60	64	6435	9	8320	4	1	23	0252		100	25	8510	3	33	16830
196.7630891656496 325.326277641162	15	193	6	270	12	0	0	330	3		50	0	14	27	-99999999	39	206	2069	0	3730	897	183	Gemeente	GM0517	45	's-Gravendeel	-99999999	474	1885	66	's-Gravendeel	23	17	3890	28	1.0	720	2.4	16	63	19	3690	4	4480	4	1	14	0517		30	28	4460	4	34	8940
129.40776033439073 318.99237406073433	13	184	7	910	12	0	0	650	1		80	0	16	26	-99999999	39	126	8679	0	6960	879	2567	Gemeente	GM0559	79	Middelharnis	-99999999	289	6112	66	Middelharnis	20	19	7690	27	1.1	1425	2.5	17	64	18	6910	4	8630	4	3	17	0559		120	27	9050	2	35	17680
173.38979957900077 318.8192156478226	13	219	7	440	10	0	0	520	1		70	0	14	23	-99999999	41	112	7031	0	5280	626	1595	Gemeente	GM0611	49	Cromstrijen	-99999999	240	5435	82	Cromstrijen	20	18	6085	30	1.2	1055	2.5	8	66	10	5165	5	6490	4	2	14	0611		90	27	6560	2	36	13050
188.1625577209309 318.67006063611706	12	206	6	340	11	0	0	435	1		40	1	13	25	-99999999	41	82	5772	0	3740	579	660	Gemeente	GM0617	54	Strijen	-99999999	180	5113	61	Strijen	23	19	4195	29	1.1	785	2.5	12	64	27	3725	5	4580	4	1	13	0617		95	28	4620	2	34	9200
268.1628876092464 318.5205382599831	14	246	7	420	13	0	0	420	1		50	0	12	20	-99999999	51	111	5313	0	4210	300	273	Gemeente	GM0738	52	Aalburg	-99999999	242	5040	33	Aalburg	25	23	5615	24	1.3	1375	2.9	12	65	55	4205	3	6140	5	1	11	0738		125	28	6080	1	29	12220
397.82743465682245 319.06224674629516	20	287	6	410	8	0	0	330	2		70	0	16	26	-99999999	38	238	1884	0	3330	377	145	Gemeente	GM0944	80	Mook en Middelaar	-99999999	461	1739	26	Mook en Middelaar	18	19	4140	31	1.2	450	2.4	9	57	65	3270	10	3980	5	2	25	0944		25	25	4030	3	36	8020
373.5497507892827 317.91684830781026	25	222	6	800	11	0	0	535	4		110	0	13	25	-99999999	40	219	2804	0	4920	573	83	Gemeente	GM0786	91	Grave	-99999999	473	2721	20	Grave	22	19	5950	29	1.2	705	2.5	15	60	66	4830	9	6560	4	2	19	0786		80	29	6310	5	35	12870
328.2212513063991 314.4165061597726	13	291	7	680	12	0	0	575	1		50	0	14	20	-99999999	49	139	3732	0	4000	313	9	Gemeente	GM1671	91	Maasdonk	-99999999	303	3723	15	Maasdonk	38	21	5170	27	1.3	1535	2.8	14	49	71	3770	3	5650	5	0	12	1671		185	27	5630	1	31	11280
220.42207468679769 307.3623322320567	12	240	8	1350	11	0	0	1140	1		110	0	14	22	-99999999	42	127	11920	0	10430	642	2320	Gemeente	GM1719	74	Drimmelen	-99999999	278	9600	50	Drimmelen	23	18	12205	31	1.2	1870	2.5	12	61	38	10455	5	13310	4	2	15	1719		275	27	13340	1	37	26650
360.4745631769324 311.1987399131073	14	279	7	820	11	0	0	700	1		70	0	13	21	-99999999	47	102	7068	0	5400	391	32	Gemeente	GM1685	83	Landerd	-99999999	210	7037	25	Landerd	30	20	7195	29	1.3	1760	2.7	13	57	62	5250	4	7540	5	2	14	1685		235	26	7210	2	32	14740
308.4755103441207 310.74468869923226	54	216	9	7960	12	1	3	3690	3		3150	1	13	38	-99999999	33	787	9126	2	61450	1894	681	Gemeente	GM0796	85	's-Hertogenbosch	-99999999	1595	8445	27	's-Hertogenbosch	18	17	66425	26	1.1	9475	2.2	9	65	65	58335	9	66240	2	-3	17	0796		130	32	68470	10	29	134720
390.3826505807089 311.7135970197652	35	208	7	1620	10	0	2	820	2		290	0	13	27	-99999999	39	213	5700	4	9900	742	544	Gemeente	GM1684	99	Cuijk	-99999999	470	5156	34	Cuijk	21	19	10995	27	1.1	1590	2.4	12	61	54	9750	10	12200	4	1	18	1684		155	30	12020	9	33	24220
153.9415536677513 326.5904483424699	12	218	6	370	12	0	0	450	1		50	0	13	23	-99999999	42	63	10048	0	4160	285	2259	Gemeente	GM0588	51	Korendijk	-99999999	140	7789	75	Korendijk	26	20	4940	29	1.2	830	2.6	13	58	12	4240	4	5460	5	1	16	0588		110	26	5430	2	35	10890
411.5499736210835 307.1390045844046	24	225	7	1640	10	0	2	635	1		150	0	15	27	-99999999	40	160	5040	0	6550	542	250	Gemeente	GM0907	145	Gennep	-99999999	350	4790	34	Gennep	24	17	7680	31	1.2	1455	2.4	16	59	50	6350	11	8590	4	2	16	0907		115	27	8150	4	33	16740
282.8608979336689 306.13462503054564	29	253	8	2080	12	0	1	1705	2		450	0	13	23	-99999999	44	250	8118	3	16720	892	233	Gemeente	GM0797	72	Heusden	-99999999	547	7885	38	Heusden	27	19	19725	28	1.2	2810	2.6	9	58	53	16540	6	21720	4	2	15	0797		230	28	21390	6	33	43100
338.97090763058264 303.0875474678743	17	277	8	1670	12	0	0	1425	1		180	0	13	21	-99999999	46	150	9038	0	10850	574	64	Gemeente	GM1721	85	Bernheze	-99999999	329	8974	14	Bernheze	30	20	13425	27	1.2	3045	2.7	11	56	75	10685	4	14880	4	1	14	1721		405	27	14670	2	33	29540
144.50968862040799 305.81092362577556	19	176	6	450	11	0	0	455	1		80	0	14	24	-99999999	40	62	10744	0	4110	402	3276	Gemeente	GM0580	65	Oostflakkee	-99999999	137	7468	69	Oostflakkee	21	18	4635	29	1.1	845	2.5	16	63	15	4045	3	5140	5	2	16	0580		135	28	5090	2	35	10230
377.4863296730919 303.50853676635506	15	268	6	650	10	0	0	640	1		70	0	14	21	-99999999	44	103	5308	0	4200	277	91	Gemeente	GM0815	88	Mill en Sint Hubert	-99999999	212	5217	31	Mill en Sint Hubert	30	19	5380	29	1.3	1160	2.6	10	54	59	4210	3	5600	5	1	16	0815		195	27	5450	1	35	11060
259.7886967097452 305.15457114095	31	227	9	2280	11	0	0	1615	2		540	1	15	27	-99999999	40	341	6772	3	18850	1128	301	Gemeente	GM0867	73	Waalwijk	-99999999	707	6471	30	Waalwijk	23	18	22050	28	1.2	3900	2.4	9	64	61	18620	7	22700	3	1	13	0867		130	28	23060	7	33	45760
239.46394154639495 306.5296693010679	26	205	8	1080	11	0	0	775	1		210	1	14	24	-99999999	41	359	2986	0	8460	927	300	Gemeente	GM0779	75	Geertruidenberg	-99999999	776	2686	28	Geertruidenberg	27	18	9640	29	1.1	1405	2.4	13	60	58	8480	6	10470	4	1	13	0779		50	30	10390	3	35	20860
405.7702397893086 287.5889760965784	21	239	8	1660	10	0	1	1270	1		210	0	14	25	-99999999	42	118	11395	1	11240	595	240	Gemeente	GM0756	86	Boxmeer	-99999999	260	11154	38	Boxmeer	20	20	13180	29	1.2	2245	2.5	14	61	48	11090	7	14400	4	1	20	0756		330	27	14550	3	33	28950
359.4396518307483 295.83613388973225	35	237	9	2430	11	0	0	1745	2		540	1	14	28	-99999999	39	284	6759	3	16410	1215	49	Gemeente	GM0856	90	Uden	-99999999	599	6710	30	Uden	22	19	19030	27	1.2	3415	2.4	11	63	59	16280	7	20110	3	2	16	0856		260	29	20090	7	33	40200
186.6435836572668 297.30093167641246	17	203	9	1570	10	0	0	1435	1		250	0	14	24	-99999999	40	109	18399	1	14830	634	2489	Gemeente	GM1709	63	Moerdijk	-99999999	231	15910	69	Moerdijk	22	18	17395	29	1.2	3555	2.4	12	64	19	14970	5	18340	4	1	14	1709		270	28	18330	3	36	36680
316.7672819615449 296.23694055927723	18	293	8	1350	11	0	0	1230	1		180	0	16	22	-99999999	43	224	5989	0	10680	530	94	Gemeente	GM0845	74	Sint-Michielsgestel	-99999999	475	5896	26	Sint-Michielsgestel	28	19	13190	28	1.2	2395	2.6	13	55	61	10520	4	14050	4	1	17	0845		230	26	13970	2	34	28010
299.7360124690337 295.80551229353426	21	298	8	1440	10	0	0	700	2		210	0	17	31	-99999999	39	328	3446	0	10210	1093	95	Gemeente	GM0865	88	Vught	-99999999	753	3351	21	Vught	17	19	10995	28	1.1	1040	2.4	12	64	67	10180	9	12390	3	0	18	0865		50	27	12840	3	31	25240
236.74171293574588 291.65339784465755	34	211	9	2670	11	0	2	1635	2		680	1	15	28	-99999999	37	349	7309	3	22300	1377	158	Gemeente	GM0826	75	Oosterhout	-99999999	739	7152	34	Oosterhout	18	18	24970	29	1.1	3410	2.4	8	66	57	22225	8	26000	3	0	15	0826		175	27	26860	8	34	52850
389.1298077333237 286.4367870896179	12	273	6	660	11	0	0	575	1		50	0	15	21	-99999999	45	53	9981	0	4230	229	49	Gemeente	GM1702	88	Sint Anthonis	-99999999	118	9932	23	Sint Anthonis	25	20	5310	27	1.3	1115	2.7	12	54	64	4200	3	5950	5	2	21	1702		420	26	5730	1	34	11680
250.91076774709603 291.06547210192576	24	220	8	1170	11	0	0	980	3		220	1	14	27	-99999999	40	380	2972	3	10290	1105	40	Gemeente	GM0766	68	Dongen	-99999999	872	2932	49	Dongen	22	19	11150	28	1.1	1465	2.4	10	60	41	9950	6	12810	3	2	18	0766		135	28	12750	7	33	25560
427.86249525072134 280.1744491862102	20	217	7	810	11	0	0	630	1		110	0	15	23	-99999999	43	63	10942	0	5370	301	449	Gemeente	GM0893	89	Bergen (L.)	-99999999	130	10493	49	Bergen (L.)	24	18	6565	29	1.2	1175	2.5	12	54	39	5250	14	6790	5	3	21	0893		175	27	6820	2	34	13610
265.2823767916314 292.193709763687	18	245	8	1160	11	0	0	890	1		160	0	15	23	-99999999	43	211	5072	1	8980	925	55	Gemeente	GM0809	76	Loon op Zand	-99999999	455	5017	20	Loon op Zand	24	18	10590	29	1.2	1500	2.5	10	61	70	8985	5	11350	4	0	15	0809		115	27	11460	3	34	22810
291.86721471960317 288.4694920671773	10	316	7	950	10	0	0	535	1		50	0	14	22	-99999999	43	110	5853	0	5040	317	86	Gemeente	GM0788	104	Haaren	-99999999	240	5766	30	Haaren	22	20	6340	30	1.3	1445	2.6	12	60	58	4905	4	7010	5	1	17	0788		245	25	6820	1	35	13830
86.85386617820541 306.1193879283771	23	207	8	1500	10	0	0	1475	2		320	0	19	29	-99999999	34	68	48894	0	14660	458	25787	Gemeente	GM1676	68	Schouwen-Duiveland	-99999999	149	23108	74	Schouwen-Duiveland	18	17	15760	29	1.1	3185	2.3	11	61	15	15050	6	16970	5	2	20	1676		390	25	17470	2	37	34440
152.5539085495122 282.44285229867586	24	204	8	1230	10	0	0	1095	1		230	1	15	24	-99999999	39	76	15879	0	9540	578	1217	Gemeente	GM0851	78	Steenbergen	-99999999	159	14662	74	Steenbergen	23	18	11070	30	1.2	1800	2.4	9	60	17	9535	5	11690	4	1	17	0851		300	27	11670	3	37	23360
