COMPUTE_CENTROID	P_WWB_UIT	WOZ	BEDR_KLAS	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	RECSRT	GM_CODE	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	BU_NAAM	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_COM_DV	P_VEETEELT	WONINGEN	P_WEST_AL	AANT_MAN	STED	AUTO_MUT	P_N_COM_DV	WBCCODE	WK_CODE	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
357.46939400759584 424.2559915098097	19	278	9	1840	15	0	0	1855	1		320	0	12	25	-99999999	46	124	17674	1	17880	716	74	Gemeente	GM0203	57	Barneveld	-99999999	287	17601	5	Barneveld	27	23	21870	23	1.2	5180	2.8	16	59	80	17115	4	25110	4	2	14	0203		760	27	25330	3	29	50450
205.73746832218254 430.4981980555279	10	283	7	330	12	0	0	560	2		50	0	13	23	-99999999	44	138	4137	0	4220	364	486	Gemeente	GM0645	44	Jacobswoude	-99999999	296	3651	31	Jacobswoude	27	19	5040	30	1.2	855	2.6	9	55	60	4070	5	5500	5	2	18	0645		140	26	5300	2	34	10800
299.2428420622522 433.07121962507887	29	284	8	1770	10	1	1	835	3		300	0	18	37	-99999999	33	362	3303	2	10710	1387	47	Gemeente	GM0308	111	Baarn	-99999999	753	3256	28	Baarn	16	17	11785	29	1.1	1555	2.2	0	66	72	10500	9	11730	3	1	18	0308		25	26	12780	6	31	24510
226.17645601684475 430.8499107904479	11	250	6	620	12	0	0	370	1		30	1	11	26	-99999999	46	93	3098	0	2410	249	78	Gemeente	GM1673	131	Liemeer	-99999999	224	3020	60	Liemeer	33	19	2820	30	1.2	730	2.6	6	51	34	2345	5	3520	5	3	16	1673		170	28	3260	2	29	6770
254.8879540191633 424.0238852383397	13	275	7	520	10	0	1	545	2		70	1	15	31	-99999999	38	143	4865	0	6060	673	421	Gemeente	GM0311	55	Breukelen	-99999999	328	4444	6	Breukelen	21	20	6375	26	1.1	1010	2.4	3	63	91	5875	8	7180	4	2	16	0311		125	28	7390	4	30	14570
169.80271245958554 430.50799562023	20	236	9	2310	14	0	1	1620	2		420	0	13	25	-99999999	45	888	3106	1	22700	1900	639	Gemeente	GM0537	57	Katwijk	-99999999	2471	2466	88	Katwijk	19	21	21905	24	1.0	3825	2.7	2	67	10	23070	4	30320	2	1	14	0537		130	28	30610	4	30	60930
195.9686904642187 431.39770298099324	12	264	7	470	12	0	0	560	2		60	0	13	25	-99999999	45	234	3091	0	5570	572	395	Gemeente	GM0483	49	Alkemade	-99999999	538	2695	70	Alkemade	21	20	6320	28	1.1	1380	2.6	2	62	28	5350	4	7320	4	1	16	0483		195	27	7200	3	30	14510
317.81114749061436 425.5147185433582	45	215	9	7610	11	1	3	4615	4		2400	1	12	35	-99999999	37	904	6378	4	58880	2132	95	Gemeente	GM0307	83	Amersfoort	-99999999	2180	6283	8	Amersfoort	13	21	56830	23	1.0	7795	2.3	8	67	84	57175	8	66940	2	2	21	0307		90	33	70060	13	27	137000
215.49073265167752 427.0566955771861	11	260	6	260	13	0	1	440	1		30	0	12	21	-99999999	47	203	2171	0	3320	374	234	Gemeente	GM0480	43	Ter Aar	-99999999	464	1937	68	Ter Aar	27	20	3930	29	1.2	920	2.7	10	59	22	3320	4	4560	5	0	14	0480		145	25	4420	3	32	8990
528.9675994591589 422.95042909211804	24	215	7	1210	10	0	0	1265	1		200	0	16	23	-99999999	42	107	10548	3	9480	924	58	Gemeente	GM0158	76	Haaksbergen	-99999999	232	10490	7	Haaksbergen	24	19	11270	28	1.2	1685	2.5	17	59	76	9450	7	12240	4	0	17	0158		360	27	12100	4	34	24340
