COMPUTE_CENTROID	P_WWB_UIT	WWB_UITMUT	INW_MUT	BEDR_KLAS	AO_UIT_TOT	P_WW_UIT	P_15_24_JR	P_ANT_ARU	P_MARROK	HH_MUT	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	WEST_MUT	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	P_HOOG_INK	OPP_TOT	P_TURKIJE	N_W_MUT	INW_5JMUT	AANTAL_HH	N_W_5JMUT	OAD	OPP_WATER	RECSRT	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	P_NIET_ACT	P_GEWASSEN	OPP_LAND	BU_NAAM	INK_ONTV	WW_UIT_TOT	P_INDUSTRI	P_00_14_JR	AGRA_5MUT	AUTO_TOT	P_45_64_JR	AUTO_HH	INK_INW	P_LAAG_INK	WW_UIT_MUT	WEST_5JMUT	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AUTO_MUT	HH_5JMUT	AANT_INK	WK_CODE	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
274.7387787171189 623.4868267660027	26	25	2	6	580	15	11	0	0	2	400	1		90	0	16	-7	29	-99999999	37	131	18	21250	0	0	3	3640	1	394	18573	Gemeente	GM0462	-5	102	Wieringen	-99999999	321	19	21	2677	Wieringen	17	100	30	18	-15	3515	28	1.0	12	41	0	0	845	2.3	6	73	52	3755	5	5	4300	18	4	4	5700		50	27	-4	4280	2	35	8580
209.8113081958097 625.6336679062584	22	3	3	7	990	30	10	0	0	1	665	2		130	0	15	8	32	-99999999	35	35	16	46328	0	3	2	5890	0	379	30132	Gemeente	GM0448	-1	109	Texel	-99999999	85	18	40	16196	Texel	16	270	19	19	-7	5675	30	1.0	11	45	8	0	1745	2.3	17	42	66	5800	7	5	6800	15	1	4	9100		240	26	0	6940	2	33	13740
222.3853053211038 613.3272768429837	70	2	-1	8	4170	23	12	2	0	0	2155	4		1780	1	14	-3	35	-99999999	35	484	15	17883	0	0	0	26540	2	1612	13340	Gemeente	GM0400	-2	102	Den Helder	-99999999	1309	27	90	4543	Den Helder	16	920	17	17	-15	21970	28	0.8	12	40	17	0	2860	2.1	0	10	59	26510	10	2	29480	24	1	2	40500		65	29	-6	29970	8	31	59450
343.91056151334766 603.5066458897047	20	13	0	6	450	29	11	0	0	0	420	1		80	0	18	0	27	-99999999	38	45	17	20929	0	0	1	4070	0	248	11406	Gemeente	GM0653	-3	71	GaasterlÂƒn-Sleat	-99999999	107	16	4	9523	GaasterlÂƒn-Sleat	16	180	27	20	-7	4315	27	1.1	11	44	22	0	1020	2.4	4	92	56	4280	3	5	5150	17	2	4	6700		200	25	-2	5060	1	35	10210
413.68290600984477 601.5794072790123	38	6	0	8	1420	39	11	1	1	1	1305	3		390	0	17	2	31	-99999999	35	49	14	22836	0	0	4	11090	2	599	620	Gemeente	GM0098	-3	84	Weststellingwerf	-99999999	117	22	3	22215	Weststellingwerf	16	660	25	18	-10	10915	27	1.0	11	46	6	1	2480	2.3	2	96	55	10755	4	4	13040	21	1	7	17400		440	26	-2	12910	4	34	25960
256.4337413167664 610.2978454007808	26	25	2	6	580	15	11	0	0	2	400	1		90	0	16	-7	29	-99999999	37	131	18	21250	0	0	3	3640	1	394	18573	Gemeente	GM0462	-5	102	Wieringen	-99999999	321	19	21	2677	Wieringen	17	100	30	18	-15	3515	28	1.0	12	41	0	0	845	2.3	6	73	52	3755	5	5	4300	18	4	4	5700		50	27	-4	4280	2	35	8580
455.91496163248155 592.6303886172652	20	7	1	7	1190	28	10	0	0	1	910	1		160	0	20	2	27	-99999999	34	32	21	28275	0	-9	1	7980	0	187	376	Gemeente	GM1701	-3	99	Westerveld	-99999999	69	22	10	27899	Westerveld	18	340	21	17	-9	9005	29	1.1	12	42	10	0	1895	2.3	5	85	57	7700	4	5	9570	22	2	2	12900		360	24	1	9560	2	38	19130
260.4850232666291 589.9422235321044	20	1	-1	7	850	22	11	0	0	0	640	2		100	0	14	2	25	-99999999	41	28	19	30776	0	-7	2	5020	1	418	11294	Gemeente	GM0463	2	102	Wieringermeer	-99999999	64	18	77	19482	Wieringermeer	16	180	27	20	-7	5500	28	1.1	11	43	3	0	1420	2.4	12	11	56	5035	5	5	6340	16	0	5	8300		360	28	-4	6150	2	34	12500
235.4852443020881 596.3204315360767	25	17	5	6	740	20	12	1	0	1	705	2		120	0	11	-3	24	-99999999	43	78	18	7881	0	8	1	5470	0	446	438	Gemeente	GM0366	-3	78	Anna Paulowna	-99999999	188	18	84	7443	Anna Paulowna	16	170	25	21	-18	5810	27	1.1	11	42	3	0	1250	2.5	5	11	58	5515	5	5	7060	18	2	2	9000		205	29	-1	6900	3	33	13960
375.1092720250157 598.3550415986841	37	5	0	7	670	43	11	0	0	1	530	3		200	0	13	-7	28	-99999999	38	74	18	12438	1	0	6	5540	1	567	4810	Gemeente	GM0082	-3	74	Lemsterland	-99999999	176	21	3	7628	Lemsterland	17	390	23	19	-8	5620	28	1.0	11	45	10	0	1150	2.4	1	96	61	5730	6	4	6840	16	2	9	8500		155	29	-3	6560	4	34	13410
523.1317993227842 569.172854264966	42	9	0	8	2170	44	11	0	0	0	1820	2		620	0	17	0	27	-99999999	38	56	16	29968	0	-1	4	14900	1	467	300	Gemeente	GM0109	-3	92	Coevorden	-99999999	122	23	33	29668	Coevorden	16	1040	18	18	-12	16490	28	1.1	11	44	3	0	3255	2.3	10	56	61	14515	5	5	17990	21	1	6	24300		490	27	-2	18100	2	35	36090
218.31544039336433 585.4300312230656	21	11	1	7	710	22	10	0	0	1	740	1		100	0	13	0	25	-99999999	40	54	21	11335	0	5	3	4640	0	187	1818	Gemeente	GM0476	-2	92	Zijpe	-99999999	121	19	54	9517	Zijpe	17	170	23	19	-15	5105	32	1.1	12	41	16	1	1480	2.4	3	43	61	4530	6	5	5840	16	3	6	7600		215	26	-3	5650	2	35	11480
557.4157689798708 572.209077725248	60	6	0	9	8160	56	11	0	0	1	4215	2		2640	0	16	-3	29	-99999999	37	142	13	34629	1	0	2	45790	1	713	881	Gemeente	GM0114	-2	113	Emmen	-99999999	322	25	63	33748	Emmen	16	4000	21	18	-15	47870	27	1.0	11	45	7	0	7990	2.3	10	27	60	45535	7	4	53690	19	1	4	73400		495	28	-2	54930	4	34	108620
415.8592486869838 571.5090252063192	35	0	-3	8	2430	35	11	0	0	0	1950	1		600	0	16	0	28	-99999999	38	62	17	32169	1	0	6	17610	0	570	3056	Gemeente	GM1708	-4	87	Steenwijkerland	-99999999	147	20	7	29112	Steenwijkerland	16	960	22	19	-12	17940	27	1.0	11	44	15	0	3280	2.4	6	87	59	17715	4	4	21380	19	3	6	28000		500	27	-2	21450	2	34	42830
376.9360847414895 559.8286734011373	35	0	7	8	2370	30	12	1	1	0	1785	3		590	0	13	3	28	-99999999	41	42	16	59541	1	-3	6	17990	1	699	13536	Gemeente	GM0171	-1	80	Noordoostpolder	-99999999	99	17	77	46005	Noordoostpolder	16	870	22	22	-11	19290	25	1.1	10	44	26	1	4055	2.5	11	12	60	17620	5	4	22970	18	3	8	28700		1110	28	-2	22630	6	32	45600
228.3986273720083 579.311983585567	35	12	2	7	1220	23	11	0	0	3	620	4		270	1	15	10	32	-99999999	35	408	21	1935	0	0	8	8080	2	1109	50	Gemeente	GM0441	-3	97	Schagen	-99999999	987	22	18	1885	Schagen	18	290	20	17	-13	7695	29	1.0	13	40	18	1	1260	2.2	12	71	61	7865	8	3	9250	19	3	14	12900		35	28	-3	9350	6	33	18600
241.0710142473999 572.4374195345877	18	19	1	7	690	20	11	0	0	2	875	1		90	0	11	-8	22	-99999999	43	86	21	6299	0	9	3	4510	0	231	141	Gemeente	GM0412	-1	87	Niedorp	-99999999	191	16	36	6158	Niedorp	17	150	34	21	-11	5325	29	1.2	12	42	18	0	1690	2.5	11	53	51	4475	4	5	5960	15	3	5	7700		185	28	-3	5800	2	34	11760
489.4187791605578 564.2866591998012	50	13	0	9	3810	46	13	0	0	1	2080	2		1070	0	16	-3	29	-99999999	39	183	15	12922	1	-8	2	22040	0	1046	145	Gemeente	GM0118	-3	107	Hoogeveen	-99999999	422	23	17	12777	Hoogeveen	16	1610	20	18	-17	23420	26	1.1	11	44	7	0	4010	2.4	6	77	63	21865	5	3	26720	17	3	5	35800		280	27	-4	27160	3	32	53890
468.1829330509081 558.613200570779	16	3	-3	8	1270	28	10	0	0	0	1310	1		140	0	17	-7	24	-99999999	41	50	19	22635	0	-4	1	9360	0	273	157	Gemeente	GM1690	-3	84	De Wolden	-99999999	106	16	8	22478	De Wolden	17	430	21	20	-11	11280	28	1.2	12	42	11	0	2355	2.5	6	86	57	9220	3	5	11930	22	2	4	15800		585	25	0	11920	1	35	23840
223.9162398327119 566.5667586964947	18	13	0	7	990	15	11	0	0	0	915	1		100	0	11	-5	26	-99999999	43	126	21	5483	0	8	6	6140	0	337	80	Gemeente	GM0395	-2	92	Harenkarspel	-99999999	292	18	65	5403	Harenkarspel	17	170	33	21	-16	6830	28	1.1	12	42	4	0	1730	2.5	12	23	49	5865	5	5	8060	18	1	9	10600		225	28	-2	7740	2	31	15790
440.84743861300325 561.8166669607758	43	9	-1	8	2020	32	11	0	2	-1	1125	2		550	1	14	0	33	-99999999	36	225	18	5698	0	-1	3	13080	1	1134	130	Gemeente	GM0119	-2	99	Meppel	-99999999	546	20	2	5568	Meppel	17	660	16	19	-11	12525	26	1.0	12	40	6	0	2135	2.2	6	92	62	13210	5	3	14800	22	2	4	20700		105	30	3	15600	5	32	30400
274.66778792714103 571.3154093007171	24	-5	0	6	670	28	11	1	0	1	270	4		80	0	13	0	33	-99999999	36	429	19	10796	5	0	6	3510	2	905	10065	Gemeente	GM0420	-4	122	Medemblik	-99999999	1101	20	45	731	Medemblik	18	150	34	20	-17	3140	27	0.9	12	42	-1	1	645	2.2	15	40	54	3270	6	4	4040	13	2	11	5400		20	29	-9	4000	10	31	8050
267.7341543031209 563.5879010683194	16	12	0	6	690	21	11	0	0	1	650	1		60	0	12	0	23	-99999999	42	95	22	5059	0	0	1	4140	0	192	87	Gemeente	GM0529	-1	96	Noorder-Koggenland	-99999999	212	16	32	4973	Noorder-Koggenland	18	150	29	20	-18	4740	31	1.1	12	40	3	0	1065	2.5	14	53	52	4115	6	5	5280	19	1	4	6900		165	27	-4	5250	2	35	10530
209.12022352232984 548.4124560298941	19	-12	0	8	2000	20	10	0	0	0	1300	2		250	0	20	-8	33	-99999999	35	143	26	11983	0	0	0	13620	0	656	2266	Gemeente	GM0373	-3	99	Bergen (NH.)	-99999999	326	21	27	9717	Bergen (NH.)	20	400	18	16	-16	13930	32	1.0	14	38	12	0	2115	2.2	1	72	62	13740	9	4	15460	20	2	3	21600		130	23	-6	16230	3	33	31690
280.3483354943809 561.7648562712724	16	-99999997	1	6	490	15	12	0	0	1	375	1		50	0	12	-7	25	-99999999	45	147	19	3108	0	8	1	3240	0	453	762	Gemeente	GM0459	-3	86	Wervershoof	-99999999	365	19	80	2346	Wervershoof	16	100	35	21	-18	3440	26	1.1	11	44	8	0	1165	2.6	2	18	53	3115	3	5	4380	13	3	4	5600		105	28	-5	4180	2	31	8560
252.24838809066927 561.2190749789949	11	-8	1	6	630	15	11	0	0	2	685	1		50	0	12	8	24	-99999999	43	117	22	4198	0	4	4	4310	0	455	32	Gemeente	GM0432	-2	85	Opmeer	-99999999	270	14	32	4166	Opmeer	19	110	38	22	-20	4880	27	1.1	13	40	28	0	1090	2.6	11	57	47	4245	4	5	5680	15	3	7	7400		140	29	-4	5570	2	33	11250
292.2794782538985 565.8499387118172	17	-99999997	3	6	440	27	12	0	0	2	365	2		40	0	12	0	25	-99999999	41	135	17	4769	0	0	1	2540	0	296	2649	Gemeente	GM0364	-3	99	Andijk	-99999999	303	17	85	2121	Andijk	17	120	35	19	-5	2855	31	1.1	12	44	41	1	710	2.5	4	12	48	2455	6	5	3270	17	5	4	4200		110	26	-7	3160	2	34	6420
300.8517599938677 561.3675672725816	35	6	0	7	1350	32	12	0	1	0	620	3		250	1	13	0	33	-99999999	36	496	17	11604	2	0	2	7510	1	1245	10362	Gemeente	GM0388	-2	113	Enkhuizen	-99999999	1394	20	64	1242	Enkhuizen	17	380	28	19	-31	6165	28	0.8	12	40	13	0	1145	2.2	12	24	57	7730	6	3	8620	14	2	3	11600		25	29	-11	8680	7	32	17310
227.24767240655578 555.3308377317627	20	7	3	8	1380	20	12	0	1	3	1235	2		190	0	11	0	22	-99999999	45	452	23	2699	0	0	9	9890	1	797	285	Gemeente	GM0416	-1	78	Langedijk	-99999999	1074	18	62	2415	Langedijk	18	320	28	21	-21	10915	28	1.1	12	40	15	0	2040	2.6	9	29	55	9835	5	4	12930	18	4	12	17000		60	28	-8	13000	4	33	25940
235.6254026479773 551.5212202424277	29	-7	2	8	3320	25	12	1	1	2	1945	3		510	1	10	7	25	-99999999	43	510	20	3997	2	0	9	18950	1	1477	71	Gemeente	GM0398	-2	99	Heerhugowaard	-99999999	1230	21	60	3925	Heerhugowaard	18	830	26	21	-20	20035	26	1.1	12	39	11	0	2940	2.5	9	31	58	18945	8	3	24390	17	4	12	32100		160	32	-8	23880	8	32	48270
293.57287119211276 557.4415218094316	26	0	0	7	1590	27	12	0	0	1	855	2		210	1	11	0	23	-99999999	44	544	18	1642	0	-4	1	8280	0	1007	165	Gemeente	GM0532	-2	108	Stede Broec	-99999999	1454	20	93	1477	Stede Broec	17	400	25	20	-22	8035	29	1.0	11	42	7	0	1090	2.5	0	7	55	8345	5	3	10830	20	3	4	14200		70	28	-3	10650	4	34	21480
281.75733500532067 552.1823511081104	13	-99999997	1	6	620	23	12	0	0	3	450	1		50	0	11	0	23	-99999999	44	173	22	2408	0	0	6	3970	0	520	15	Gemeente	GM0498	-2	86	Drechterland	-99999999	439	17	62	2392	Drechterland	18	170	32	21	-17	4145	28	1.0	12	39	12	0	830	2.6	5	33	52	3980	4	4	5280	17	3	10	-99999997		95	27	-3	5230	2	33	10500
264.17468233648594 553.5861808333599	10	-99999997	1	6	640	15	12	0	0	0	370	1		30	0	11	8	21	-99999999	47	151	22	2148	0	-4	2	2880	0	394	10	Gemeente	GM0466	-2	116	Wognum	-99999999	380	20	64	2138	Wognum	18	90	27	21	-20	3220	29	1.1	12	44	0	0	875	2.7	8	28	55	2895	4	5	4220	18	0	5	5400		105	26	0	3910	2	31	8130
243.98783462822067 549.0509624318372	11	-99999997	0	6	340	15	13	0	0	1	395	1		30	0	10	5	23	-99999999	46	138	22	2099	0	5	6	2530	0	402	40	Gemeente	GM0429	-1	73	Obdam	-99999999	330	14	62	2059	Obdam	18	80	41	21	-14	2835	28	1.1	13	41	18	0	830	2.6	7	31	44	2455	3	5	3430	16	3	10	4700		90	28	-2	3360	2	31	6790
443.0881702221002 541.2215730724121	10	-99999997	0	7	500	20	15	0	0	0	710	1		50	0	11	-8	19	-99999999	55	50	20	13570	0	0	3	4930	0	313	141	Gemeente	GM0180	0	51	Staphorst	-99999999	117	13	3	13429	Staphorst	17	180	33	26	-19	6705	21	1.4	10	42	41	0	1660	3.1	3	94	53	5070	1	5	8040	14	2	4	9100		495	27	-1	7670	1	27	15710
315.87074587427685 541.7705749900306	72	4	2	9	5360	42	13	2	3	2	2100	4		2000	6	9	8	30	-99999999	40	116	16	76539	2	0	12	29900	3	1291	53126	Gemeente	GM0995	-1	106	Lelystad	-99999999	303	24	60	23413	Lelystad	17	2100	19	20	-3	27135	28	0.9	11	40	24	0	3810	2.3	13	27	60	28865	9	3	35280	22	3	14	46000		145	30	-1	35580	17	30	70860
286.08779937632784 545.4935921836648	16	-10	0	6	500	24	11	0	0	-1	360	2		50	0	12	-1	26	-99999999	41	99	-99999997	5665	0	0	2	3080	0	224	2140	Gemeente	GM0454	-2	95	Venhuizen	-99999999	221	-99999997	66	3525	Venhuizen	-99999997	130	31	20	-18	3475	30	1.1	-99999997	-99999997	11	-1	985	2.5	1	33	53	2975	7	5	4020	16	1	2	-99999997		165	26	-4	3780	2	34	7800
221.52298036720236 542.1022606032567	55	-5	0	9	7050	27	13	1	2	1	2930	5		2210	1	13	-7	38	-99999999	34	1248	18	3122	3	0	2	43040	2	2171	171	Gemeente	GM0361	-1	107	Alkmaar	-99999999	3194	23	47	2951	Alkmaar	17	1760	17	17	-44	36825	26	0.9	12	38	14	0	5345	2.1	0	53	61	41990	10	2	46220	21	5	4	64600		20	31	0	48050	12	28	94270
354.1280930097459 548.8068824712544	21	4	1	7	640	20	18	0	1	3	210	0		100	0	7	4	18	-99999999	63	423	20	10990	0	1	10	4830	0	914	9837	Gemeente	GM0184	-1	61	Urk	-99999999	1496	15	55	1154	Urk	16	190	28	32	-99999997	4880	16	1.0	8	48	36	0	835	3.5	18	27	60	5055	1	4	8720	12	4	13	8500		10	27	-8	8540	1	19	17260
269.82145062700755 545.9671560846634	47	3	0	9	5080	28	12	1	2	1	2290	4		1270	3	12	-3	33	-99999999	38	1334	19	5224	2	0	5	29280	1	1562	3293	Gemeente	GM0405	-1	108	Hoorn	-99999999	3529	22	79	1931	Hoorn	18	1330	20	19	-43	25760	27	0.9	12	38	11	0	3765	2.3	3	18	61	29090	8	2	33520	19	2	7	45500		35	30	0	34610	11	29	68140
499.1883775527873 530.0314913163677	29	6	6	9	3410	35	12	0	0	1	3050	1		610	0	14	3	23	-99999999	46	80	16	31724	0	-7	2	21240	0	457	437	Gemeente	GM0160	-2	90	Hardenberg	-99999999	185	18	16	31287	Hardenberg	16	1320	23	21	-7	25175	25	1.2	11	44	12	0	4850	2.6	11	73	60	20945	4	5	29220	18	1	4	36700		855	28	0	28630	2	32	57860
253.81598261752146 541.667400425796	11	-8	1	7	690	15	11	0	0	2	845	1		60	0	12	7	24	-99999999	44	105	22	6315	0	0	5	5340	0	302	285	Gemeente	GM0558	-3	73	Wester-Koggenland	-99999999	233	14	42	6030	Wester-Koggenland	17	150	32	21	-10	6345	28	1.2	12	40	7	0	1710	2.6	5	53	51	5400	4	5	7070	17	2	7	9400		235	28	-2	6980	1	32	14040
421.33543315778434 533.2802967990312	15	-15	-1	7	930	15	14	0	0	-1	740	1		120	0	11	0	22	-99999999	49	103	20	8791	0	0	3	7670	0	630	515	Gemeente	GM1896	0	65	Zwartewaterland	-99999999	264	15	2	8276	Zwartewaterland	17	240	29	25	-9	8555	23	1.1	11	41	18	0	2715	2.8	1	97	57	7800	3	4	11050	14	4	4	13100		180	28	-3	10820	1	29	21880
232.38717534818485 532.7654143904292	12	-99999997	0	6	280	20	12	0	0	-1	255	1		20	0	12	0	23	-99999999	43	36	23	6444	0	9	-1	1870	0	112	289	Gemeente	GM0458	1	85	Schermer	-99999999	79	16	29	6155	Schermer	18	60	29	21	-10	2240	29	1.2	12	39	-99999997	-1	655	2.6	5	66	51	1855	4	5	2500	20	2	0	3200		160	26	-1	2370	1	34	4880
401.6033251879998 521.3051516806297	36	3	6	8	2860	27	14	0	0	0	1675	2		670	0	13	-4	30	-99999999	41	126	16	16184	2	-3	3	19330	0	1391	2050	Gemeente	GM0166	-1	89	Kampen	-99999999	347	19	16	14134	Kampen	16	870	26	21	-11	17855	23	0.9	11	44	21	0	2705	2.5	1	83	57	18990	4	3	24240	17	1	4	31200		405	29	0	24740	4	30	48980
214.76553222598716 532.5821836909362	18	-1	0	7	1240	20	9	0	0	1	735	2		160	0	20	8	29	-99999999	36	499	28	1899	0	2	2	9240	1	1034	21	Gemeente	GM0399	-3	91	Heiloo	-99999999	1176	21	45	1879	Heiloo	20	270	18	19	-7	9375	28	1.0	14	36	-2	0	1105	2.3	0	55	62	9110	7	3	10870	19	1	3	15200		50	25	4	11240	3	35	22110
246.46084054930017 521.7730569476215	12	-99999997	0	6	550	15	11	0	0	0	475	1		40	0	14	6	26	-99999999	41	54	23	7208	0	0	1	3370	1	548	155	Gemeente	GM0370	0	97	Beemster	-99999999	121	20	27	7054	Beemster	18	90	25	19	-15	3775	30	1.1	13	40	20	0	1105	2.5	9	64	60	3350	6	4	4270	15	1	3	5800		200	26	-6	4250	2	33	8520
260.42836389975105 521.5289532296067	10	-99999997	-1	6	380	20	9	0	0	0	385	1		20	0	11	-5	21	-99999999	41	75	24	5523	0	0	-1	2470	0	240	1704	Gemeente	GM0478	-3	89	Zeevang	-99999999	164	18	5	3819	Zeevang	19	80	31	21	-9	2860	32	1.2	13	39	18	0	645	2.5	4	91	50	2465	7	5	3140	19	1	1	4100		100	26	-4	3120	2	37	6270
366.22358415083954 507.7199296934226	38	18	1	8	1890	26	14	0	1	1	1510	3		530	1	11	-4	28	-99999999	41	47	21	42386	1	0	8	15120	2	719	8951	Gemeente	GM0303	0	74	Dronten	-99999999	114	19	78	33435	Dronten	17	670	20	22	-9	15630	24	1.0	11	41	18	1	2700	2.4	11	11	63	13785	7	4	19300	17	2	13	22900		520	29	-2	18710	7	32	38010
372.39306778658874 532.014808536278	38	18	1	8	1890	26	14	0	1	1	1510	3		530	1	11	-4	28	-99999999	41	47	21	42386	1	0	8	15120	2	719	8951	Gemeente	GM0303	0	74	Dronten	-99999999	114	19	78	33435	Dronten	17	670	20	22	-9	15630	24	1.0	11	41	18	1	2700	2.4	11	11	63	13785	7	4	19300	17	2	13	22900		520	29	-2	18710	7	32	38010
454.0573457568339 511.61937086620435	11	-11	0	7	1170	22	12	0	0	1	1830	1		100	0	14	4	21	-99999999	46	74	20	16650	0	-2	3	9740	0	407	132	Gemeente	GM0148	0	68	Dalfsen	-99999999	160	16	5	16518	Dalfsen	17	390	21	21	-15	12265	27	1.3	12	42	15	0	2640	2.7	5	90	59	9485	2	5	13420	20	1	6	17300		600	26	-4	13040	1	33	26460
