COMPUTE_CENTROID	P_WWB_UIT	WWB_UITMUT	INW_MUT	BEDR_KLAS	AO_UIT_TOT	P_WW_UIT	P_15_24_JR	P_ANT_ARU	P_MARROK	HH_MUT	MOTOR_2W	P_OVER_NW	BU_CODE	WWB_UITTOT	P_SURINAM	P_65_EO_JR	WEST_MUT	P_EENP_HH	DEK_PERC	P_HH_M_K	AUTO_LAND	P_HOOG_INK	OPP_TOT	P_TURKIJE	N_W_MUT	INW_5JMUT	AANTAL_HH	N_W_5JMUT	OAD	OPP_WATER	RECSRT	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	P_NIET_ACT	P_GEWASSEN	OPP_LAND	BU_NAAM	INK_ONTV	WW_UIT_TOT	P_INDUSTRI	P_00_14_JR	AGRA_5MUT	AUTO_TOT	P_45_64_JR	AUTO_HH	INK_INW	P_LAAG_INK	WW_UIT_MUT	WEST_5JMUT	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AUTO_MUT	HH_5JMUT	AANT_INK	WK_CODE	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
331.3029051879558 501.2244228024797	72	4	2	9	5360	42	13	2	3	2	2100	4		2000	6	9	8	30	-99999999	40	116	16	76539	2	0	12	29900	3	1291	53126	Gemeente	GM0995	-1	106	Lelystad	-99999999	303	24	60	23413	Lelystad	17	2100	19	20	-3	27135	28	0.9	11	40	24	0	3810	2.3	13	27	60	28865	9	3	35280	22	3	14	46000		145	30	-1	35580	17	30	70860
478.1785902438132 512.2965106288193	18	-9	1	7	940	28	13	0	0	2	840	1		110	0	15	-6	25	-99999999	42	43	19	18198	0	10	2	6480	0	422	199	Gemeente	GM0175	-4	83	Ommen	-99999999	95	18	11	17999	Ommen	17	310	19	19	-12	7790	28	1.2	12	42	23	0	1645	2.5	11	79	60	6140	3	5	8570	21	3	6	11300		405	26	-2	8460	2	32	17030
210.74409568889496 521.8892306914835	13	-4	-1	8	1880	15	10	0	0	5	1400	2		180	0	17	2	28	-99999999	38	286	30	5992	0	1	2	14330	0	1146	1042	Gemeente	GM0383	-3	84	Castricum	-99999999	709	18	45	4950	Castricum	20	360	22	19	-21	14175	29	1.0	14	35	2	0	2010	2.4	3	52	60	14235	6	3	17210	19	1	5	23800		95	25	-3	17880	3	33	35090
429.87390750145534 512.3425353400571	55	1	1	9	6790	34	13	1	1	1	3615	3		2640	1	13	-5	39	-99999999	32	395	18	11928	2	0	6	50660	1	1716	717	Gemeente	GM0193	-2	88	Zwolle	-99999999	998	23	10	11211	Zwolle	17	2600	12	19	8	44315	23	0.9	12	39	13	0	5850	2.1	3	88	66	48205	7	2	54280	22	4	6	76500		200	32	-4	57620	8	29	111900
230.8062079065549 520.3670963080192	11	-99999997	1	6	340	21	9	0	0	1	350	1		30	0	13	2	25	-99999999	41	142	26	2175	0	0	4	2570	0	380	165	Gemeente	GM0365	-4	78	Graft-De Rijp	-99999999	325	16	18	2010	Graft-De Rijp	19	90	28	21	-14	2850	29	1.1	13	37	8	0	525	2.5	0	82	52	2445	5	5	3300	21	1	4	4300		55	28	-4	3240	2	33	6540
217.63836304370474 513.4181382865182	15	-7	3	6	560	15	11	0	0	1	515	2		70	0	12	7	25	-99999999	44	250	27	2231	0	0	4	4590	1	931	313	Gemeente	GM0450	-2	72	Uitgeest	-99999999	615	17	15	1918	Uitgeest	19	120	30	22	-16	4795	26	1.0	13	35	-8	0	815	2.5	2	83	53	4605	6	4	5890	17	1	5	7800		40	30	-13	5900	3	31	11790
236.9222673780327 507.9103855637113	21	11	0	7	880	20	10	0	0	1	800	2		130	1	14	1	26	-99999999	41	166	23	4514	1	0	4	6430	1	1200	634	Gemeente	GM0880	-4	84	Wormerland	-99999999	408	18	3	3880	Wormerland	18	200	30	20	-16	6430	27	1.0	13	38	-2	0	1100	2.4	0	97	55	6300	6	3	7920	15	2	5	10700		95	29	-6	7920	4	33	15840
205.31249078905032 510.67815343945233	47	2	0	8	2260	20	12	0	1	2	1190	4		670	1	17	1	31	-99999999	38	521	22	3176	3	0	1	15300	2	1974	425	Gemeente	GM0396	-3	96	Heemskerk	-99999999	1325	22	85	2751	Heemskerk	18	440	22	18	-16	14330	27	0.9	12	39	4	0	1725	2.3	4	11	59	15030	10	2	17830	19	3	5	25000		105	26	-1	18610	8	31	36440
254.63820992875557 507.81933693162085	44	8	2	9	5730	27	11	1	1	2	2615	5		1320	5	13	-6	31	-99999999	40	1315	18	2456	1	0	10	32770	2	2121	82	Gemeente	GM0439	-2	109	Purmerend	-99999999	3246	22	-99999997	2374	Purmerend	17	1410	17	19	-47	31230	25	1.0	12	39	3	0	4290	2.3	-99999997	-99999997	64	32140	9	2	37730	19	6	10	53000		10	31	-99999997	39340	13	29	77070
265.7801921831749 508.2231899122803	15	-3	0	8	1810	15	11	0	1	1	560	2		160	0	11	0	25	-99999999	46	570	25	2478	0	10	3	10930	0	1413	847	Gemeente	GM0385	-2	93	Edam-Volendam	-99999999	1737	16	17	1631	Edam-Volendam	19	260	38	20	-17	9295	27	0.8	13	38	11	0	2295	2.5	0	83	52	11195	4	3	14240	11	3	6	19100		25	30	0	14100	3	29	28330
402.4031794931197 496.5746964988553	16	14	7	7	1090	23	15	0	0	0	835	1		130	0	13	4	19	-99999999	51	97	19	9885	0	-5	3	7850	0	536	123	Gemeente	GM0269	-2	71	Oldebroek	-99999999	235	17	5	9763	Oldebroek	17	360	31	20	-10	9495	25	1.2	11	42	15	0	1665	2.8	5	90	53	7825	2	4	11570	16	2	5	14300		265	27	5	11400	2	30	22970
224.2955722020154 498.2581690889873	48	4	3	9	10520	27	11	0	1	0	5535	3		2760	3	14	-1	32	-99999999	38	724	19	8304	7	0	3	60660	2	1764	880	Gemeente	GM0479	-2	112	Zaanstad	-99999999	1883	22	10	7425	Zaanstad	17	2580	25	18	-9	53735	26	0.9	12	38	7	0	8420	2.2	4	86	57	59615	8	2	68940	18	1	5	95200		105	31	-3	70880	15	30	139820
419.9947255703401 501.2865909326721	14	28	0	7	590	25	11	0	0	0	495	1		70	0	17	-2	25	-99999999	39	218	22	2420	0	-2	1	4660	0	755	108	Gemeente	GM0244	-3	79	Hattem	-99999999	508	17	9	2312	Hattem	18	180	16	20	-10	5040	27	1.1	12	39	22	0	645	2.4	5	86	61	4760	4	4	5720	23	1	3	7600		55	26	-2	6040	2	36	11760
206.15710754264052 503.65524874820755	42	5	0	9	2560	22	10	0	1	0	1295	3		660	1	16	-5	35	-99999999	35	816	18	2035	4	0	3	16510	2	2363	182	Gemeente	GM0375	-2	106	Beverwijk	-99999999	1988	20	85	1854	Beverwijk	18	530	17	18	-16	15125	25	0.9	13	38	9	0	2760	2.2	4	12	70	16865	10	2	18040	13	1	2	25800		25	31	-7	18820	9	30	36860
503.4045905733097 495.58814068172165	30	12	0	8	2290	27	13	0	0	1	1355	1		360	0	12	-5	20	-99999999	50	140	15	10817	0	0	1	11980	0	522	185	Gemeente	GM1700	-1	102	Twenterand	-99999999	316	19	11	10631	Twenterand	16	610	28	21	-11	14895	25	1.2	10	44	3	0	2970	2.7	12	77	57	12055	3	4	16970	15	3	4	21000		320	28	-3	16580	1	30	33550
261.21127577951086 495.3059394166346	13	5	0	7	880	20	11	0	0	1	695	2		90	1	15	4	27	-99999999	40	131	27	11564	0	0	0	7120	0	583	6354	Gemeente	GM0852	-4	76	Waterland	-99999999	333	18	1	5210	Waterland	20	230	19	18	-5	6800	31	1.0	14	37	10	0	1175	2.4	1	97	63	7055	7	4	8670	17	1	3	11900		145	25	-3	8670	3	33	17340
202.53438846103364 494.96551072673645	33	-1	0	9	4170	21	10	0	1	0	2725	3		920	0	16	1	33	-99999999	38	622	22	6303	2	0	1	28950	1	1652	1861	Gemeente	GM0453	-4	96	Velsen	-99999999	1520	20	26	4442	Velsen	18	910	23	19	-25	27640	26	1.0	13	38	1	0	3595	2.2	0	74	61	28700	8	2	33280	16	1	2	46000		20	28	0	34240	6	30	67520
247.44274863301894 494.9669151083472	15	-3	0	6	570	23	10	0	0	0	480	2		60	1	16	0	25	-99999999	42	198	28	2649	0	0	0	4210	1	831	395	Gemeente	GM0415	-7	84	Landsmeer	-99999999	456	17	0	2254	Landsmeer	20	160	20	19	-22	4460	31	1.1	14	35	12	1	615	2.4	0	100	62	4230	8	4	4990	18	1	2	7000		35	25	-12	5280	4	33	10270
530.914588702555 486.75710664570147	11	38	1	7	1080	22	11	0	0	2	985	1		80	0	13	3	19	-99999999	53	63	19	14740	0	0	3	6890	0	234	42	Gemeente	GM0183	-2	83	Tubbergen	-99999999	140	15	8	14698	Tubbergen	17	280	26	23	-10	9200	25	1.3	11	44	23	0	2185	2.9	13	79	59	6665	4	5	10420	15	2	5	13100		685	28	-2	10090	1	28	20510
552.1525235881271 477.7975764098471	5	-13	5	7	1300	25	10	0	0	1	1100	1		70	0	16	-5	21	-99999999	48	66	19	17681	0	-4	2	9350	0	410	102	Gemeente	GM1774	-5	79	Dinkelland	-99999999	148	16	7	17578	Dinkelland	17	400	23	22	-10	11670	25	1.2	11	44	17	0	2560	2.7	11	81	62	9390	6	5	13230	15	2	3	16900		735	27	-2	12870	1	31	26100
240.03023070480177 495.3619459448985	14	-6	7	6	510	21	9	0	0	0	415	2		50	1	15	0	24	-99999999	43	342	26	1613	1	-7	3	3700	1	940	464	Gemeente	GM0431	-2	85	Oostzaan	-99999999	799	17	0	1149	Oostzaan	19	130	23	20	-4	3935	27	1.1	14	35	16	0	610	2.4	0	100	59	3700	6	4	4460	18	2	4	6300		20	29	10	4720	4	33	9180
454.8005260244093 479.86142459625313	19	9	0	8	1960	21	12	0	0	1	1780	2		250	0	14	9	25	-99999999	43	91	19	17231	1	-10	3	14170	1	586	102	Gemeente	GM0177	-2	80	Raalte	-99999999	217	18	6	17128	Raalte	17	520	22	20	-11	15605	27	1.1	12	42	25	0	2830	2.5	8	85	59	13735	3	4	18640	19	2	7	24800		690	27	-1	18570	3	32	37210
389.043007856303 485.29927785611864	18	7	1	7	1120	23	13	0	0	2	680	1		140	0	13	1	22	-99999999	47	149	20	6595	0	0	2	8020	0	593	212	Gemeente	GM0230	0	77	Elburg	-99999999	345	19	7	6383	Elburg	18	340	22	21	-11	9515	25	1.2	11	42	29	0	1315	2.7	6	87	59	8055	3	4	10900	19	3	4	13700		175	28	0	11140	2	31	22030
481.14222802952725 479.85819834983266	22	22	0	8	2090	25	12	0	0	0	1770	1		290	0	15	-6	23	-99999999	44	116	17	13903	0	4	1	13700	0	720	87	Gemeente	GM0163	-2	87	Hellendoorn	-99999999	262	18	7	13815	Hellendoorn	16	610	24	19	-12	16095	27	1.2	11	43	11	0	2445	2.6	13	80	58	13715	4	4	18050	19	1	4	24000		375	27	-3	18120	2	33	36170
419.75592472314935 484.0585194968429	13	0	-9	7	1060	23	12	0	0	0	865	3		90	0	16	0	26	-99999999	41	100	21	8039	0	7	1	7220	2	512	167	Gemeente	GM0246	-2	88	Heerde	-99999999	233	18	16	7873	Heerde	17	280	20	19	-12	7900	28	1.1	12	41	14	1	1215	2.4	4	80	55	6935	3	4	9160	24	1	5	12200		145	26	-1	9170	4	33	18330
435.60441118342726 474.3691296838522	20	1	0	7	1060	25	11	0	0	1	780	1		120	0	15	0	23	-99999999	43	64	19	11838	1	5	1	6560	0	372	422	Gemeente	GM1773	-3	95	Olst-Wijhe	-99999999	150	19	8	11416	Olst-Wijhe	16	280	20	20	-12	7290	27	1.1	11	44	17	0	1180	2.5	9	82	59	6585	4	5	8580	21	1	3	11500		370	27	-2	8500	2	34	17080
327.9702818859438 468.53184671407223	26	11	0	7	830	27	11	0	0	-2	750	2		170	1	8	0	20	-99999999	51	32	26	26897	0	-1	11	6900	-1	801	2020	Gemeente	GM0050	-3	66	Zeewolde	-99999999	77	14	57	24876	Zeewolde	18	340	17	27	4	8070	21	1.2	11	38	22	0	1595	2.7	10	32	64	6645	7	4	9710	19	4	11	11200		270	34	0	9410	3	29	19120
195.36329186425925 478.867011129544	17	-8	0	7	650	21	9	0	0	4	415	2		120	0	21	7	33	-99999999	36	223	42	4329	0	5	2	7110	1	1060	536	Gemeente	GM0377	-3	64	Bloemendaal	-99999999	448	19	33	3793	Bloemendaal	28	210	10	19	-23	8470	31	1.2	18	31	-6	0	520	2.3	0	67	66	6890	14	3	8000	24	1	2	10900		10	20	-9	9010	3	32	17000
296.64849944356723 473.8590237427266	65	7	3	9	9910	34	13	2	3	3	4830	7		4220	10	7	0	27	-99999999	47	1182	20	24877	2	1	23	69750	8	1574	11829	Gemeente	GM0034	-1	82	Almere	-99999999	1341	19	79	13047	Almere	18	4160	15	24	0	154195	22	2.2	12	36	17	0	23255	2.4	7	13	64	67875	10	2	86960	20	61	24	107800		65	34	-6	88050	24	26	175010
214.9140786490012 483.2339579320533	17	-99999997	0	6	290	15	11	0	0	0	285	2		40	1	14	-7	27	-99999999	43	127	28	2108	0	0	3	2240	1	578	184	Gemeente	GM0393	-1	77	Haarlemmerliede en Spaarnwoude	-99999999	288	17	8	1925	Haarlemmerliede en Spaarnwoude	20	60	29	20	-11	2445	30	1.1	13	33	6	0	540	2.4	0	92	55	2110	6	4	2750	16	0	4	3600		25	26	14	2800	4	30	5550
240.1464364847081 477.73564318778915	102	-6	0	9	47020	36	12	2	9	0	13815	9		37490	9	11	0	55	-99999999	24	1297	21	21907	5	0	2	407780	3	6051	5409	Gemeente	GM0363	-2	87	Amsterdam	-99999999	4502	28	21	16498	Amsterdam	19	19370	11	16	-12	213960	23	0.5	13	38	9	1	28365	1.8	4	74	71	380145	14	1	366160	19	4	1	472900		90	38	-1	376630	34	20	742780
204.89261467242446 478.53632236875507	49	2	0	9	10470	27	11	1	3	0	4390	4		3230	1	15	0	44	-99999999	30	1891	20	3212	4	0	-1	70810	2	3131	280	Gemeente	GM0392	-4	105	Haarlem	-99999999	5005	22	39	2932	Haarlem	18	2660	18	17	-12	55440	25	0.8	13	37	9	1	8465	2.0	13	48	62	67135	10	1	71240	20	1	-1	102300		25	32	5	75500	13	27	146740
498.10612528082805 469.61479623531784	19	17	1	7	1220	25	12	0	0	2	970	1		160	0	14	-2	21	-99999999	47	114	20	9524	1	0	0	8580	0	616	56	Gemeente	GM0189	-4	79	Wierden	-99999999	248	18	5	9468	Wierden	18	380	22	20	-14	10750	27	1.3	12	40	14	0	2055	2.7	12	83	62	8520	5	4	11790	16	2	5	15100		340	27	-5	11700	2	32	23490
379.4278246452003 466.9754312259837	18	1	0	8	1390	15	13	0	0	1	930	2		170	0	15	0	25	-99999999	45	86	21	12949	0	7	2	9650	1	705	76	Gemeente	GM0302	-3	82	Nunspeet	-99999999	207	19	6	12873	Nunspeet	17	300	21	21	-24	11125	24	1.2	11	42	17	0	1765	2.7	6	88	63	9280	3	4	13140	16	3	4	16700		170	26	-6	13540	3	30	26680
513.0384331976937 470.7051157787875	88	5	0	9	5360	40	12	0	1	1	2210	4		2480	0	14	1	32	-99999999	38	444	14	6940	8	0	4	30620	2	1408	196	Gemeente	GM0141	-2	111	Almelo	-99999999	1072	27	10	6743	Almelo	16	1950	19	19	3	29965	25	1.0	11	45	20	0	4495	2.3	13	78	61	30510	10	3	35740	20	2	6	47500		155	29	3	36550	13	31	72290
188.88181941360082 472.2963424040985	40	0	-1	7	1260	25	9	0	1	-1	600	3		310	1	19	0	42	-99999999	28	227	22	4434	1	0	5	8180	1	1404	1230	Gemeente	GM0473	-4	113	Zandvoort	-99999999	522	22	-99999997	3204	Zandvoort	19	280	14	15	-99999997	7285	30	0.9	14	38	5	1	780	1.9	-99999997	-99999997	69	8185	12	3	7970	17	2	8	11700		0	28	-99999997	8740	5	30	16710
405.29529365400134 463.76018629904	21	-5	-1	8	2040	24	10	0	0	0	1235	1		240	0	18	0	26	-99999999	39	97	19	15725	3	0	0	13260	0	614	104	Gemeente	GM0232	-2	95	Epe	-99999999	212	20	9	15621	Epe	17	520	19	18	-14	15225	29	1.1	12	42	10	0	2355	2.4	8	83	60	13040	6	4	16330	21	1	1	22400		280	25	-2	16780	4	34	33110
566.1127741684157 460.4913437701314	25	1	0	7	1730	30	12	0	0	1	855	1		200	0	15	0	22	-99999999	44	103	16	9964	1	5	-1	8460	0	653	69	Gemeente	GM0168	-4	116	Losser	-99999999	227	22	6	9895	Losser	16	450	18	18	-13	10155	30	1.2	11	46	3	0	1475	2.5	7	88	63	8470	13	4	11230	19	1	2	15000		305	25	-7	11260	2	34	22490
210.213501677006 456.867764478573	23	7	3	9	7120	23	11	1	1	3	5235	4		1120	3	10	1	27	-99999999	43	495	25	18528	1	1	19	53250	3	1406	552	Gemeente	GM0394	-2	78	Haarlemmermeer	-99999999	733	16	82	17976	Haarlemmermeer	19	2070	17	21	-22	88995	26	1.7	13	34	17	0	14565	2.4	7	11	71	52765	10	3	65760	12	22	20	87200		385	33	-5	66060	10	30	131820
359.3873677657448 466.89718847394784	34	5	1	8	2530	26	13	0	2	1	1320	2		500	0	13	-5	29	-99999999	42	447	19	4827	5	-1	3	16310	1	1257	981	Gemeente	GM0243	-1	92	Harderwijk	-99999999	1063	20	10	3846	Harderwijk	17	710	18	20	-26	17175	25	1.1	12	40	16	0	2905	2.4	6	85	64	15950	6	3	20150	18	8	3	26600		50	30	-2	20720	10	30	40880
199.88979108530066 468.8998904192545	20	3	-6	8	1670	24	9	0	0	0	560	3		220	1	22	-5	35	-99999999	34	1290	35	964	0	0	-1	11030	1	1475	44	Gemeente	GM0397	-4	108	Heemstede	-99999999	2787	21	50	920	Heemstede	24	370	11	18	0	11865	30	1.1	17	33	2	0	940	2.2	0	50	71	10975	12	3	12000	18	1	1	17500		15	21	8	13650	5	31	25640
258.04482125877036 471.287396380971	102	-6	0	9	47020	36	12	2	9	0	13815	9		37490	9	11	0	55	-99999999	24	1297	21	21907	5	0	2	407780	3	6051	5409	Gemeente	GM0363	-2	87	Amsterdam	-99999999	4502	28	21	16498	Amsterdam	19	19370	11	16	-12	213960	23	0.5	13	38	9	1	28365	1.8	4	74	71	380145	14	1	366160	19	4	1	472900		90	38	-1	376630	34	20	742780
256.8238336897476 466.34407960714697	44	-1	0	8	1360	26	13	2	2	0	585	8		420	8	13	-5	41	-99999999	33	765	26	1403	2	0	1	11240	3	2103	205	Gemeente	GM0384	-1	83	Diemen	-99999999	1996	20	-99999997	1199	Diemen	20	440	14	18	-99999997	9170	27	0.8	13	34	9	0	1370	2.1	-99999997	-99999997	69	10040	11	2	11690	17	0	2	15700		5	29	-99999997	12250	22	26	23930
526.3151513728556 462.03617041996796	27	9	0	7	1160	28	10	0	0	0	845	2		200	0	14	-5	25	-99999999	41	341	22	2615	1	0	-1	8150	1	1088	16	Gemeente	GM0147	-2	86	Borne	-99999999	789	18	9	2600	Borne	18	380	20	20	-10	8875	29	1.1	12	40	26	0	1190	2.5	12	79	61	8095	7	3	10160	20	0	2	13400		80	26	-1	10340	4	34	20500
551.9930294295336 461.4294120264338	41	8	-6	8	1960	32	10	0	0	0	1090	2		480	0	15	0	28	-99999999	38	747	18	2198	4	-9	2	12950	1	1278	40	Gemeente	GM0173	-3	95	Oldenzaal	-99999999	1453	22	32	2159	Oldenzaal	17	670	19	19	22	16120	28	1.2	12	41	10	0	2955	2.3	11	57	66	12895	9	3	15710	15	5	4	21100		30	28	-12	15660	6	34	31370
270.37473063660826 463.6024014482611	25	6	0	6	320	29	9	0	1	0	245	2		70	1	15	0	28	-99999999	40	213	32	3651	0	0	-2	2790	1	405	2206	Gemeente	GM0424	-4	75	Muiden	-99999999	462	17	0	1445	Muiden	23	130	14	20	-21	3075	30	1.1	16	34	-6	0	340	2.3	0	100	64	2740	10	5	3280	22	1	-1	4400		25	26	-4	3400	5	33	6680
245.50333811313214 454.84504766442143	21	1	1	7	580	24	9	1	0	1	405	4		110	3	16	6	33	-99999999	38	234	32	2618	0	0	3	5650	1	1185	169	Gemeente	GM0437	-1	67	Ouder-Amstel	-99999999	538	17	2	2449	Ouder-Amstel	22	210	16	19	-15	5730	29	1.0	15	32	6	0	1040	2.2	0	98	66	5640	11	3	6380	18	-5	1	9000		55	27	-4	6800	8	29	13180
427.63608179865633 438.93092959270643	16	-1	0	7	1430	21	12	0	0	0	1015	1		140	0	17	-8	24	-99999999	42	87	19	12652	1	2	-1	8910	0	495	341	Gemeente	GM0285	0	92	Voorst	-99999999	191	19	12	12311	Voorst	17	320	20	18	-14	10735	30	1.2	12	44	17	0	1895	2.5	8	79	59	8665	5	5	11780	22	2	2	16100		395	24	-3	11770	2	35	23560
254.65115938514296 458.8567386929655	102	-6	0	9	47020	36	12	2	9	0	13815	9		37490	9	11	0	55	-99999999	24	1297	21	21907	5	0	2	407780	3	6051	5409	Gemeente	GM0363	-2	87	Amsterdam	-99999999	4502	28	21	16498	Amsterdam	19	19370	11	16	-12	213960	23	0.5	13	38	9	1	28365	1.8	4	74	71	380145	14	1	366160	19	4	1	472900		90	38	-1	376630	34	20	742780
177.5440923191976 450.2170139615664	18	13	1	8	1660	15	12	0	1	1	795	2		180	0	14	0	34	-99999999	36	302	23	5153	0	0	-1	10290	1	1343	1612	Gemeente	GM0575	-2	98	Noordwijk	-99999999	694	21	91	3541	Noordwijk	19	300	12	16	-16	10685	31	1.0	14	41	11	0	1335	2.2	4	5	70	10455	9	3	12260	18	2	3	16600		100	27	-6	12300	4	30	24560
235.96128204978825 454.6512504535932	25	0	0	9	3890	23	11	1	1	0	1745	7		840	2	18	6	44	-99999999	30	783	32	4405	1	1	2	38290	3	2023	249	Gemeente	GM0362	-2	76	Amstelveen	-99999999	1902	20	59	4156	Amstelveen	22	1160	9	17	-28	32560	26	0.9	15	31	-2	1	2295	2.0	1	40	73	36425	17	2	37530	18	0	2	53100		100	28	-1	41510	12	26	79040
478.923325885071 456.0747631303298	21	4	1	8	1830	22	13	0	0	1	1225	1		240	0	14	4	22	-99999999	48	173	19	9440	3	0	4	12760	0	974	22	Gemeente	GM1742	-2	80	Rijssen-Holten	-99999999	386	18	6	9418	Rijssen-Holten	17	500	24	22	-11	16315	23	1.3	11	43	7	0	3125	2.8	13	81	62	12720	3	4	18020	15	7	6	22500		265	27	-2	18340	4	31	36360
197.26583486907487 463.0341921953376	15	-99999997	-2	5	330	15	7	1	0	0	160	2		30	0	25	0	29	-99999999	34	1367	35	179	0	0	1	2130	0	663	4	Gemeente	GM0372	-5	112	Bennebroek	-99999999	2940	20	-99999997	175	Bennebroek	23	50	10	17	-99999997	2390	29	1.1	16	33	-99999997	0	145	2.2	-99999997	-99999997	66	2155	10	4	2430	24	1	2	3600		0	21	-99999997	2720	3	37	5140
361.3384838880601 454.0465261401558	25	6	-1	8	1930	20	13	0	0	2	920	2		250	0	16	-5	31	-99999999	38	128	22	8738	1	7	-1	10340	0	823	172	Gemeente	GM0233	-2	112	Ermelo	-99999999	308	22	7	8567	Ermelo	18	330	19	18	-22	10930	27	1.1	12	42	16	0	1735	2.4	12	82	62	9025	5	4	12970	19	2	5	17600		135	25	-1	13440	3	31	26410
282.21402528004813 456.75897972337776	16	-9	0	8	690	29	8	0	2	0	410	3		110	1	18	0	32	-99999999	37	383	38	3289	0	3	1	7220	1	1042	1151	Gemeente	GM0425	-3	67	Naarden	-99999999	800	18	11	2138	Naarden	25	300	14	21	-22	8180	27	1.1	17	32	9	0	805	2.3	0	89	71	7280	12	3	8170	15	3	0	11100		20	25	-5	8940	6	31	17110
268.0209478611409 457.3733017197576	36	-8	-1	8	1070	31	11	1	5	-1	500	3		250	2	15	-8	40	-99999999	32	362	23	2188	2	0	-2	8240	1	1591	130	Gemeente	GM0457	-1	88	Weesp	-99999999	859	21	4	2058	Weesp	19	380	19	16	-20	7455	28	0.9	14	34	8	0	1175	2.1	0	96	68	8125	10	2	8630	13	4	-1	12500		50	30	-6	9040	12	29	17670
448.5409952366519 449.8440205115635	50	5	1	9	5970	35	13	1	0	2	2920	4		1980	1	14	-7	37	-99999999	33	284	16	13437	7	0	7	42900	2	1690	307	Gemeente	GM0150	-2	93	Deventer	-99999999	728	23	9	13131	Deventer	17	2230	14	19	-11	37330	23	0.9	12	41	11	0	4800	2.1	12	79	65	40350	9	2	47110	21	2	10	63100		370	31	-1	48510	12	30	95620
531.923660352513 447.8319479070959	58	2	0	9	4800	36	11	1	0	1	3185	3		1910	0	15	-3	35	-99999999	34	583	17	6178	6	9	2	35910	1	1587	72	Gemeente	GM0164	-1	89	Hengelo	-99999999	1329	23	14	6106	Hengelo	17	1960	16	19	-18	35575	25	1.0	12	40	14	0	4760	2.2	11	75	64	35790	10	2	40220	20	3	3	54500		125	30	-3	40930	10	31	81160
193.86084175388277 456.9311471712849	19	21	-1	7	1100	23	12	0	1	-1	860	2		150	0	15	-1	29	-99999999	39	726	22	1348	0	4	-1	8440	1	1328	60	Gemeente	GM0534	-3	80	Hillegom	-99999999	1589	18	94	1287	Hillegom	18	320	19	18	-15	9345	27	1.1	13	39	19	1	1555	2.3	1	5	66	8390	8	3	10050	15	1	1	13900		85	28	-3	10400	5	31	20450
182.84234438147993 450.6755604836927	12	4	-7	7	930	20	11	0	0	1	600	2		70	0	15	0	29	-99999999	41	282	22	2340	0	8	-2	5970	1	859	80	Gemeente	GM0576	-2	93	Noordwijkerhout	-99999999	669	19	95	2260	Noordwijkerhout	18	180	20	19	-14	6365	29	1.1	12	41	22	0	1385	2.4	2	4	67	5725	8	4	7620	13	2	2	9800		195	26	-3	7500	3	30	15120
294.3813103512915 455.181213544339	37	-1	0	8	2390	27	12	0	3	1	1195	3		570	1	13	-1	30	-99999999	41	1207	26	2328	1	0	0	17150	1	1781	751	Gemeente	GM0406	-1	84	Huizen	-99999999	2669	20	58	1577	Huizen	20	780	20	19	-8	19035	29	1.1	14	37	8	0	2010	2.4	0	42	64	17385	10	2	20430	16	2	3	27900		10	27	0	21670	8	29	42100
503.05027590509593 442.6518655770305	22	9	0	8	1950	26	10	0	0	1	1545	2		290	0	17	1	26	-99999999	40	76	20	21544	1	-8	1	13940	0	537	226	Gemeente	GM1735	-4	87	Hof van Twente	-99999999	164	18	9	21318	Hof van Twente	18	580	23	19	-13	16265	28	1.2	12	42	15	0	2950	2.4	15	76	58	13790	5	4	17390	19	-1	3	23700		770	26	-2	17560	3	34	34940
221.0953747282478 446.87971037421755	14	-5	2	8	1170	15	10	0	1	2	865	2		140	1	15	0	28	-99999999	39	571	25	3224	0	0	4	9620	1	643	1158	Gemeente	GM0358	-3	76	Aalsmeer	-99999999	1128	16	91	2066	Aalsmeer	19	260	16	18	-33	11805	28	1.2	14	38	3	1	2095	2.3	1	8	70	9120	8	4	11580	14	8	6	15900		160	28	-4	11720	4	34	23300
298.38302639045844 451.8192943372046	16	9	-1	7	460	27	10	0	0	0	275	3		60	1	17	0	28	-99999999	38	440	37	1558	0	0	-4	3880	1	808	445	Gemeente	GM0376	-1	76	Blaricum	-99999999	825	20	5	1113	Blaricum	27	160	15	17	-9	4895	37	1.3	18	33	1	1	430	2.3	10	85	67	3945	12	4	4420	18	0	0	6000		20	20	5	4760	5	34	9180
255.30850192051852 448.27755873871075	13	-99999997	0	6	340	23	9	0	0	0	280	3		50	1	15	-3	27	-99999999	42	126	38	3211	0	0	1	3430	1	661	172	Gemeente	GM0305	-3	63	Abcoude	-99999999	283	15	1	3039	Abcoude	24	130	19	22	-15	3830	28	1.1	16	31	12	0	500	2.5	3	96	62	3480	11	4	4220	19	1	0	5600		75	26	-3	4380	5	30	8600
