	OAD_2012	OPP_WATER_2012	AANT_INW_2012	BEV_DICHTH_2012
427	677.0	65.0	29325.0	393.0
428	553.0	104.0	15350.0	148.0
429	571.0	79.0	21610.0	390.0
430	null	null	null	null
431	150.0	7212.0	10430.0	62.0
432	null	null	null	null
433	526.0	71.0	12655.0	162.0
434	366.0	55.0	21090.0	239.0
435	null	null	null	null
436	336.0	9.0	11260.0	302.0
437	657.0	120.0	18620.0	328.0
438	null	null	null	null
439	1486.0	74.0	77425.0	728.0
440	482.0	25814.0	34150.0	148.0
441	null	null	null	null
442	259.0	252.0	25740.0	93.0
443	258.0	262.0	25860.0	94.0
444	763.0	578.0	24650.0	481.0
445	431.0	33.0	15065.0	214.0
446	277.0	157.0	23755.0	106.0
447	207.0	3569.0	7520.0	88.0
448	545.0	2850.0	23295.0	487.0
449	627.0	433.0	30955.0	154.0
450	559.0	182.0	33930.0	319.0
451	197.0	393.0	19200.0	69.0
452	255.0	50.0	11805.0	119.0
453	850.0	691.0	45770.0	735.0
454	550.0	160.0	20430.0	267.0
455	586.0	3144.0	43400.0	150.0
456	660.0	2478.0	36520.0	229.0
457	646.0	143.0	32165.0	312.0
458	348.0	2749.0	23890.0	85.0
459	685.0	2329.0	26665.0	277.0
460	616.0	66.0	29800.0	332.0
461	196.0	3548.0	8835.0	90.0
462	287.0	50.0	9525.0	102.0
463	487.0	55.0	18125.0	179.0
464	651.0	28.0	19580.0	260.0
465	258.0	19.0	14480.0	198.0
466	441.0	419.0	32355.0	225.0
467	389.0	486.0	33560.0	98.0
468	741.0	572.0	46270.0	423.0
469	576.0	264.0	35600.0	167.0
470	377.0	752.0	22615.0	373.0
471	1006.0	25.0	37560.0	399.0
472	1268.0	37.0	38670.0	1247.0
473	414.0	429.0	17660.0	155.0
474	447.0	106.0	26075.0	148.0
475	1329.0	1105.0	101980.0	1282.0
476	1205.0	203.0	18225.0	385.0
477	1343.0	150.0	94535.0	1196.0
478	661.0	516.0	22050.0	267.0
479	2802.0	292.0	72405.0	2214.0
480	1346.0	125.0	50105.0	1341.0
481	null	null	null	null
482	344.0	129.0	12360.0	154.0
483	null	154.0	null	null
484	621.0	184.0	39840.0	292.0
485	622.0	286.0	44910.0	174.0
486	348.0	95.0	37440.0	132.0
487	705.0	493.0	35045.0	332.0
488	1292.0	186.0	35685.0	1250.0
489	745.0	44.0	48265.0	365.0
490	716.0	361.0	30005.0	274.0
491	403.0	209.0	22345.0	278.0
492	1165.0	211.0	55265.0	1018.0
493	378.0	1216.0	36460.0	224.0
494	417.0	885.0	24095.0	526.0
495	526.0	212.0	25735.0	406.0
496	418.0	305.0	19265.0	226.0
497	1121.0	192.0	40675.0	685.0
498	542.0	6815.0	43270.0	271.0
499	825.0	38102.0	39095.0	172.0
500	829.0	1295.0	82635.0	191.0
501	1008.0	93.0	32835.0	434.0
502	409.0	1020.0	24995.0	323.0
503	1136.0	116.0	63315.0	655.0
504	267.0	30411.0	13775.0	200.0
505	399.0	null	47705.0	133.0
506	null	null	null	null
507	null	null	null	null
508	null	null	null	null
509	null	null	null	null
510	null	null	null	null
511	null	null	null	null
512	null	null	null	null
513	null	null	null	null
514	null	null	null	null
