code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0308	Baarn	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0310	De Bilt	9	9	9	9	9	9	10	10	10	10	10	10	10	10
GM0311	Breukelen	8	8	8	8	8	8	8	null	null	null	null	null	null	null
GM0312	Bunnik	7	7	7	7	7	7	8	8	8	8	8	8	8	8
GM0313	Bunschoten	3	3	3	3	3	3	4	4	4	4	4	5	5	5
GM0315	Doorn	10	10	null	null	null	null	null	null	null	null	null	null	null	null
GM0316	Driebergen-Rijsenburg	9	8	null	null	null	null	null	null	null	null	null	null	null	null
GM0317	Eemnes	9	9	8	8	8	8	8	8	8	8	8	8	8	8
GM0321	Houten	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0326	Leersum	8	8	null	null	null	null	null	null	null	null	null	null	null	null
GM0327	Leusden	8	8	8	8	8	8	8	8	8	8	8	8	8	8
GM0329	Loenen	9	9	9	9	9	9	9	null	null	null	null	null	null	null
GM0331	Lopik	3	3	3	3	3	3	3	3	4	3	4	4	4	4
GM0332	Maarn	7	8	null	null	null	null	null	null	null	null	null	null	null	null
GM0333	Maarssen	9	9	9	9	9	9	9	null	null	null	null	null	null	null
GM0335	Montfoort	5	5	5	5	5	5	5	5	5	5	5	5	5	5
GM0339	Renswoude	3	3	3	3	3	3	3	3	3	3	3	4	4	4
GM0340	Rhenen	5	5	5	5	5	5	5	5	5	5	5	5	5	6
GM0342	Soest	9	9	9	9	9	9	9	9	9	9	9	9	9	9
GM0344	Utrecht	10	10	10	10	10	10	10	10	11	11	11	11	11	11
GM0345	Veenendaal	6	6	6	6	6	6	6	6	6	6	6	6	6	6
GM0351	Woudenberg	4	4	4	4	4	4	4	4	4	4	4	5	5	5
GM0352	Wijk bij Duurstede	7	7	6	6	6	6	6	6	6	6	6	6	6	6
GM0353	IJsselstein	7	7	7	7	7	7	7	7	7	7	7	7	7	7
GM0355	Zeist	10	10	10	10	10	10	10	10	10	10	10	10	10	10
GM0356	Nieuwegein	10	10	10	10	10	10	10	10	10	10	10	10	10	10
GM0358	Aalsmeer	8	8	8	9	9	9	9	10	10	10	10	11	11	11
GM0361	Alkmaar	10	10	10	10	10	10	10	10	10	10	10	9	9	9
GM0362	Amstelveen	17	17	18	18	18	18	18	18	18	19	19	19	19	19
GM0363	Amsterdam	14	14	14	14	14	15	15	15	16	16	16	16	17	17
GM0364	Andijk	6	6	6	6	6	6	6	null	null	null	null	null	null	null
GM0365	Graft-De Rijp	5	5	5	5	5	5	5	5	5	5	5	null	null	null
GM0366	Anna Paulowna	5	5	5	5	5	5	5	5	null	null	null	null	null	null
