Country Code	Country Name	Rural 2016	Growth 2016	Capita 2016	GDP 2016	Forest 2016
CRI	Costa Rica	1081472	1.02269604671747	11767.5042491362	57157992434.219	1081472
CUB	Cuba	2647509	0.126866977694588	7961.8458795073	91370000000	2647509
CYP	Cyprus	387534	0.784179797412071	23666.9735713776	20453761061.9469	387534
CZE	Czech Republic	2792682	0.192048415842684	18483.7164797716	195305084919.138	2792682
DEU	Germany	18755733	0.807218538573871	42232.5742082948	3477796274496.8	18755733
DJI	Djibouti	211761	1.59586474829091	1872.23462294105	1764268468.93991	211761
DNK	Denmark	707867	0.780392644135167	53578.7565680928	306899653409.601	707867
DOM	Dominican Republic	2189817	1.13705666898043	6793.53812543935	72342967648.3354	2189817
DZA	Algeria	11589373	1.82546343244561	3943.49754982175	160129866569.935	11589373
ECU	Ecuador	5974979	1.47991740816496	6099.31530342138	99937696000	5974979
EGY	Egypt, Arab Rep.	54798994	2.01678945593273	3479.28124621174	332927833278.038	54798994
ERI	Eritrea	2874049	0	582.775530237486	2607739837.39837	2874049
ESP	Spain	9371187	0.084430150068074	26616.757796551	1237255019653.86	9371187
EST	Estonia	413645	0.029112225554008	17736.8026953521	23337907618.5174	413645
ETH	Ethiopia	82059777	2.50182137816318	712.877949961138	73000980433.9486	82059777
FIN	Finland	809183	0.287421401687637	43433.032224358	238677672281.611	809183
FRA	France	13427447	0.399244807338297	36870.2191344563	2465134297438.91	13427447
GAB	Gabon	226507	2.53780856758881	7078.72954034874	14014369641.7689	226507
GBR	United Kingdom	11226025	0.714030265261993	40412.0336199885	2650850178102.14	11226025
GEO	Georgia	1568168	0.059168416550564	3865.78569331828	14378016729.1587	1568168
GHA	Ghana	12763826	2.23673796498606	1950.23437670724	55009730600.0307	12763826
GIN	Guinea	8000329	2.48622533008731	701.388642312075	8694360304.56367	8000329
GMB	Gambia, The	817072	3.0335802199687	707.528984503851	1442298542.44008	817072
GNB	Guinea-Bissau	1043427	2.51932892111307	648.898936600695	1178204501.38801	1043427
GNQ	Equatorial Guinea	352546	3.84722683900242	9218.98732353381	11260900825.8233	352546
GRC	Greece	2329011	-0.415913028277122	17881.5266973956	192690813126.86	2329011
GRL	Greenland	7683	0.128227978389047	48159.6653203159	2705898955.68727	7683
GTM	Guatemala	8238336	2.01036784468901	4140.73763497611	68663653469.1246	8238336
GUY	Guyana	568517	0.621217096586963	4531.24352689057	3504024213.07506	568517
HND	Honduras	4026703	1.68246258438676	2375.09632686503	21643936938.9096	4026703
HRV	Croatia	1819891	-0.69838345731273	12371.0021596835	51640880494.2725	1819891
HTI	Haiti	5055292	1.2642389661953	734.802591238931	7970649131.23416	5055292
HUN	Hungary	2867756	-0.295110604845478	12820.0881963053	125816640420.569	2867756
IDN	Indonesia	120141832	1.13749371067244	3570.28461476538	932256495234.247	120141832
IND	India	884784815	1.14821469272737	1717.47387802989	2274229710530.47	884784815
IRL	Ireland	1771980	1.12883406399428	64100.4299522762	304819018067.107	1771980
IRN	Iran, Islamic Rep.	20968464	1.14878859969196	5219.1094080464	418976679728.567	20968464
IRQ	Iraq	11125801	2.96516369602359	4584.61743095832	170559560067.682	11125801
ISL	Iceland	21015	1.38808149583838	60529.926756911	20304098101.4115	21015
ISR	Israel	661802	1.9603489624817	37180.8498115363	317747542489.389	661802
ITA	Italy	18276159	-0.169884073301448	30668.9814289997	1859383610248.72	18276159
JAM	Jamaica	1293786	0.327499919454895	4883.86027010431	14072135208.5664	1293786
JOR	Jordan	897734	3.18585464489799	4087.9375167203	38654727746.4789	897734
JPN	Japan	10849141	-0.115284177050088	38972.3406391468	4949273341993.88	10849141
KAZ	Kazakhstan	7604467	1.42204614032925	7714.84184376024	137278320084.171	7604467
KEN	Kenya	35810675	2.56092539826487	1462.50374328664	70875223143.0362	35810675
KGZ	Kyrgyz Republic	3894285	2.0372244221997	1120.66651300848	6813092065.83507	3894285
KHM	Cambodia	12202912	1.56483347115177	1269.90723818939	20016747754.0192	12202912
KOR	Korea, Rep.	9448683	0.451318043969976	27608.2474287116	1414804158515.26	9448683
KWT	Kuwait	66543	2.92420619366023	27368.2866787596	110912280701.754	6250
LAO	Lao PDR	4478355	1.40642684453142	2338.69215683656	15805707154.2329	4478355
LBN	Lebanon	704822	2.61757356847748	8571.1262475123	51483909754.8922	704822
LBR	Liberia	2295192	2.50636265001265	710.436009357099	3277826000	2295192
LBY	Libya	1287600	0.930674535288235	4166.63052895261	26221660076.2226	1287600
LKA	Sri Lanka	17320519	1.12406030700326	3857.35131931132	81787420023.358	17320519
LSO	Lesotho	1601803	1.3327239193239	1054.26875375922	2323419619.1784	1601803
LTU	Lithuania	936019	-1.27069453298857	14912.6865427932	42773029835.3222	936019
LUX	Luxembourg	55524	2.15531198799205	100738.684223143	58631324559.4484	55524
LVA	Latvia	626640	-0.913885332226604	14070.4226525952	27571513793.3984	626640
MAR	Morocco	13630950	1.35122852209619	2892.77556054736	103345296966.607	13630950
MDA	Moldova	2041983	-0.060624297000835	1913.23741416708	6795731286.20042	2041983
MDG	Madagascar	15968361	2.6888707116748	401.742265413689	10001193315.1966	15968361
MEX	Mexico	26047581	1.30173094113147	8450.49401034813	1077779580638.77	26047581
MKD	Macedonia, FYR	883201	0.091238733082785	5128.0228198066	10672471860.7184	883201
MLI	Mali	10656003	2.9719686325901	778.600425102067	14010787737.8424	10656003
MMR	Myanmar	36976290	0.914735350798747	1196.10320448535	63256184700.2223	36976290
MNE	Montenegro	210706	0.023142530771156	7028.94013201519	4374130530.97345	210706
MNG	Mongolia	959776	1.68287402949855	3695.16484928136	11186734674.3847	959776
MOZ	Mozambique	18760493	2.8812077244991	380.907305791185	10981358030.5316	18760493
MRT	Mauritania	2066123	2.7980601250792	1101.90162664331	4739298730.42216	2066123
MWI	Malawi	15105380	2.90481860513923	300.307748766344	5433040159.88747	15105380
MYS	Malaysia	7846716	1.49932335842914	9515.19431808728	296752886724.682	7846716
NAM	Namibia	1290418	2.20799898330786	4549.42164162487	11281259987.2185	1290418
NER	Niger	17305357	3.82606646670245	364.160507797334	7528285443.60769	17305357
NGA	Nigeria	95444304	2.61903352559025	2175.65627600394	404649527537.713	95444304
NIC	Nicaragua	2577435	1.11010305082489	2143.92589272044	13184989877.5664	2577435
NLD	Netherlands	1594889	0.532178879608489	45637.8867460287	777227541581.307	1594889
NOR	Norway	969171	0.849521232088731	70890.0355687386	371075238095.238	969171
NPL	Nepal	23492855	1.13288638478586	730.983328253608	21185922407.5922	23492855
NZL	New Zealand	638275	2.09935688627085	40331.9591048227	189285950470.754	638275
OMN	Oman	774333	5.21772055318657	15102.3823053534	66824447334.2003	774333
PAK	Pakistan	123198129	1.99856259439394	1442.28584033183	278654637737.69	123198129
PAN	Panama	1330170	1.62110303145586	14366.8528896202	57957594212.2216	1330170
PER	Peru	7136722	1.25786232511699	6031.36609086896	191639655121.33	7136722
PHL	Philippines	55302149	1.56449713137855	2950.91390303189	304889079564.142	55302149
PNG	Papua New Guinea	7029900	2.06402702332897	2353.51158866687	19028120012.7673	7029900
POL	Poland	15120448	-0.04298513087435	12430.6296017676	471992087443.889	15120448
PRI	Puerto Rico	217949	-1.93784947041446	30518.1827789063	103960800000	217949
PRK	Korea, Dem. People’s Rep.	9774276	0.492776137047091	1800	16120000000	9774276
PRT	Portugal	3708283	-0.315459016997883	19871.7189725955	205184480409.024	3708283
PRY	Paraguay	2621122	1.28984497330693	5360.98593140985	36054281572.3981	2621122
QAT	Qatar	25313	3.49506991849135	59044.2472877865	151732142857.143	25313
ROU	Romania	9082775	-0.572649651464877	9567.0977819133	188494136775.719	9082775
RUS	Russian Federation	37292301	0.17024454590112	8759.03611775209	1284727602174.3	37292301
RWA	Rwanda	9884858	2.44590486681057	711.195791311547	8475681532.52169	9884858
SAU	Saudi Arabia	5357441	2.25142247448685	19982.0856312059	644935541440	5357441
SDN	Sudan	26074136	2.38043988706363	2415.03816212562	95584380032.2061	26074136
SEN	Senegal	8276653	2.86060906352125	1231.14259536964	18973894458.795	8276653
SLE	Sierra Leone	4346889	2.17547924087244	480.793021078316	3556036534.56923	4346889
SLV	El Salvador	1871630	0.509497673280554	3768.83770478833	23912227500	1871630
SOM	Somalia	8044423	2.90437182654536	472.272693325142	6761998533.93861	8044423
SRB	Serbia	3119072	-0.523694463062603	5426.19827887247	38299854688.1277	3119072
SUR	Suriname	189622	0.928418221380041	5645.33410410962	3152173913.04348	189622
SVK	Slovak Republic	2508703	0.128922329956911	16529.5409667954	89768598023.3903	2508703
SVN	Slovenia	949506	0.073197207241528	21650.2127554094	44708598648.8562	949506
SWE	Sweden	1304687	1.25645398510305	51844.7612618627	514459972806.171	1304687
SWZ	Eswatini	1028021	1.80966724877317	2842.25722918208	3817430000	1028021
SYR	Syrian Arab Republic	8692723	-1.63883874873426	2058.03520939435	40405006007.2086	8692723
TCD	Chad	11175140	3.11409244065461	698.210886304957	10090922857.3905	11175140
TGO	Togo	4516056	2.52386130350538	586.052253668457	4457732624.94515	4516056
THA	Thailand	35500519	0.299465511725956	5979.29354625548	411755164832.674	35500519
TJK	Tajikistan	6389529	2.15588412311325	795.960747465436	6952678127.03396	6389529
TKM	Turkmenistan	2790049	1.73252445295465	6389.35432554696	36180000000	2790049
TLS	Timor-Leste	889973	2.20709232495495	1987.11880385064	2521000000	889973
TUN	Tunisia	3609584	1.14291070797962	3666.3571544062	41808379888.2682	3609584
TUR	Turkey	20566684	1.57301169985338	10862.7264255339	863721731068.508	20566684
TZA	Tanzania	37604041	3.0924540737403	878.403371244319	47388394818.1193	37604041
UGA	Uganda	32101728	3.29087238084198	581.702772948812	24133664284.5033	32101728
UKR	Ukraine	13882133	-0.331380509661391	2185.72803066435	93355993628.5042	13882133
URY	Uruguay	167241	0.362269174964804	15298.3508918226	52687612261.5424	167241
USA	United States	58659368	0.734307439742705	57588.538070583	18624475000000	58659368
UZB	Uzbekistan	15716939	1.73884926199094	2117.74443025761	67445712840.4013	15716939
VEN	Venezuela, RB	3736094	1.3170572501016	15692.412877729	482359318767.703	3736094
VNM	Vietnam	61933285	1.06039221740654	2170.64805431211	205276172134.901	61933285
XKX	Kosovo	680580	0.796024103838832	3697.12167678699	6714712389.38053	450000
YEM	Yemen, Rep.	17821057	2.45150204297636	1320.92412660691	36436652465.1639	17821057
ZAF	South Africa	19414403	1.30137401321457	5279.73047236548	295746599722.066	19414403
ZMB	Zambia	9550336	3.00281551523404	1262.98968188557	20954754378.1394	9550336
ZWE	Zimbabwe	10934441	2.3360695495183	1272.3354498184	20548678100	10934441
